county,precinct,office,district,candidate,party,votes
Kings,"=""77/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,385
Kings,"=""77/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,111
Kings,"=""77/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,16
Kings,"=""77/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
Kings,"=""77/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Kings,"=""77/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Kings,"=""77/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""77/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,"=""77/43""",President,NYC,Scattered,,1
Kings,"=""78/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""78/43""",President,NYC,Absentee / Military,,34
Kings,"=""78/43""",President,NYC,Federal,,2
Kings,"=""78/43""",President,NYC,Special Presidential,,0
Kings,"=""78/43""",President,NYC,Affidavit,,19
Kings,"=""78/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,467
Kings,"=""78/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,14
Kings,"=""78/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Kings,"=""78/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Kings,"=""78/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Kings,"=""78/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,"=""78/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""78/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""79/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""79/43""",President,NYC,Absentee / Military,,8
Kings,"=""79/43""",President,NYC,Federal,,1
Kings,"=""79/43""",President,NYC,Special Presidential,,0
Kings,"=""79/43""",President,NYC,Affidavit,,12
Kings,"=""79/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,243
Kings,"=""79/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,7
Kings,"=""79/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Kings,"=""79/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Kings,"=""79/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Kings,"=""79/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,"=""79/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""79/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""1/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""1/44""",President,NYC,Absentee / Military,,0
Kings,"=""1/44""",President,NYC,Federal,,0
Kings,"=""1/44""",President,NYC,Special Presidential,,0
Kings,"=""1/44""",President,NYC,Affidavit,,9
Kings,"=""1/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,194
Kings,"=""1/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,222
Kings,"=""1/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,17
Kings,"=""1/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Kings,"=""1/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Kings,"=""1/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,8
Kings,"=""1/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,"=""1/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,"=""1/44""",President,NYC,Scattered,,15
Kings,"=""2/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""2/44""",President,NYC,Absentee / Military,,3
Kings,"=""2/44""",President,NYC,Federal,,0
Kings,"=""2/44""",President,NYC,Special Presidential,,0
Kings,"=""2/44""",President,NYC,Affidavit,,5
Kings,"=""2/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,60
Kings,"=""2/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,190
Kings,"=""2/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,14
Kings,"=""2/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Kings,"=""2/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Kings,"=""2/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,8
Kings,"=""2/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,"=""2/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""2/44""",President,NYC,Scattered,,10
Kings,"=""3/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""3/44""",President,NYC,Absentee / Military,,4
Kings,"=""3/44""",President,NYC,Federal,,5
Kings,"=""3/44""",President,NYC,Special Presidential,,0
Kings,"=""3/44""",President,NYC,Affidavit,,8
Kings,"=""3/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,143
Kings,"=""3/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,276
Kings,"=""3/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,47
Kings,"=""3/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Kings,"=""3/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Kings,"=""3/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,8
Kings,"=""3/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""3/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,"=""3/44""",President,NYC,Scattered,,11
Kings,"=""4/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""4/44""",President,NYC,Absentee / Military,,5
Kings,"=""4/44""",President,NYC,Federal,,2
Kings,"=""4/44""",President,NYC,Special Presidential,,0
Kings,"=""4/44""",President,NYC,Affidavit,,11
Kings,"=""4/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,136
Kings,"=""4/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,148
Kings,"=""4/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,19
Kings,"=""4/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Kings,"=""4/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Kings,"=""4/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,10
Kings,"=""4/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""4/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""4/44""",President,NYC,Scattered,,8
Kings,"=""5/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""5/44""",President,NYC,Absentee / Military,,8
Kings,"=""5/44""",President,NYC,Federal,,3
Kings,"=""5/44""",President,NYC,Special Presidential,,0
Kings,"=""5/44""",President,NYC,Affidavit,,12
Kings,"=""5/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,368
Kings,"=""5/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,210
Kings,"=""5/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,32
Kings,"=""5/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Kings,"=""5/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,16
Kings,"=""5/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Kings,"=""5/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Kings,"=""5/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Kings,"=""5/44""",President,NYC,Scattered,,5
Kings,"=""6/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""6/44""",President,NYC,Absentee / Military,,9
Kings,"=""6/44""",President,NYC,Federal,,5
Kings,"=""6/44""",President,NYC,Special Presidential,,0
Kings,"=""6/44""",President,NYC,Affidavit,,14
Kings,"=""6/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,367
Kings,"=""6/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,139
Kings,"=""6/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,20
Kings,"=""6/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,12
