county,precinct,office,district,candidate,party,votes
Bronx,"=""33/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""33/87""",Justice of the Supreme Court,12,Absentee/Military,,10
Bronx,"=""33/87""",Justice of the Supreme Court,12,Federal,,2
Bronx,"=""33/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""33/87""",Justice of the Supreme Court,12,Affidavit,,33
Bronx,"=""33/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,347
Bronx,"=""33/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,376
Bronx,"=""33/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,245
Bronx,"=""33/87""",Justice of the Supreme Court,12,Scattered,,1
Bronx,"=""34/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""34/87""",Justice of the Supreme Court,12,Absentee/Military,,5
Bronx,"=""34/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""34/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""34/87""",Justice of the Supreme Court,12,Affidavit,,41
Bronx,"=""34/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,310
Bronx,"=""34/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,351
Bronx,"=""34/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,232
Bronx,"=""35/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""35/87""",Justice of the Supreme Court,12,Absentee/Military,,4
Bronx,"=""35/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""35/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""35/87""",Justice of the Supreme Court,12,Affidavit,,21
Bronx,"=""35/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,308
Bronx,"=""35/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,309
Bronx,"=""35/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,216
Bronx,"=""36/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""36/87""",Justice of the Supreme Court,12,Absentee/Military,,13
Bronx,"=""36/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""36/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""36/87""",Justice of the Supreme Court,12,Affidavit,,13
Bronx,"=""36/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,323
Bronx,"=""36/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,330
Bronx,"=""36/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,226
Bronx,"=""37/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""37/87""",Justice of the Supreme Court,12,Absentee/Military,,12
Bronx,"=""37/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""37/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""37/87""",Justice of the Supreme Court,12,Affidavit,,40
Bronx,"=""37/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,368
Bronx,"=""37/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,378
Bronx,"=""37/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,246
Bronx,"=""37/87""",Justice of the Supreme Court,12,Scattered,,1
Bronx,"=""38/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""38/87""",Justice of the Supreme Court,12,Absentee/Military,,16
Bronx,"=""38/87""",Justice of the Supreme Court,12,Federal,,2
Bronx,"=""38/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""38/87""",Justice of the Supreme Court,12,Affidavit,,42
Bronx,"=""38/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,369
Bronx,"=""38/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,423
Bronx,"=""38/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,282
Bronx,"=""39/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""39/87""",Justice of the Supreme Court,12,Absentee/Military,,7
