county,precinct,ballot-style,office,district,party,candidate,votes
Dallas,1119,6113,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2030
Dallas,1120,6114,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1361
Dallas,1121,6115,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2194
Dallas,1122,6116,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,394
Dallas,1124,6117,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3
Dallas,1125,6118,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2088
Dallas,1126,6119,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,848
Dallas,1127,6120,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,686
Dallas,1128,6121,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,691
Dallas,1129,6122,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,147
Dallas,1130,6123,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1339
Dallas,1131,6124,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1257
Dallas,1132,6125,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,44
Dallas,1133,6126,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,305
Dallas,1134,6127,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,450
Dallas,1135,6128,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1491
Dallas,1136,6129,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,5
Dallas,1137,6130,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,28
Dallas,1138,6131,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
Dallas,1139,6132,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,7
Dallas,1140,6133,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
