county,precinct,office,district,candidate,party,votes
Queens,"=""14/23""",President,NYC,Absentee / Military,,33
Queens,"=""14/23""",President,NYC,Federal,,0
Queens,"=""14/23""",President,NYC,Special Presidential,,0
Queens,"=""14/23""",President,NYC,Affidavit,,19
Queens,"=""14/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,362
Queens,"=""14/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,402
Queens,"=""14/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,42
Queens,"=""14/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Queens,"=""14/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,8
Queens,"=""14/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,7
Queens,"=""14/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Queens,"=""14/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Queens,"=""14/23""",President,NYC,Scattered,,5
Queens,"=""15/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""15/23""",President,NYC,Absentee / Military,,10
Queens,"=""15/23""",President,NYC,Federal,,0
Queens,"=""15/23""",President,NYC,Special Presidential,,0
Queens,"=""15/23""",President,NYC,Affidavit,,9
Queens,"=""15/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,242
Queens,"=""15/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,148
Queens,"=""15/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,13
Queens,"=""15/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Queens,"=""15/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Queens,"=""15/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Queens,"=""15/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,"=""15/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""16/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""16/23""",President,NYC,Absentee / Military,,6
Queens,"=""16/23""",President,NYC,Federal,,0
Queens,"=""16/23""",President,NYC,Special Presidential,,0
Queens,"=""16/23""",President,NYC,Affidavit,,13
Queens,"=""16/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,252
Queens,"=""16/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,126
Queens,"=""16/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,7
Queens,"=""16/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Queens,"=""16/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Queens,"=""16/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Queens,"=""16/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,"=""16/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Queens,"=""16/23""",President,NYC,Scattered,,5
Queens,"=""17/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""17/23""",President,NYC,Absentee / Military,,6
Queens,"=""17/23""",President,NYC,Federal,,2
Queens,"=""17/23""",President,NYC,Special Presidential,,0
Queens,"=""17/23""",President,NYC,Affidavit,,15
Queens,"=""17/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,291
Queens,"=""17/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,115
Queens,"=""17/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
Queens,"=""17/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Queens,"=""17/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Queens,"=""17/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Queens,"=""17/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""17/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""17/23""",President,NYC,Scattered,,3
Queens,"=""18/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""18/23""",President,NYC,Absentee / Military,,12
Queens,"=""18/23""",President,NYC,Federal,,0
Queens,"=""18/23""",President,NYC,Special Presidential,,0
Queens,"=""18/23""",President,NYC,Affidavit,,20
Queens,"=""18/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,492
Queens,"=""18/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,40
Queens,"=""18/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Queens,"=""18/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Queens,"=""18/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,8
Queens,"=""18/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Queens,"=""18/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Queens,"=""18/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""18/23""",President,NYC,Scattered,,2
Queens,"=""19/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""19/23""",President,NYC,Absentee / Military,,73
Queens,"=""19/23""",President,NYC,Federal,,2
Queens,"=""19/23""",President,NYC,Special Presidential,,0
Queens,"=""19/23""",President,NYC,Affidavit,,31
Queens,"=""19/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,513
Queens,"=""19/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,157
Queens,"=""19/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,18
Queens,"=""19/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,12
Queens,"=""19/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,23
Queens,"=""19/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Queens,"=""19/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,6
Queens,"=""19/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Queens,"=""19/23""",President,NYC,Scattered,,3
Queens,"=""20/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""20/23""",President,NYC,Absentee / Military,,0
Queens,"=""20/23""",President,NYC,Federal,,0
Queens,"=""20/23""",President,NYC,Special Presidential,,0
Queens,"=""20/23""",President,NYC,Affidavit,,0
Queens,"=""20/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,0
Queens,"=""20/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,0
Queens,"=""20/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Queens,"=""20/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Queens,"=""20/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Queens,"=""20/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
