precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_NICOLL,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_O'MALLEY,gen_dem_SANDERS,gen_rep_BUSH,gen_rep_CARSON,gen_rep_CHRISTIE,gen_rep_CRUZ,gen_rep_FIORINA,gen_rep_GILMORE,gen_rep_GRAHAM,gen_rep_HUCKABEE,gen_rep_KASICH,gen_rep_NICOLL,gen_rep_PATAKI,gen_rep_PAUL,gen_rep_RUBIO,gen_rep_SANTORUM,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
GILES6A Martin,67,0,22,3,15,0,18,0,0,0,1,4,0,0,2,25,0,87,67,0,22,3,15,0,18,0,0,0,1,4,0,0,2,25,0,87,155,89,244
GILES6B Bridgeforth,127,0,9,0,3,1,12,1,0,0,0,0,0,0,0,14,0,39,127,0,9,0,3,1,12,1,0,0,0,0,0,0,0,14,0,39,70,136,206
GILES7A GCHS,74,1,19,7,11,1,16,0,1,0,0,7,0,0,0,20,0,58,74,1,19,7,11,1,16,0,1,0,0,7,0,0,0,20,0,58,121,94,215
GILES7B Rec Center,117,0,26,4,10,0,62,0,0,0,0,5,0,0,1,45,0,111,117,0,26,4,10,0,62,0,0,0,0,5,0,0,1,45,0,111,238,143,381
GRAINGER1-Apr,17,0,15,1,6,1,34,0,0,0,0,2,0,0,1,38,1,119,17,0,15,1,6,1,34,0,0,0,0,2,0,0,1,38,1,119,203,32,235
GRAINGER1-Feb,23,1,7,3,4,1,27,0,0,0,1,7,0,1,0,29,0,96,23,1,7,3,4,1,27,0,0,0,1,7,0,1,0,29,0,96,169,31,200
GRAINGER1-Jan,24,0,21,11,14,0,93,2,1,0,2,9,0,0,1,53,0,189,24,0,21,11,14,0,93,2,1,0,2,9,0,0,1,53,0,189,375,45,420
GRAINGER1-Mar,39,1,15,9,24,0,118,0,0,0,1,11,0,0,1,51,0,174,39,1,15,9,24,0,118,0,0,0,1,11,0,0,1,51,0,174,389,55,444
GRAINGER1-May,40,0,15,1,14,0,70,0,0,0,3,7,0,0,0,57,1,175,40,0,15,1,14,0,70,0,0,0,3,7,0,0,0,57,1,175,328,55,383
GRAINGER2-Apr,24,1,23,4,13,1,73,2,0,0,1,6,0,0,0,46,0,167,24,1,23,4,13,1,73,2,0,0,1,6,0,0,0,46,0,167,313,48,361
GRAINGER2-Feb,44,0,19,8,25,0,97,0,0,0,0,21,0,0,0,86,0,231,44,0,19,8,25,0,97,0,0,0,0,21,0,0,0,86,0,231,468,63,531
GRAINGER2-Jan,25,1,12,10,18,2,95,0,1,0,0,11,0,1,2,90,0,214,25,1,12,10,18,2,95,0,1,0,0,11,0,1,2,90,0,214,444,38,482
GRAINGER2-Mar,24,0,15,4,25,0,114,1,0,0,1,19,0,0,2,59,1,202,24,0,15,4,25,0,114,1,0,0,1,19,0,0,2,59,1,202,428,39,467
GRAINGER2-May,23,0,22,2,28,2,73,2,0,0,4,18,0,0,0,48,1,203,23,0,22,2,28,2,73,2,0,0,4,18,0,0,0,48,1,203,381,45,426
GREENE1 Baileyton,32,2,36,6,29,0,122,2,0,0,2,14,0,0,0,71,1,235,32,2,36,6,29,0,122,2,0,0,2,14,0,0,0,71,1,235,482,70,552
GREENE1 Ottway,42,1,39,7,23,3,127,0,0,0,3,18,0,0,2,58,0,247,42,1,39,7,23,3,127,0,0,0,3,18,0,0,2,58,0,247,488,82,570
GREENE1 West Pines,38,3,28,1,20,0,121,0,0,0,0,23,0,0,1,70,1,205,38,3,28,1,20,0,121,0,0,0,0,23,0,0,1,70,1,205,442,69,511
GREENE2 Chuckey,66,0,61,10,61,1,243,2,1,1,3,21,0,0,3,115,2,410,66,0,61,10,61,1,243,2,1,1,3,21,0,0,3,115,2,410,873,127,1000
GREENE2 Chuckey Doak,57,1,77,7,61,0,208,0,0,0,3,24,0,0,1,94,0,350,57,1,77,7,61,0,208,0,0,0,3,24,0,0,1,94,0,350,748,135,883
GREENE3 Doak,75,2,61,9,63,6,203,1,0,0,2,45,0,0,1,153,0,327,75,2,61,9,63,6,203,1,0,0,2,45,0,0,1,153,0,327,810,138,948
GREENE3 Tusculum View,103,1,75,25,75,8,192,3,1,0,7,56,0,0,3,238,1,345,103,1,75,25,75,8,192,3,1,0,7,56,0,0,3,238,1,345,954,179,1133
GREENE4 Camp Creek,86,1,83,11,76,2,290,0,2,0,4,52,0,1,5,189,2,552,86,1,83,11,76,2,290,0,2,0,4,52,0,1,5,189,2,552,1186,170,1356
GREENE4 Courthouse,44,0,49,19,36,1,86,1,0,2,1,46,0,0,1,102,2,168,44,0,49,19,36,1,86,1,0,2,1,46,0,0,1,102,2,168,465,93,558
GREENE5 Debusk,65,1,57,15,73,1,171,0,0,0,0,34,0,0,1,151,0,336,65,1,57,15,73,1,171,0,0,0,0,34,0,0,1,151,0,336,782,123,905
GREENE5 Middle School,41,1,44,1,37,0,69,0,0,0,2,14,0,0,1,68,0,144,41,1,44,1,37,0,69,0,0,0,2,14,0,0,1,68,0,144,336,86,422
GREENE5 Nolachuckey,35,1,23,6,54,0,78,0,0,0,0,7,0,0,0,37,0,164,35,1,23,6,54,0,78,0,0,0,0,7,0,0,0,37,0,164,346,59,405
GREENE5 South Greene,26,2,29,7,32,1,72,0,0,0,0,13,0,0,4,65,1,175,26,2,29,7,32,1,72,0,0,0,0,13,0,0,4,65,1,175,370,57,427
GREENE6 McDonald,50,1,28,3,35,1,94,0,0,0,6,7,0,1,2,84,2,215,50,1,28,3,35,1,94,0,0,0,6,7,0,1,2,84,2,215,450,79,529
GREENE6 Mosheim,81,0,78,17,73,2,197,0,0,0,6,19,0,0,2,136,0,457,81,0,78,17,73,2,197,0,0,0,6,19,0,0,2,136,0,457,909,159,1068
GREENE7 Glenwood,93,4,52,12,78,0,208,0,0,0,3,26,0,0,6,131,1,455,93,4,52,12,78,0,208,0,0,0,3,26,0,0,6,131,1,455,920,149,1069
GREENE7 High School,145,1,72,6,34,0,89,1,0,0,5,23,0,0,1,84,0,232,145,1,72,6,34,0,89,1,0,0,5,23,0,0,1,84,0,232,475,218,693
GRUNDYAltamont,58,0,36,4,16,1,49,0,2,0,2,1,0,0,1,20,0,125,58,0,36,4,16,1,49,0,2,0,2,1,0,0,1,20,0,125,221,94,315
GRUNDYBeersheba Springs,21,0,10,3,5,0,16,0,0,0,1,2,0,0,0,3,0,28,21,0,10,3,5,0,16,0,0,0,1,2,0,0,0,3,0,28,58,31,89
GRUNDYCentral,16,0,10,1,14,0,16,0,0,0,0,3,0,0,0,8,0,40,16,0,10,1,14,0,16,0,0,0,0,3,0,0,0,8,0,40,82,26,108
GRUNDYCoalmont,34,1,11,2,18,0,26,0,0,1,1,1,0,0,0,12,0,71,34,1,11,2,18,0,26,0,0,1,1,1,0,0,0,12,0,71,132,46,178
GRUNDYCollins,10,0,7,0,3,0,7,0,0,0,0,0,0,0,0,1,0,12,10,0,7,0,3,0,7,0,0,0,0,0,0,0,0,1,0,12,23,17,40
GRUNDYCross Roads,26,1,7,0,11,1,21,0,0,0,0,0,0,0,0,3,0,43,26,1,7,0,11,1,21,0,0,0,0,0,0,0,0,3,0,43,79,34,113
GRUNDYGruetli-Laager,64,1,26,1,11,0,59,0,0,0,0,1,0,0,1,22,0,156,64,1,26,1,11,0,59,0,0,0,0,1,0,0,1,22,0,156,251,91,342
GRUNDYHubbard's Cove,12,0,2,0,3,0,7,0,0,0,0,0,0,0,0,1,0,15,12,0,2,0,3,0,7,0,0,0,0,0,0,0,0,1,0,15,26,14,40
