precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Bernalillo333,103,78,8,6,27,2,34,149,364,436,226,181,800
Bernalillo34,68,30,0,0,1,0,0,10,219,88,11,98,307
Bernalillo341,88,102,2,0,3,0,7,23,294,72,35,190,366
Bernalillo342,32,97,0,1,1,0,2,5,209,25,9,129,234
Bernalillo343,92,154,1,1,2,2,6,13,347,59,25,246,406
Bernalillo344,124,165,5,2,2,0,7,30,451,118,46,289,569
Bernalillo345,130,163,3,7,9,1,11,27,544,146,58,293,690
Bernalillo346,32,60,2,1,4,1,0,19,200,109,27,92,309
Bernalillo347,48,76,1,0,8,0,2,31,231,152,42,124,383
Bernalillo35,58,56,1,1,9,1,2,25,215,104,39,114,319
Bernalillo351,78,100,0,2,2,1,4,3,271,29,12,178,300
Bernalillo352,105,116,0,2,2,3,2,17,353,68,26,221,421
Bernalillo353,53,90,0,0,2,0,0,4,205,22,6,143,227
Bernalillo354,94,110,1,1,3,2,6,18,332,56,31,204,388
Bernalillo355,122,142,1,0,2,1,1,6,407,42,11,264,449
Bernalillo356,84,121,1,1,2,1,7,7,324,46,19,205,370
Bernalillo357,52,92,2,2,0,0,8,4,216,23,16,144,239
Bernalillo358,11,78,0,0,2,1,1,3,277,80,7,89,357
Bernalillo36,104,90,4,0,4,0,1,20,319,104,29,194,423
Bernalillo37,192,106,1,2,13,3,5,44,447,220,68,298,667
Bernalillo371,124,132,3,1,5,3,13,37,416,138,62,256,554
Bernalillo372,37,85,0,1,5,1,3,15,193,68,25,122,261
Bernalillo373,49,56,1,2,7,1,3,24,204,83,38,105,287
Bernalillo374,92,82,3,1,1,1,8,13,259,76,27,174,335
Bernalillo375,141,155,5,0,4,3,10,38,508,178,60,296,686
Bernalillo38,173,94,2,1,3,2,3,36,527,220,47,267,747
Bernalillo381,88,113,2,1,2,0,1,7,312,35,13,201,347
Bernalillo382,71,99,2,1,3,0,3,14,252,64,23,170,316
Bernalillo383,51,147,0,0,0,2,3,7,306,62,12,198,368
Bernalillo384,85,121,1,3,1,0,5,28,343,94,38,206,437
Bernalillo385,89,95,2,2,3,0,4,11,307,63,22,184,370
Bernalillo386,74,103,2,0,2,0,5,8,236,39,17,177,275
Bernalillo387,92,104,0,0,1,1,3,15,274,67,20,196,341
Bernalillo39,157,104,1,2,9,5,10,55,441,214,82,261,655
Bernalillo4,107,85,5,5,8,1,21,66,290,202,106,192,492
Bernalillo40,90,72,2,1,4,0,1,30,324,151,38,162,475
Bernalillo400,30,52,2,0,6,0,2,20,136,95,30,82,231
Bernalillo401,70,68,5,1,6,0,6,40,249,144,58,138,393
Bernalillo402,69,78,6,5,11,2,6,46,236,165,76,147,401
Bernalillo403,55,83,0,1,1,1,4,26,216,120,33,138,336
Bernalillo404,99,90,3,3,11,1,6,48,286,199,72,189,485
Bernalillo405,73,74,1,4,2,2,0,28,268,132,37,147,400
Bernalillo406,42,56,1,0,11,0,8,20,181,108,40,98,289
Bernalillo407,101,81,6,2,15,0,5,73,325,282,101,182,607
Bernalillo408,58,55,4,2,9,4,11,63,194,194,93,113,388
Bernalillo409,75,113,3,2,6,1,13,42,436,246,67,188,682
Bernalillo41,137,93,3,2,12,1,4,38,509,231,60,230,740
Bernalillo410,63,50,3,4,8,1,5,51,216,209,72,113,425
Bernalillo411,60,98,4,1,8,0,7,20,293,129,40,158,422
Bernalillo412,26,40,1,1,1,1,0,11,120,42,15,66,162
Bernalillo413,74,106,6,1,5,1,7,42,342,165,62,180,507
Bernalillo414,31,52,0,2,3,0,1,24,140,94,30,83,234
Bernalillo415,39,38,0,1,4,0,8,27,132,109,40,77,241
Bernalillo416,52,66,3,2,6,2,4,20,204,109,37,118,313
Bernalillo417,65,76,5,0,4,1,13,19,260,126,42,141,386
Bernalillo418,45,42,1,2,3,0,6,36,209,175,48,87,384
Bernalillo419,148,110,3,3,24,4,15,115,370,343,164,258,713
Bernalillo42,85,71,2,1,7,0,0,14,273,123,24,156,396
Bernalillo420,101,105,1,0,11,2,5,65,384,284,84,206,668
Bernalillo421,60,90,2,8,6,2,11,62,277,253,91,150,530
Bernalillo422,148,142,5,3,22,5,12,137,602,630,184,290,1232
Bernalillo423,161,129,7,10,14,6,27,181,676,734,245,290,1410
Bernalillo424,157,130,4,4,25,8,28,184,698,822,253,287,1520
Bernalillo425,141,90,7,5,14,3,26,128,524,547,183,231,1071
Bernalillo426,99,89,7,4,15,3,28,99,376,367,156,188,743
Bernalillo427,210,129,15,9,39,4,36,135,671,698,238,339,1369
Bernalillo428,84,56,1,1,5,1,9,76,314,242,93,140,556
Bernalillo429,128,77,10,3,14,1,30,91,446,369,149,205,815
Bernalillo43,76,60,2,2,2,0,5,34,389,167,45,136,556
Bernalillo430,53,58,6,3,13,0,10,65,253,269,97,111,522
Bernalillo431,52,71,2,2,4,0,7,28,215,119,43,123,334
Bernalillo432,72,102,1,1,3,2,6,36,317,185,49,174,502
Bernalillo433,55,48,2,0,5,0,3,27,195,121,37,103,316
Bernalillo434,44,46,1,2,6,0,6,14,168,74,29,90,242
Bernalillo435,63,88,5,0,10,1,1,47,303,201,64,151,504
Bernalillo436,69,50,1,3,4,0,3,30,204,127,41,119,331
Bernalillo437,37,49,3,0,7,1,2,17,140,65,30,86,205
Bernalillo438,49,75,2,0,5,2,3,18,345,137,30,124,482
Bernalillo439,84,111,3,4,9,3,8,34,389,187,61,195,576
Bernalillo44,130,148,1,0,8,1,5,40,511,233,55,278,744
Bernalillo440,39,36,2,1,4,2,6,17,139,99,32,75,238
Bernalillo441,68,63,1,1,2,2,2,20,222,110,28,131,332
Bernalillo442,51,89,1,0,5,2,2,17,253,110,27,140,363
Bernalillo443,47,76,1,2,5,2,1,19,191,96,30,123,287
Bernalillo444,43,78,1,1,2,0,4,23,209,105,31,121,314
Bernalillo445,50,59,0,2,4,0,5,34,178,134,45,109,312
Bernalillo446,58,59,3,1,4,4,7,26,210,144,45,117,354
Bernalillo447,156,107,9,6,38,4,30,224,621,975,311,263,1596
Bernalillo448,126,91,7,11,22,2,14,86,483,406,142,217,889
Bernalillo449,81,109,5,3,7,1,7,48,421,236,71,190,657
Bernalillo45,92,48,1,0,5,1,0,25,228,119,32,140,347
Bernalillo450,44,45,7,2,10,2,9,60,188,191,90,89,379
Bernalillo451,40,48,2,1,3,1,4,26,227,135,37,88,362
Bernalillo452,48,65,1,1,5,0,5,44,196,155,56,113,351
Bernalillo453,98,140,3,4,7,1,6,47,493,301,68,238,794
Bernalillo454,82,78,5,3,22,1,6,98,331,321,135,160,652
Bernalillo455,274,213,6,8,32,1,16,168,938,773,231,487,1711
Bernalillo456,93,103,6,7,16,6,9,83,416,420,127,196,836
Bernalillo46,152,111,2,0,4,0,2,23,411,177,31,263,588
Bernalillo461,38,48,2,2,4,0,9,37,174,132,54,86,306
Bernalillo462,47,43,1,4,2,1,5,28,172,113,41,90,285
Bernalillo463,33,50,2,3,6,0,3,36,167,153,50,83,320
Bernalillo464,27,59,0,1,4,2,1,27,136,108,35,86,244
Bernalillo465,82,100,1,2,10,0,6,61,358,226,80,182,584
Bernalillo466,49,62,2,5,7,1,2,39,202,206,56,111,408
Bernalillo47,53,40,0,1,1,0,2,8,151,70,12,93,221
Bernalillo471,52,75,4,3,4,0,16,58,186,165,85,127,351
Bernalillo472,39,42,3,2,7,1,5,35,135,157,53,81,292
Bernalillo473,58,45,2,1,10,0,4,33,182,101,50,103,283
Bernalillo474,39,28,0,3,4,0,3,24,130,114,34,67,244
Bernalillo475,52,85,3,2,9,1,4,36,267,167,55,137,434
Bernalillo476,69,81,1,2,13,3,7,56,228,249,82,150,477
Bernalillo477,104,81,0,4,9,3,3,33,381,165,52,185,546
Bernalillo478,85,78,5,3,9,1,3,31,310,178,52,163,488
Bernalillo48,118,113,3,0,11,0,2,26,434,156,42,231,590
Bernalillo480,73,93,4,2,15,2,7,80,301,289,110,166,590
Bernalillo481,26,33,1,1,2,1,5,17,151,87,27,59,238
Bernalillo482,74,58,9,1,10,3,27,88,253,300,138,132,553
Bernalillo483,77,73,3,9,13,1,10,65,335,336,101,150,671
Bernalillo484,70,60,3,2,9,1,10,41,255,166,66,130,421
Bernalillo485,83,53,3,3,17,4,13,71,282,279,111,136,561
Bernalillo486,90,85,4,1,24,2,13,81,329,305,125,175,634
Bernalillo487,91,50,3,3,6,1,6,52,270,241,71,141,511
