Precinct,gen_con_CASTLE,gen_rep_TRUMP,gen_lib_JOHNSON,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_FUENTE,pri_dem_SANDERS,pri_dem_CLINTON,pri_dem_OMALLEY,pri_rep_CARSON,pri_rep_FIORINA,pri_rep_CHRISTIE,pri_rep_TRUMP,pri_rep_BUSH,pri_rep_GILMORE,pri_rep_KASICH,pri_rep_GRAHAM,pri_rep_RUBIO,pri_rep_HUCKABEE,pri_rep_PAUL,pri_rep_SANTORUM,pri_rep_CRUZ,gen_total,rep_pri_total,dem_pri_total
12086557 PCT 557 0360,3,1062,17,1035,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,0,0
12086557.0 PCT 557 0360,0,0,0,0,0,0,63,160,9,2,0,0,91,27,0,6,0,537,0,3,2,46,0,714,232
12086558 PCT 558/974 0361,2,435,11,558,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,0,0
12086558.0 PCT 558/974 0361,0,0,0,0,0,0,19,92,0,0,0,0,41,7,0,0,0,230,0,0,0,9,0,287,111
12086559 PCT 559/994 0362,0,548,10,485,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0
12086559.0 PCT 559/994 0362,0,0,0,0,0,0,26,81,2,1,0,0,55,6,0,2,0,260,0,1,1,27,0,353,109
12086560 PCT 560/971 0363,4,427,11,504,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0,0
12086560.0 PCT 560/971 0363,0,0,0,0,0,0,18,79,0,0,0,0,35,11,0,4,0,192,0,0,1,15,0,258,97
12086561 PCT 561 0364,4,880,44,1467,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464,0,0
12086561.0 PCT 561 0364,0,0,0,0,0,0,114,193,2,3,0,0,93,11,0,10,0,355,1,0,1,33,0,507,309
12086562 PCT 562/633 0365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086562.0 PCT 562/633 0365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086563 PCT 563/566 0366,9,352,9,850,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249,0,0
12086563.0 PCT 563/566 0366,0,0,0,0,0,0,37,129,1,0,0,0,28,3,0,0,0,103,0,0,0,17,0,151,167
12086564 PCT 564 0367,7,460,7,1037,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,0,0
12086564.0 PCT 564 0367,0,0,0,0,0,0,36,149,2,1,0,0,55,19,0,1,0,152,0,3,1,9,0,241,187
12086565 PCT 565 0368,2,409,16,777,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,0,0
12086565.0 PCT 565 0368,0,0,0,0,0,0,42,102,1,0,0,0,41,16,0,6,0,138,0,0,0,25,0,226,145
12086566 PCT 563/566 0366,1,559,31,1359,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,0
12086566.0 PCT 563/566 0366,0,0,0,0,0,0,94,223,2,0,0,0,60,10,0,6,0,175,0,0,0,24,0,275,319
12086567 PCT 567/568/668 0369,0,690,26,889,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651,0,0
12086567.0 PCT 567/568/668 0369,0,0,0,0,0,0,70,165,2,1,0,0,81,11,0,14,0,285,0,0,0,30,0,422,237
12086568 PCT 567/568/668 0369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12086568.0 PCT 567/568/668 0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086569 PCT 569 0370,0,1033,42,1973,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,0,0
12086569.0 PCT 569 0370,0,0,0,0,0,0,120,421,5,0,0,1,200,18,0,39,0,312,0,0,0,63,0,633,546
12086570 PCT 570 0371,2,539,12,778,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0
12086570.0 PCT 570 0371,0,0,0,0,0,0,70,120,4,0,0,1,71,14,0,10,0,221,0,2,1,30,0,350,194
12086571 PCT 571/667 0372,1,98,3,202,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0
12086571.0 PCT 571/667 0372,0,0,0,0,0,0,16,46,1,2,0,0,15,0,0,1,0,40,0,0,0,6,0,64,63
12086572 PCT 572 0373,0,460,19,564,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0
12086572.0 PCT 572 0373,0,0,0,0,0,0,40,89,2,0,0,0,49,12,0,2,0,201,0,0,1,23,0,288,131
12086573 PCT 573 0374,2,771,28,910,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0
12086573.0 PCT 573 0374,0,0,0,0,0,0,65,164,4,1,1,0,111,10,0,4,0,353,0,0,1,37,0,518,233
12086574 PCT 574 0375,2,704,41,917,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,0,0
12086574.0 PCT 574 0375,0,0,0,0,0,0,50,138,5,2,0,1,73,17,0,4,0,313,0,0,0,32,0,442,193
12086575 PCT 575 0376,1,983,38,1171,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,0,0
12086575.0 PCT 575 0376,0,0,0,0,0,0,66,208,10,0,0,1,94,9,0,1,0,510,0,0,2,41,0,658,284
12086576 PCT 576 0377,2,916,28,1171,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,0,0
12086576.0 PCT 576 0377,0,0,0,0,0,0,95,171,1,0,0,0,98,7,0,6,0,414,0,0,0,39,0,564,267
12086577 PCT 577 0378,1,636,34,1188,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,0,0
12086577.0 PCT 577 0378,0,0,0,0,0,0,92,183,5,2,0,0,69,7,0,6,0,245,0,1,0,23,0,353,280
12086578 PCT 578 0379,0,584,28,830,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,0
12086578.0 PCT 578 0379,0,0,0,0,0,0,49,110,4,1,0,0,74,5,0,9,0,245,0,0,1,34,0,369,163
12086579 PCT 579 0380,10,1002,47,1326,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2455,0,0
12086579.0 PCT 579 0380,0,0,0,0,0,0,125,236,4,0,0,0,119,18,0,14,2,396,0,0,2,42,0,593,365
12086580 PCT 501/580 0312,2,12,1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0
12086580.0 PCT 501/580 0312,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,21
12086581 PCT 581 0381,0,442,10,924,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,0,0
12086581.0 PCT 581 0381,0,0,0,0,0,0,22,125,3,1,1,1,37,16,2,1,0,177,0,1,0,19,0,256,150
12086582 PCT 582 0382,1,998,60,1916,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3048,0,0
12086582.0 PCT 582 0382,0,0,0,0,0,0,169,540,6,1,0,0,202,20,0,74,0,282,0,2,1,56,0,638,715
12086583 PCT 583 0383,0,283,35,1029,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,0
12086583.0 PCT 583 0383,0,0,0,0,0,0,142,195,2,1,0,0,57,4,0,29,0,57,0,0,0,10,0,158,339
12086584 PCT 584 0384,1,196,9,1040,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,0
12086584.0 PCT 584 0384,0,0,0,0,0,0,86,274,1,1,0,0,31,6,0,5,0,62,0,0,0,5,0,110,361
12086585 PCT 585/634 0385,0,24,4,521,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0
12086585.0 PCT 585/634 0385,0,0,0,0,0,0,51,176,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,7,227
12086586 PCT 586/635 0386,1,357,29,1034,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0
12086586.0 PCT 586/635 0386,0,0,0,0,0,0,102,268,1,0,0,0,73,5,0,32,0,101,0,0,1,24,0,236,371
12086587 PCT 587 0387,0,470,36,1254,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812,0,0
12086587.0 PCT 587 0387,0,0,0,0,0,0,148,342,2,1,0,0,100,10,0,41,0,96,1,0,0,17,0,266,492
12086588 PCT 528/588/589 0335,0,5,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
12086588.0 PCT 528/588/589 0335,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
12086589 PCT 528/588/589 0335,0,9,0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
12086589.0 PCT 528/588/589 0335,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13
12086591 PCT 591 0388,1,305,9,1052,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,0,0
12086591.0 PCT 591 0388,0,0,0,0,0,0,33,188,1,0,0,0,31,15,0,3,0,131,1,0,0,10,0,191,222
12086592 PCT 526/592/987 0333,0,362,15,707,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,0,0
12086592.0 PCT 526/592/987 0333,0,0,0,0,0,0,20,105,1,0,0,0,37,13,0,0,0,150,0,0,1,14,0,215,126
12086593 PCT 593 0389,0,526,15,1116,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724,0,0
12086593.0 PCT 593 0389,0,0,0,0,0,0,40,138,4,0,0,0,56,15,0,4,0,204,0,0,0,15,0,294,182
12086594 PCT 527/594/595 0334,2,203,12,526,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0
12086594.0 PCT 527/594/595 0334,0,0,0,0,0,0,17,59,1,1,0,0,17,2,0,0,0,66,0,0,0,10,0,96,77
12086595 PCT 527/594/595 0334,0,99,2,247,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0
12086595.0 PCT 527/594/595 0334,0,0,0,0,0,0,10,28,1,0,0,0,12,3,0,1,0,39,0,0,0,4,0,59,39
12086596 PCT 547/596 0352,1,678,15,981,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,0,0
12086596.0 PCT 547/596 0352,0,0,0,0,0,0,37,99,1,0,0,0,58,23,0,3,0,229,0,1,0,29,0,343,137
12086597 PCT 522/597/598 0330,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
12086597.0 PCT 522/597/598 0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086598 PCT 522/597/598 0330,0,73,3,221,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0
12086598.0 PCT 522/597/598 0330,0,0,0,0,0,0,5,46,0,0,0,0,2,3,0,0,0,36,0,0,0,1,0,42,51
12086599 PCT 537/599 0344,0,82,8,328,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0
12086599.0 PCT 537/599 0344,0,0,0,0,0,0,32,33,2,0,0,0,9,1,0,2,0,9,0,0,0,1,0,22,67
12086601 PCT 601 0390,2,655,26,737,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,0
12086601.0 PCT 601 0390,0,0,0,0,0,0,98,192,2,0,0,0,132,4,0,15,0,271,0,0,0,48,0,470,292
12086602 PCT 602 0391,0,517,16,622,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,0
12086602.0 PCT 602 0391,0,0,0,0,0,0,69,160,0,0,0,0,80,6,0,20,0,240,1,0,0,33,0,380,229
12086603 PCT 603/643 0392,0,110,6,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0
12086603.0 PCT 603/643 0392,0,0,0,0,0,0,25,36,1,0,0,0,10,1,0,0,0,37,0,0,0,5,0,53,62
12086604 PCT 604/644 0393,4,516,37,1174,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796,0,0
12086604.0 PCT 604/644 0393,0,0,0,0,0,0,107,226,1,1,1,0,69,10,0,19,0,179,0,0,0,38,0,317,334
12086606 PCT 606 0394,2,597,45,1290,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,0,0
12086606.0 PCT 606 0394,0,0,0,0,0,0,157,352,6,0,1,0,96,11,0,30,0,179,1,0,0,36,0,354,515
12086607 PCT 607 0395,3,647,36,816,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,0,0
12086607.0 PCT 607 0395,0,0,0,0,0,0,77,233,1,2,1,0,108,10,0,36,0,256,0,1,0,38,0,452,311
12086608 PCT 608 0396,0,780,37,766,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,0,0
12086608.0 PCT 608 0396,0,0,0,0,0,0,86,196,9,2,0,0,139,15,0,36,1,352,0,0,0,52,0,597,291
12086609 PCT 609 0397,3,465,33,745,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0
12086609.0 PCT 609 0397,0,0,0,0,0,0,78,151,4,0,0,1,59,6,0,19,0,177,0,1,0,20,0,283,233
12086611 PCT 611 0398,1,821,29,714,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0
12086611.0 PCT 611 0398,0,0,0,0,0,0,57,198,5,0,1,0,151,13,0,38,1,370,0,0,0,37,0,611,260
12086612 PCT 612 0399,2,321,10,568,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,0
12086612.0 PCT 612 0399,0,0,0,0,0,0,66,120,0,0,0,1,51,5,0,20,0,158,0,1,0,12,0,248,186
12086613 PCT 613 0400,0,486,24,689,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,0,0
12086613.0 PCT 613 0400,0,0,0,0,0,0,72,150,2,0,0,0,95,12,0,33,0,198,0,0,0,32,0,370,224
12086614 PCT 614 0401,0,409,14,515,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0
12086614.0 PCT 614 0401,0,0,0,0,0,0,42,104,2,0,1,0,63,11,0,29,0,191,0,0,0,27,0,322,148
12086615 PCT 615 0402,2,603,34,658,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,0,0
12086615.0 PCT 615 0402,0,0,0,0,0,0,38,199,4,4,0,0,97,9,0,58,0,240,0,0,0,37,0,445,241
12086616 PCT 616 0403,0,501,19,606,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0,0
12086616.0 PCT 616 0403,0,0,0,0,0,0,57,155,2,0,1,0,81,6,0,28,0,152,0,1,0,18,0,287,214
12086617 PCT 617 0404,0,1290,42,1233,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2635,0,0
12086617.0 PCT 617 0404,0,0,0,0,0,0,77,300,2,1,0,2,257,30,1,46,0,445,0,2,0,52,0,836,379
12086618 PCT 618/646 0405,0,482,22,444,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0
12086618.0 PCT 618/646 0405,0,0,0,0,0,0,28,116,2,2,0,0,88,4,0,36,0,142,0,3,0,22,0,297,146
12086621 PCT 621/673 0406,1,373,24,1364,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809,0,0
12086621.0 PCT 621/673 0406,0,0,0,0,0,0,111,326,1,2,0,0,45,4,0,8,0,69,0,1,0,17,0,146,438
12086622 PCT 622/652/674 0407,0,59,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0
12086622.0 PCT 622/652/674 0407,0,0,0,0,0,0,7,11,0,0,0,0,14,0,0,2,0,19,0,0,0,2,0,37,18
12086623 PCT 623/642/653 0408,1,194,12,307,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0
12086623.0 PCT 623/642/653 0408,0,0,0,0,0,0,49,86,2,0,0,0,33,1,0,12,0,66,1,1,0,16,0,130,137
12086624 PCT 624/995 0409,2,305,13,617,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0
12086624.0 PCT 624/995 0409,0,0,0,0,0,0,46,116,1,0,0,0,60,6,0,8,0,71,0,0,0,7,0,152,163
12086625 PCT 625 0410,1,567,25,1090,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719,0,0
12086625.0 PCT 625 0410,0,0,0,0,0,0,119,267,3,0,0,0,83,5,0,30,1,175,0,0,0,32,0,326,389
12086626 PCT 626/648 0411,0,189,12,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0
12086626.0 PCT 626/648 0411,0,0,0,0,0,0,13,70,0,0,0,0,35,9,0,20,0,50,0,0,0,11,0,125,83
12086627 PCT 627 0412,1,688,38,878,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0
12086627.0 PCT 627 0412,0,0,0,0,0,0,108,238,6,3,0,0,129,7,0,29,0,226,0,0,0,41,0,435,352
12086628 PCT 628/649 0413,0,426,16,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0,0
12086628.0 PCT 628/649 0413,0,0,0,0,0,0,40,139,0,0,0,0,63,4,0,18,0,146,0,0,0,26,0,257,179
12086630 PCT 630 0414,0,550,22,726,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,0,0
12086630.0 PCT 630 0414,0,0,0,0,0,0,55,184,2,1,0,0,84,4,0,31,0,212,0,0,0,32,0,364,241
12086631 PCT 631/650 0415,0,310,11,346,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0
12086631.0 PCT 631/650 0415,0,0,0,0,0,0,35,113,2,0,0,0,47,4,0,24,0,88,0,0,1,12,0,176,150
12086632 PCT 632 0416,1,681,39,964,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,0,0
12086632.0 PCT 632 0416,0,0,0,0,0,0,119,278,4,3,0,0,120,4,0,35,0,231,0,0,0,41,0,434,401
12086633 PCT 562/633 0365,1,533,35,975,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0
12086633.0 PCT 562/633 0365,0,0,0,0,0,0,94,153,1,1,0,0,76,7,0,10,0,210,0,1,1,24,0,330,248
12086634 PCT 585/634 0385,0,13,3,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0
12086634.0 PCT 585/634 0385,0,0,0,0,0,0,14,75,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,5,89
12086635 PCT 586/635 0386,0,61,2,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0
12086635.0 PCT 586/635 0386,0,0,0,0,0,0,7,34,0,1,0,0,10,0,0,6,0,12,0,0,0,8,0,37,41
12086636 PCT 636 0417,1,918,50,1253,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298,0,0
12086636.0 PCT 636 0417,0,0,0,0,0,0,141,309,5,0,0,0,161,23,0,73,0,380,0,0,0,41,0,678,455
12086640 PCT 640 0418,3,531,36,1047,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,0,0
12086640.0 PCT 640 0418,0,0,0,0,0,0,111,96,7,2,0,0,63,6,0,26,0,150,0,0,0,22,0,269,214
12086641 PCT 641 0419,0,745,29,1104,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,0,0
12086641.0 PCT 641 0419,0,0,0,0,0,0,119,321,6,4,0,0,133,12,0,52,0,262,0,1,0,35,0,499,446
12086642 PCT 623/642/653 0408,0,154,8,278,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0
12086642.0 PCT 623/642/653 0408,0,0,0,0,0,0,34,63,1,1,0,0,25,1,0,6,0,46,0,0,0,5,0,84,98
12086643 PCT 603/643 0392,1,358,15,535,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,0,0
12086643.0 PCT 603/643 0392,0,0,0,0,0,0,46,104,3,0,0,0,52,8,0,8,0,167,0,0,0,23,0,258,153
12086644 PCT 604/644 0393,1,188,9,374,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0
12086644.0 PCT 604/644 0393,0,0,0,0,0,0,60,112,0,1,0,0,40,3,0,14,0,63,0,0,0,6,0,127,172
12086646 PCT 618/646 0405,0,56,4,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0
12086646.0 PCT 618/646 0405,0,0,0,0,0,0,9,38,0,1,0,0,15,1,0,6,0,21,0,0,0,4,0,48,47
12086648 PCT 626/648 0411,0,11,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
12086648.0 PCT 626/648 0411,0,0,0,0,0,0,2,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,13
12086649 PCT 628/649 0413,1,297,9,556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0
12086649.0 PCT 628/649 0413,0,0,0,0,0,0,55,177,3,0,0,0,49,4,0,17,0,122,0,0,0,16,0,208,235
12086650 PCT 631/650 0415,0,128,9,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0
12086650.0 PCT 631/650 0415,0,0,0,0,0,0,12,65,2,0,0,0,17,1,0,10,0,43,0,0,0,11,0,82,79
12086651 PCT 651 0420,1,174,13,235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0
12086651.0 PCT 651 0420,0,0,0,0,0,0,37,29,0,0,0,0,20,3,0,2,0,71,0,0,0,12,0,108,66
12086652 PCT 622/652/674 0407,0,170,14,217,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0
12086652.0 PCT 622/652/674 0407,0,0,0,0,0,0,28,36,6,0,0,0,22,0,0,9,0,69,0,0,0,8,0,108,70
12086653 PCT 623/642/653 0408,1,231,16,308,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0
12086653.0 PCT 623/642/653 0408,0,0,0,0,0,0,34,58,2,1,0,0,43,3,0,10,0,77,0,0,0,15,0,149,94
12086655 PCT 542/655/656/985 0347,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
12086655.0 PCT 542/655/656/985 0347,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
12086656 PCT 542/655/656/985 0347,1,109,6,333,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0
12086656.0 PCT 542/655/656/985 0347,0,0,0,0,0,0,14,77,1,0,0,1,12,4,0,1,0,57,0,0,0,7,0,82,92
12086658 PCT 544/658/659/982/ 0349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086658.0 PCT 544/658/659/982/ 0349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086659 PCT 544/658/659/982/ 0349,0,106,1,221,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0
12086659.0 PCT 544/658/659/982/ 0349,0,0,0,0,0,0,22,61,0,0,0,0,32,0,0,2,0,24,0,0,0,2,0,60,83
12086667 PCT 571/667 0372,1,427,11,568,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,0
12086667.0 PCT 571/667 0372,0,0,0,0,0,0,37,96,2,0,0,0,57,2,0,15,0,156,0,1,0,26,0,257,135
12086668 PCT 567/568/668 0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086668.0 PCT 567/568/668 0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086669 PCT 669 0421,7,518,12,1070,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,0,0
12086669.0 PCT 669 0421,0,0,0,0,0,0,40,175,1,1,1,0,65,7,0,2,0,180,0,0,0,25,0,281,216
12086670 PCT 548/670 0353,0,1049,25,1080,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225,0,0
12086670.0 PCT 548/670 0353,0,0,0,0,0,0,57,184,8,1,0,0,111,19,0,4,0,448,0,2,0,45,0,630,249
12086672 PCT 672 0422,0,460,19,619,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,0,0
12086672.0 PCT 672 0422,0,0,0,0,0,0,83,133,2,1,0,1,74,5,0,17,0,180,1,0,0,25,0,304,218
12086673 PCT 621/673 0406,0,53,5,274,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0
12086673.0 PCT 621/673 0406,0,0,0,0,0,0,38,90,0,0,0,0,8,2,0,0,0,9,1,0,0,0,0,20,128
12086674 PCT 622/652/674 0407,1,311,18,434,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0
12086674.0 PCT 622/652/674 0407,0,0,0,0,0,0,57,121,2,0,0,0,46,0,0,14,0,121,0,1,0,13,0,195,180
12086693 PCT 693 0423,1,478,16,889,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,0,0
12086693.0 PCT 693 0423,0,0,0,0,0,0,55,128,4,2,0,0,48,1,0,6,1,134,0,0,0,30,0,222,187
12086694 PCT 694 0424,2,596,30,1017,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,0,0
12086694.0 PCT 694 0424,0,0,0,0,0,0,55,152,0,0,0,0,69,4,0,1,0,179,0,0,0,22,0,275,207
12086695 PCT 695 0425,7,757,20,1036,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,0,0
12086695.0 PCT 695 0425,0,0,0,0,0,0,55,148,2,0,0,0,66,9,0,3,0,216,1,0,0,31,0,326,205
12086696 PCT 696 0426,1,579,38,1169,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833,0,0
12086696.0 PCT 696 0426,0,0,0,0,0,0,127,158,2,0,0,0,87,2,0,10,0,140,0,0,0,27,0,266,287
12086697 PCT 697 0427,2,837,35,996,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922,0,0
12086697.0 PCT 697 0427,0,0,0,0,0,0,66,170,3,1,0,0,98,5,0,6,0,349,1,0,0,43,0,503,239
12086699 PCT 699 0428,1,321,16,665,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,0,0
12086699.0 PCT 699 0428,0,0,0,0,0,0,44,125,3,0,0,0,36,0,0,14,0,98,0,1,0,20,0,169,172
12086700 PCT 700 0429,0,299,8,506,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0
12086700.0 PCT 700 0429,0,0,0,0,0,0,27,98,0,0,0,0,28,0,0,4,0,73,0,0,0,11,0,116,125
12086701 PCT 701 0430,3,1048,28,1065,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216,0,0
