,county,precinct,office,district,candidate,party,election_day,early_voting,provisional,votes
5381,Yavapai,236,COUNTY TREASURER,,Overvote,,0,0,0,0
5382,Yavapai,236,COUNTY TREASURER,,Undervote,,128,16,0,144
5383,Yavapai,236,COUNTY TREASURER,,TotalVotes,,244,65,1,310
5384,Yavapai,236,JUDGE OF SUPERIOR COURT - DIV. 4,,Overvote,,0,1,0,1
5385,Yavapai,236,JUDGE OF SUPERIOR COURT - DIV. 4,,Undervote,,168,22,0,190
5386,Yavapai,236,JUDGE OF SUPERIOR COURT - DIV. 4,,TotalVotes,,204,58,1,263
5387,Yavapai,236,JUDGE OF SUPERIOR COURT - DIV. 7,,Overvote,,0,0,0,0
5388,Yavapai,236,JUDGE OF SUPERIOR COURT - DIV. 7,,Undervote,,174,23,0,197
5389,Yavapai,236,JUDGE OF SUPERIOR COURT - DIV. 7,,TotalVotes,,198,58,1,257
5390,Yavapai,236,TIMMER - JUSTICE OF THE AZ SUPREME COURT,,Overvote,,0,0,0,0
5391,Yavapai,236,TIMMER - JUSTICE OF THE AZ SUPREME COURT,,Undervote,,137,25,0,162
5392,Yavapai,236,TIMMER - JUSTICE OF THE AZ SUPREME COURT,,TotalVotes,,235,56,1,292
5393,Yavapai,236,BROWN - JUDGE OF THE COURT OF APPEALS,,Overvote,,0,1,0,1
