county,precinct,office,district,party,candidate,votes
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Lindsey Graham,1
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Marco Rubio,310
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Mike Huckabee,4
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Over Votes,0
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Rand Paul,4
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Rick Santorum,0
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Ted Cruz,314
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Uncommitted,25
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Under Votes,4
Autauga,160 DOSTER COMMUNITY CENTER,U.S. House,2,REP,Becky Gerritson,526
Autauga,160 DOSTER COMMUNITY CENTER,U.S. House,2,REP,Martha Roby,982
Autauga,160 DOSTER COMMUNITY CENTER,U.S. House,2,REP,Over Votes,0
Autauga,160 DOSTER COMMUNITY CENTER,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",86
Autauga,160 DOSTER COMMUNITY CENTER,U.S. House,2,REP,Under Votes,67
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,DEM,Charles Nana,95
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,DEM,Over Votes,0
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,DEM,Ron Crumpton,128
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,DEM,Under Votes,111
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,REP,John Martin,44
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,REP,Jonathan McConnell,478
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,REP,Marcus Bowman,35
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,REP,Over Votes,0
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,REP,Richard C. Shelby,985
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,REP,Shadrack McGill,19
Autauga,160 DOSTER COMMUNITY CENTER,U.S. Senate,,REP,Under Votes,100
Autauga,170 CAMELLIA BAPTIST CH,President,,DEM,Bernie Sanders,48
Autauga,170 CAMELLIA BAPTIST CH,President,,DEM,Hillary Clinton,163
Autauga,170 CAMELLIA BAPTIST CH,President,,DEM,Martin J. O'Malley,1
Autauga,170 CAMELLIA BAPTIST CH,President,,DEM,Over Votes,1
