precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_RIVA,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
BERNALILLO3,86,95,2,2,14,0,4,66,0,381,20,0,9,1,86,352,88,181,849
BERNALILLO30,292,168,9,4,25,4,33,165,0,870,25,1,8,3,148,624,240,460,1679
BERNALILLO300,40,40,3,0,8,2,3,24,3,164,6,0,5,1,62,143,40,80,384
BERNALILLO301,71,51,4,2,14,3,7,41,0,246,7,0,9,1,61,226,71,122,550
BERNALILLO302,178,150,7,9,33,1,40,173,4,613,13,0,7,1,158,619,263,328,1415
BERNALILLO303,56,40,2,2,7,1,5,33,1,184,7,0,2,1,34,114,50,96,343
BERNALILLO304,59,46,2,2,7,2,10,37,1,202,2,0,2,0,41,175,60,105,423
BERNALILLO305,62,84,5,1,6,0,5,37,1,299,7,1,5,0,63,155,54,146,531
BERNALILLO306,43,52,2,2,5,1,4,33,1,151,3,1,3,0,51,152,47,95,362
BERNALILLO307,73,63,0,0,14,0,11,52,1,265,6,0,1,0,63,219,77,136,555
BERNALILLO308,53,45,2,3,11,3,4,46,0,179,1,0,8,1,54,174,69,98,417
BERNALILLO31,90,58,1,1,1,0,0,17,0,346,13,1,2,3,55,64,20,148,484
BERNALILLO311,48,97,1,0,4,2,5,25,0,269,9,0,8,3,31,94,37,145,414
BERNALILLO312,56,133,0,0,3,0,3,21,1,319,8,1,3,5,40,85,27,189,462
BERNALILLO313,36,58,2,1,0,1,0,14,0,171,10,0,0,3,25,68,18,94,277
BERNALILLO314,71,98,0,2,7,1,8,23,1,244,9,0,2,0,41,163,41,169,460
BERNALILLO315,48,70,2,0,7,2,10,29,0,212,5,0,4,2,51,140,50,118,414
BERNALILLO316,92,79,5,2,12,1,8,45,1,263,6,0,6,0,50,172,73,171,498
BERNALILLO317,45,67,2,3,7,1,2,36,0,197,8,0,1,0,42,101,51,112,349
BERNALILLO318,51,49,0,0,3,1,0,16,2,293,4,0,1,0,49,114,20,100,463
BERNALILLO32,90,88,3,0,1,0,1,25,0,381,8,0,2,3,70,145,30,178,609
BERNALILLO321,46,63,1,3,3,0,1,11,0,199,0,0,2,2,40,69,19,109,312
BERNALILLO322,33,56,1,0,2,0,2,14,0,150,7,1,0,0,27,66,19,89,251
BERNALILLO323,36,66,2,0,2,2,3,18,0,252,7,1,0,3,41,101,27,102,405
BERNALILLO324,139,129,5,9,16,3,12,102,5,527,15,0,22,0,104,387,147,268,1060
BERNALILLO326,64,61,1,2,7,0,2,17,0,248,2,0,3,1,51,80,29,125,385
BERNALILLO327,45,63,2,4,7,0,2,30,2,266,5,0,3,0,53,163,45,108,492
BERNALILLO328,116,134,7,6,16,2,20,125,2,489,12,2,13,1,123,437,176,250,1079
BERNALILLO329,48,52,2,0,4,0,0,20,0,212,5,0,1,0,46,132,26,100,396
BERNALILLO33,162,84,1,2,5,1,1,18,1,503,4,2,1,2,73,143,28,246,729
BERNALILLO330,28,39,3,0,3,0,2,27,0,160,10,0,4,0,38,100,35,67,312
BERNALILLO331,25,49,0,1,5,1,0,15,0,190,3,0,4,0,30,77,22,74,304
BERNALILLO332,71,90,0,2,9,2,5,55,0,239,5,1,3,2,70,207,73,161,527
BERNALILLO333,103,78,8,6,27,2,34,149,0,364,5,0,9,1,97,436,226,181,912
BERNALILLO34,68,30,0,0,1,0,0,10,2,219,5,0,2,1,30,88,11,98,347
BERNALILLO341,88,102,2,0,3,0,7,23,1,294,14,0,0,0,19,72,35,190,400
BERNALILLO342,32,97,0,1,1,0,2,5,0,209,10,0,1,2,22,25,9,129,269
BERNALILLO343,92,154,1,1,2,2,6,13,1,347,13,0,2,1,43,59,25,246,466
BERNALILLO344,124,165,5,2,2,0,7,30,1,451,14,0,1,1,65,118,46,289,651
BERNALILLO345,130,163,3,7,9,1,11,27,0,544,14,0,9,5,93,146,58,293,811
BERNALILLO346,32,60,2,1,4,1,0,19,0,200,9,1,2,1,52,109,27,92,374
BERNALILLO347,48,76,1,0,8,0,2,31,1,231,6,0,0,0,58,152,42,124,448
BERNALILLO35,58,56,1,1,9,1,2,25,0,215,9,0,0,0,37,104,39,114,365
BERNALILLO351,78,100,0,2,2,1,4,3,0,271,7,0,2,0,29,29,12,178,338
BERNALILLO352,105,116,0,2,2,3,2,17,0,353,10,1,0,2,27,68,26,221,461
BERNALILLO353,53,90,0,0,2,0,0,4,0,205,8,0,1,2,18,22,6,143,256
BERNALILLO354,94,110,1,1,3,2,6,18,0,332,7,0,5,0,30,56,31,204,430
BERNALILLO355,122,142,1,0,2,1,1,6,0,407,6,1,2,1,25,42,11,264,484
BERNALILLO356,84,121,1,1,2,1,7,7,0,324,9,0,2,3,26,46,19,205,410
BERNALILLO357,52,92,2,2,0,0,8,4,0,216,8,0,1,0,18,23,16,144,266
BERNALILLO358,11,78,0,0,2,1,1,3,2,277,14,0,5,2,60,80,7,89,440
BERNALILLO36,104,90,4,0,4,0,1,20,0,319,9,0,0,1,40,104,29,194,473
BERNALILLO37,192,106,1,2,13,3,5,44,2,447,3,0,3,1,67,220,68,298,743
BERNALILLO371,124,132,3,1,5,3,13,37,0,416,7,0,4,0,53,138,62,256,618
BERNALILLO372,37,85,0,1,5,1,3,15,0,193,8,0,5,0,32,68,25,122,306
BERNALILLO373,49,56,1,2,7,1,3,24,2,204,6,0,6,0,36,83,38,105,337
BERNALILLO374,92,82,3,1,1,1,8,13,0,259,13,0,3,3,35,76,27,174,389
BERNALILLO375,141,155,5,0,4,3,10,38,0,508,14,1,3,1,77,178,60,296,782
BERNALILLO38,173,94,2,1,3,2,3,36,1,527,9,4,2,2,96,220,47,267,861
BERNALILLO381,88,113,2,1,2,0,1,7,0,312,12,0,0,1,25,35,13,201,385
BERNALILLO382,71,99,2,1,3,0,3,14,1,252,6,0,1,0,23,64,23,170,347
BERNALILLO383,51,147,0,0,0,2,3,7,0,306,15,0,0,3,31,62,12,198,417
BERNALILLO384,85,121,1,3,1,0,5,28,0,343,16,1,3,0,43,94,38,206,500
BERNALILLO385,89,95,2,2,3,0,4,11,0,307,9,0,2,1,39,63,22,184,421
BERNALILLO386,74,103,2,0,2,0,5,8,0,236,16,0,3,1,29,39,17,177,324
BERNALILLO387,92,104,0,0,1,1,3,15,1,274,4,0,0,3,30,67,20,196,379
BERNALILLO39,157,104,1,2,9,5,10,55,0,441,9,1,3,0,86,214,82,261,754
BERNALILLO4,107,85,5,5,8,1,21,66,0,290,7,0,7,0,66,202,106,192,572
BERNALILLO40,90,72,2,1,4,0,1,30,1,324,5,0,1,1,53,151,38,162,536
BERNALILLO400,30,52,2,0,6,0,2,20,2,136,6,0,2,1,36,95,30,82,278
BERNALILLO401,70,68,5,1,6,0,6,40,0,249,10,1,2,0,64,144,58,138,470
BERNALILLO402,69,78,6,5,11,2,6,46,1,236,5,0,10,1,59,165,76,147,477
BERNALILLO403,55,83,0,1,1,1,4,26,1,216,8,0,1,1,40,120,33,138,387
BERNALILLO404,99,90,3,3,11,1,6,48,5,286,5,0,2,2,63,199,72,189,562
BERNALILLO405,73,74,1,4,2,2,0,28,0,268,12,0,3,0,43,132,37,147,458
BERNALILLO406,42,56,1,0,11,0,8,20,1,181,5,0,5,0,38,108,40,98,338
BERNALILLO407,101,81,6,2,15,0,5,73,0,325,1,0,4,1,81,282,101,182,694
BERNALILLO408,58,55,4,2,9,4,11,63,0,194,4,0,5,0,63,194,93,113,460
BERNALILLO409,75,113,3,2,6,1,13,42,0,436,17,1,11,1,102,246,67,188,814
BERNALILLO41,137,93,3,2,12,1,4,38,3,509,6,1,1,0,91,231,60,230,842
BERNALILLO410,63,50,3,4,8,1,5,51,0,216,4,0,0,0,54,209,72,113,483
BERNALILLO411,60,98,4,1,8,0,7,20,1,293,15,0,1,1,50,129,40,158,490
BERNALILLO412,26,40,1,1,1,1,0,11,1,120,2,0,0,1,32,42,15,66,198
BERNALILLO413,74,106,6,1,5,1,7,42,0,342,15,0,2,2,68,165,62,180,594
BERNALILLO414,31,52,0,2,3,0,1,24,0,140,2,0,2,0,35,94,30,83,273
BERNALILLO415,39,38,0,1,4,0,8,27,1,132,1,0,4,0,37,109,40,77,284
BERNALILLO416,52,66,3,2,6,2,4,20,0,204,7,0,1,1,49,109,37,118,371
BERNALILLO417,65,76,5,0,4,1,13,19,1,260,12,0,2,1,57,126,42,141,459
BERNALILLO418,45,42,1,2,3,0,6,36,0,209,4,1,6,0,49,175,48,87,444
BERNALILLO419,148,110,3,3,24,4,15,115,2,370,6,0,10,3,96,343,164,258,830
BERNALILLO42,85,71,2,1,7,0,0,14,1,273,6,0,3,1,63,123,24,156,470
BERNALILLO420,101,105,1,0,11,2,5,65,1,384,10,0,7,1,102,284,84,206,789
BERNALILLO421,60,90,2,8,6,2,11,62,2,277,10,0,4,1,64,253,91,150,611
BERNALILLO422,148,142,5,3,22,5,12,137,1,602,10,0,17,2,147,630,184,290,1409
BERNALILLO423,161,129,7,10,14,6,27,181,0,676,12,1,22,3,158,734,245,290,1606
BERNALILLO424,157,130,4,4,25,8,28,184,0,698,13,0,19,1,186,822,253,287,1739
BERNALILLO425,141,90,7,5,14,3,26,128,2,524,5,1,18,0,127,547,183,231,1224
BERNALILLO426,99,89,7,4,15,3,28,99,0,376,8,0,19,0,110,367,156,188,880
BERNALILLO427,210,129,15,9,39,4,36,135,6,671,11,0,23,1,158,698,238,339,1568
BERNALILLO428,84,56,1,1,5,1,9,76,0,314,8,1,6,1,40,242,93,140,612
BERNALILLO429,128,77,10,3,14,1,30,91,4,446,14,0,17,0,102,369,149,205,952
BERNALILLO43,76,60,2,2,2,0,5,34,2,389,2,0,0,0,55,167,45,136,615
BERNALILLO430,53,58,6,3,13,0,10,65,0,253,3,0,17,0,78,269,97,111,620
BERNALILLO431,52,71,2,2,4,0,7,28,1,215,7,0,2,1,53,119,43,123,398
BERNALILLO432,72,102,1,1,3,2,6,36,0,317,10,0,2,3,58,185,49,174,575
BERNALILLO433,55,48,2,0,5,0,3,27,0,195,12,1,2,0,45,121,37,103,376
BERNALILLO434,44,46,1,2,6,0,6,14,1,168,2,2,1,0,47,74,29,90,295
BERNALILLO435,63,88,5,0,10,1,1,47,0,303,1,1,4,2,46,201,64,151,558
BERNALILLO436,69,50,1,3,4,0,3,30,0,204,7,1,3,0,50,127,41,119,392
BERNALILLO437,37,49,3,0,7,1,2,17,0,140,5,1,1,0,34,65,30,86,246
BERNALILLO438,49,75,2,0,5,2,3,18,0,345,17,0,4,1,54,137,30,124,558
BERNALILLO439,84,111,3,4,9,3,8,34,0,389,21,1,12,1,96,187,61,195,707
BERNALILLO44,130,148,1,0,8,1,5,40,1,511,11,1,3,1,86,233,55,278,847
BERNALILLO440,39,36,2,1,4,2,6,17,0,139,1,0,0,1,38,99,32,75,278
BERNALILLO441,68,63,1,1,2,2,2,20,1,222,7,0,1,0,38,110,28,131,379
BERNALILLO442,51,89,1,0,5,2,2,17,1,253,5,0,1,0,40,110,27,140,410
BERNALILLO443,47,76,1,2,5,2,1,19,1,191,12,1,0,3,57,96,30,123,361
BERNALILLO444,43,78,1,1,2,0,4,23,0,209,5,0,1,0,38,105,31,121,358
BERNALILLO445,50,59,0,2,4,0,5,34,3,178,9,0,2,0,47,134,45,109,373
BERNALILLO446,58,59,3,1,4,4,7,26,1,210,8,0,2,1,56,144,45,117,422
BERNALILLO447,156,107,9,6,38,4,30,224,0,621,7,0,21,0,209,975,311,263,1833
BERNALILLO448,126,91,7,11,22,2,14,86,0,483,8,0,11,1,120,406,142,217,1029
BERNALILLO449,81,109,5,3,7,1,7,48,3,421,11,0,12,1,91,236,71,190,775
BERNALILLO45,92,48,1,0,5,1,0,25,0,228,3,0,0,1,44,119,32,140,395
BERNALILLO450,44,45,7,2,10,2,9,60,0,188,3,0,4,0,38,191,90,89,424
BERNALILLO451,40,48,2,1,3,1,4,26,1,227,8,1,6,0,44,135,37,88,422
BERNALILLO452,48,65,1,1,5,0,5,44,0,196,6,0,2,0,53,155,56,113,412
BERNALILLO453,98,140,3,4,7,1,6,47,1,493,18,0,6,2,99,301,68,238,920
BERNALILLO454,82,78,5,3,22,1,6,98,1,331,5,1,12,0,92,321,135,160,763
BERNALILLO455,274,213,6,8,32,1,16,168,2,938,15,0,26,1,219,773,231,487,1974
BERNALILLO456,93,103,6,7,16,6,9,83,1,416,15,1,13,1,100,420,127,196,967
BERNALILLO46,152,111,2,0,4,0,2,23,2,411,14,2,0,1,56,177,31,263,663
BERNALILLO461,38,48,2,2,4,0,9,37,0,174,1,0,3,0,47,132,54,86,357
BERNALILLO462,47,43,1,4,2,1,5,28,0,172,10,0,3,1,40,113,41,90,339
BERNALILLO463,33,50,2,3,6,0,3,36,1,167,5,0,4,0,44,153,50,83,374
BERNALILLO464,27,59,0,1,4,2,1,27,0,136,8,0,3,0,44,108,35,86,299
BERNALILLO465,82,100,1,2,10,0,6,61,1,358,13,0,2,3,64,226,80,182,667
BERNALILLO466,49,62,2,5,7,1,2,39,2,202,4,0,12,1,55,206,56,111,482
