precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
GRADYSPRING HILL,11,1,8,0,0,0,0,1,15,0,45,0,0,0,0,0,8,0,0,0,43,0,81,43,5,335,193,20,383
GRADYWHIGHAM,33,1,20,1,0,0,0,2,17,0,66,0,0,0,0,0,9,0,0,0,45,0,124,180,11,543,263,55,734
GRADYWOODLAND,41,1,29,2,0,0,0,10,58,1,169,0,0,1,0,4,30,0,1,0,122,1,289,215,20,1243,686,73,1478
GREENEGREENSBORO,441,1,50,0,0,0,0,3,25,1,100,0,0,2,1,3,13,1,0,0,76,0,201,1257,37,708,426,492,2002
GREENEGRESHAMVILLE,35,1,8,0,0,0,0,0,24,0,65,0,0,0,0,0,14,0,0,0,58,0,106,110,6,420,267,44,536
GREENEOLD SALEM,128,0,39,0,0,0,0,14,75,4,245,0,0,1,2,1,260,0,1,0,583,1,675,547,59,2386,1862,167,2992
GREENESILOAM,137,0,17,3,0,0,0,5,11,0,37,0,0,1,0,0,6,0,0,0,21,0,72,360,5,296,153,157,661
GREENEUNION POINT,139,2,26,1,0,0,0,0,9,1,37,0,0,0,0,1,7,0,1,0,30,0,105,386,16,359,191,168,761
GREENEWALKER,67,0,16,0,0,0,0,4,31,1,111,0,0,0,0,0,61,0,0,0,196,1,301,233,25,1007,706,83,1265
GREENEWHITE PLAINS,55,0,7,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,4,0,44,122,1,125,65,62,248
GREENEWOODVILLE,75,1,6,0,0,0,0,0,3,0,31,0,0,0,0,2,3,0,0,0,14,0,51,184,2,189,104,82,375
GWINNETT035 CATES D - 04,147,4,119,1,0,0,0,2,22,0,187,0,0,0,0,0,30,0,3,0,157,2,282,191,12,181,685,271,384
HABERSHAMAMYS CREEK,48,1,50,0,0,0,0,3,34,0,133,0,0,0,0,1,15,0,0,0,107,0,213,174,28,815,506,99,1017
HABERSHAMCITY OF BALDWIN,16,0,17,0,0,0,0,0,20,0,43,0,0,0,0,2,3,0,0,0,37,0,72,114,24,310,177,33,448
HABERSHAMDEMOREST,96,1,95,1,0,0,0,10,99,2,352,0,0,0,0,6,45,0,3,0,203,0,534,375,71,2384,1254,193,2830
HABERSHAMHABERSHAM NORTH,235,3,202,2,0,0,0,17,215,6,853,0,0,2,0,8,131,0,3,0,576,0,1117,819,171,4642,2928,442,5632
HABERSHAMHABERSHAM SOUTH,135,0,105,1,0,0,0,12,114,1,364,0,0,0,0,6,68,1,1,0,353,0,691,610,95,2632,1611,241,3337
HABERSHAMMUD CREEK,65,0,71,0,0,0,0,2,92,1,307,0,0,2,0,8,42,0,0,0,190,2,564,322,61,2073,1210,136,2456
HABERSHAMTOWN OF MOUNT AIRY,17,0,13,0,0,0,0,3,14,0,41,0,0,0,0,2,7,0,0,0,28,0,104,69,11,334,199,30,414
HALL01-WILSON,170,0,111,1,0,0,0,7,93,1,337,0,0,0,0,3,91,0,1,0,399,1,609,840,98,2279,1542,282,3217
HALL02-CHICOPEE,73,1,65,0,0,0,0,3,31,0,95,0,0,1,1,0,5,0,0,0,63,0,147,496,60,710,346,139,1266
HALL03-OAKWOOD I,68,1,79,0,0,0,0,5,42,0,117,0,0,1,0,4,15,0,1,0,64,0,229,389,50,800,478,148,1239
HALL04-OAKWOOD II,122,4,95,0,0,0,0,2,114,3,361,0,0,2,0,2,68,0,1,0,261,1,525,534,96,1949,1340,221,2579
HALL05-FLOWERY BRANCH I,88,0,89,2,0,0,0,11,63,1,365,0,0,1,0,1,48,0,6,0,236,1,450,445,104,1869,1183,179,2418
HALL06-FLOWERY BRANCH II,94,0,93,1,0,0,0,2,66,2,236,0,0,0,1,2,30,0,2,0,180,0,355,476,61,1429,876,188,1966
HALL07-ROBERTS,124,2,85,2,0,0,0,10,81,1,399,0,0,0,0,2,63,0,0,0,361,0,638,647,95,2645,1555,213,3387
HALL08-MORGAN I,59,1,41,1,0,0,0,5,113,0,348,0,0,1,0,1,35,0,0,0,211,0,457,327,67,1949,1171,102,2343
HALL09-MORGAN II,158,0,74,0,0,0,0,4,102,0,398,0,0,0,0,2,57,0,9,0,274,1,539,653,88,2065,1386,232,2806
HALL10-CANDLER,148,3,116,0,0,0,0,7,115,0,480,0,0,1,1,5,42,2,6,0,250,0,481,797,102,2228,1390,267,3127
HALL11-TADMORE,214,1,96,1,0,0,0,5,44,0,203,0,0,0,1,4,22,0,1,0,92,1,291,1138,72,1208,664,312,2418
HALL12-GLADE,83,0,52,2,0,0,0,5,62,0,240,0,0,0,0,0,20,0,0,0,121,0,397,376,77,1503,845,137,1956
HALL13-LULA,54,0,25,1,0,0,0,3,53,0,292,0,0,0,0,1,19,0,1,0,99,0,444,220,40,1603,912,80,1863
HALL14-CLERMONT,36,2,43,3,0,0,0,5,91,1,349,0,0,2,0,1,38,0,2,0,190,0,463,166,49,1819,1142,84,2034
HALL15-QUILLIANS,29,0,42,1,0,0,0,2,76,0,307,0,0,0,0,0,32,0,0,0,139,0,389,161,39,1530,945,72,1730
HALL16-BARK CAMP,103,1,92,0,0,0,0,6,117,0,539,0,0,2,0,2,46,1,4,0,271,0,674,514,93,2724,1662,196,3331
HALL17-CHESTATEE,68,0,70,1,0,0,0,4,89,0,327,0,0,1,1,2,44,0,3,0,213,0,466,361,73,1849,1150,139,2283
HALL18-FORK,70,1,66,0,0,0,0,5,55,3,280,0,0,0,0,3,56,0,1,0,261,0,481,371,57,1734,1145,137,2162
HALL19-WHELCHEL,104,0,69,1,0,0,0,8,101,1,409,0,0,3,0,4,75,0,2,0,265,0,531,468,77,2214,1399,174,2759
HALL20-WEST WHELCHEL,133,0,68,1,0,0,0,21,110,2,373,0,0,4,0,5,165,0,2,0,533,0,480,541,109,2147,1695,202,2797
HALL21-GAINESVILLE I,167,0,92,0,0,0,0,5,89,3,228,0,0,1,0,3,76,0,2,0,233,0,297,625,75,1310,937,259,2010
HALL22-GAINESVILLE II,451,2,54,2,0,0,0,0,6,2,9,0,0,0,0,0,3,0,0,0,6,1,21,1189,23,109,48,509,1321
HALL23-GAINESVILLE III,141,1,124,0,0,0,0,4,50,0,126,0,0,0,0,0,26,0,3,0,105,0,213,950,110,1063,527,266,2123
HALL24-GAINESVILLE IV,109,0,88,1,0,0,0,2,37,0,128,0,0,0,0,0,47,0,4,0,135,1,198,546,76,839,552,198,1461
HALL25-GAINESVILLE V,54,1,43,1,0,0,0,0,23,2,75,0,0,0,0,0,38,0,2,0,77,0,119,269,48,535,336,99,852
HALL26-GILLSVILLE,21,0,8,0,0,0,0,3,37,0,124,0,0,0,0,1,10,0,1,0,34,0,162,78,14,614,372,29,706
HALL28-FRIENDSHIP I,275,1,133,3,0,0,0,11,158,2,702,0,0,1,0,2,169,0,2,0,751,3,920,1108,161,4065,2721,412,5334
HALL29-FRIENDSHIP II,73,0,57,0,0,0,0,5,68,0,244,0,0,1,0,2,33,0,1,0,208,0,377,331,74,1548,939,130,1953
HALL30-FRIENDSHIP III,97,2,95,1,0,0,0,6,81,0,355,0,0,2,0,1,40,0,5,0,240,0,441,543,107,2085,1171,195,2735
HALL31-FRIENDSHIP IV,57,0,43,0,0,0,0,4,38,2,187,0,0,1,0,0,56,0,1,0,222,1,240,364,40,1153,752,100,1557
