precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTA,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
DEER LODGEPRECINCT 5-77S,119,83,0,8,2,6,94,2,223,3,27,207,110,202,462
FALLONPRECINCT 1,11,9,7,15,10,13,201,1,47,1,11,341,246,20,401
FALLONPRECINCT 2,11,9,4,26,13,8,177,0,52,2,21,336,228,20,411
FALLONPRECINCT 3,12,1,5,28,9,6,220,1,40,0,4,391,268,13,436
FALLONPRECINCT 4,0,2,1,12,15,7,136,0,15,1,9,211,171,2,236
FERGUSPREC 10,36,25,8,17,7,5,82,1,91,6,15,207,119,61,320
FERGUSPREC 11,44,36,6,10,15,4,124,1,132,6,18,288,159,80,445
FERGUSPREC 12,3,2,0,6,6,2,34,0,15,1,10,65,48,5,91
FERGUSPREC 13,51,30,6,34,16,9,163,2,125,2,26,352,228,81,507
FERGUSPREC 14,25,15,9,14,11,8,121,1,61,2,22,248,163,40,334
FERGUSPREC 16,10,14,3,14,11,6,102,0,27,2,14,196,136,24,239
FERGUSPREC 17,37,34,3,20,14,4,149,3,100,1,18,304,190,71,426
FERGUSPREC 18,4,2,0,6,1,1,102,0,14,1,4,165,110,6,184
FERGUSPREC 2,44,64,6,26,30,13,322,2,157,8,42,643,397,108,852
FERGUSPREC 3,22,17,7,15,19,8,140,0,59,2,13,313,189,39,387
FERGUSPREC 4,19,12,3,21,14,13,123,1,42,0,23,253,174,31,319
FERGUSPREC 5,11,15,0,14,3,6,128,0,34,3,9,286,151,26,332
FERGUSPREC 6,42,28,2,22,13,3,106,2,134,4,19,239,146,70,398
FERGUSPREC 7,15,20,3,16,10,6,74,1,77,4,18,233,109,35,333
FERGUSPREC 8,18,20,3,11,7,1,103,0,58,7,19,239,125,38,323
FERGUSPREC 9,34,24,1,10,24,4,109,1,76,3,32,238,148,58,350
FLATHEADPRECINCT 1,38,70,1,14,9,8,98,4,184,9,41,373,130,108,611
FLATHEADPRECINCT 11,73,75,4,31,21,12,330,1,196,19,38,758,398,148,1012
FLATHEADPRECINCT 13,88,103,7,34,48,14,448,3,350,15,66,962,551,191,1396
FLATHEADPRECINCT 14,32,44,1,18,10,1,180,0,135,5,21,435,210,76,596
FLATHEADPRECINCT 15,35,53,2,28,5,3,259,2,168,3,39,718,297,88,930
FLATHEADPRECINCT 16,79,152,4,17,15,6,175,1,318,25,59,526,217,231,929
FLATHEADPRECINCT 17,43,40,0,3,3,3,54,1,125,7,8,144,63,83,285
FLATHEADPRECINCT 18,83,143,5,33,15,10,336,6,400,23,60,882,399,226,1371
FLATHEADPRECINCT 19,39,54,7,32,15,7,255,6,166,13,47,763,316,93,995
FLATHEADPRECINCT 2,65,103,3,11,9,8,142,1,318,20,49,451,173,168,839
FLATHEADPRECINCT 20,183,311,10,32,36,13,240,6,851,40,98,615,331,494,1610
FLATHEADPRECINCT 21,38,70,5,30,17,4,212,3,180,8,50,650,268,108,891
FLATHEADPRECINCT 23,62,93,4,16,16,5,217,4,233,11,60,519,258,155,827
FLATHEADPRECINCT 24,19,41,3,18,11,4,253,1,92,6,21,570,289,60,690
FLATHEADPRECINCT 25,67,71,9,32,12,8,317,1,209,7,69,806,378,138,1092
FLATHEADPRECINCT 26,36,34,1,22,9,7,182,2,124,5,20,472,221,70,623
FLATHEADPRECINCT 29,75,71,11,20,48,20,399,0,282,12,75,1039,498,146,1408
FLATHEADPRECINCT 3,64,126,4,21,21,6,172,2,316,19,41,493,224,190,871
FLATHEADPRECINCT 31,154,172,22,54,56,32,497,3,572,16,106,1358,661,326,2055
FLATHEADPRECINCT 32,43,115,6,20,10,6,153,1,265,18,54,483,195,158,821
FLATHEADPRECINCT 33,17,28,1,4,4,2,102,1,75,1,23,272,113,45,372
FLATHEADPRECINCT 34,94,89,8,58,44,15,448,1,331,9,59,1037,573,183,1437
FLATHEADPRECINCT 35,93,149,4,31,22,7,286,3,378,16,83,813,350,242,1293
FLATHEADPRECINCT 36,69,108,7,47,46,23,455,2,335,16,57,1157,578,177,1567
FLATHEADPRECINCT 37,82,172,8,50,23,15,382,5,412,18,97,1252,478,254,1784
FLATHEADPRECINCT 38,158,132,8,56,42,11,478,2,462,20,44,1154,595,290,1682
FLATHEADPRECINCT 39,59,89,2,8,9,4,159,2,258,17,34,368,182,148,679
FLATHEADPRECINCT 4,90,140,5,17,24,9,167,1,350,30,65,519,222,230,965
FLATHEADPRECINCT 41,134,147,14,27,64,13,410,1,476,17,75,906,528,281,1475
FLATHEADPRECINCT 42,90,107,6,47,28,23,429,2,325,18,45,1067,533,197,1457
FLATHEADPRECINCT 43,97,176,5,46,35,17,444,3,400,20,62,1168,547,273,1653
FLATHEADPRECINCT 44,117,155,5,45,39,9,326,0,460,26,63,757,424,272,1306
FLATHEADPRECINCT 45,132,147,5,12,58,7,215,7,587,21,41,565,297,279,1221
FLATHEADPRECINCT 47,118,229,2,12,27,5,115,2,669,36,73,367,161,347,1147
FLATHEADPRECINCT 48,80,68,4,25,27,7,210,0,281,11,36,516,273,148,844
FLATHEADPRECINCT 49,105,152,8,16,48,14,202,1,450,26,53,476,288,257,1006
FLATHEADPRECINCT 5,69,84,7,23,22,8,288,5,270,17,47,777,348,153,1116
FLATHEADPRECINCT 50,42,63,4,34,11,14,302,2,170,10,57,824,365,105,1063
FLATHEADPRECINCT 6,179,142,10,78,84,27,702,5,633,19,83,1547,901,321,2287
FLATHEADPRECINCT 7,74,83,3,27,26,9,248,3,254,12,38,697,313,157,1004
FLATHEADPRECINCT 8,48,50,2,29,17,6,263,5,151,10,27,588,317,98,781
FLATHEADPRECINCT 89,22,36,1,13,6,3,165,5,82,5,15,396,188,58,503
GALLATINPCT 59A,58,50,1,5,7,4,63,1,179,5,17,130,80,108,332
GALLATINPCT 61A,300,281,7,45,43,14,314,2,881,14,91,745,423,581,1733
GALLATINPCT 61B,271,291,7,68,37,15,299,4,842,32,99,787,426,562,1764
GALLATINPCT 61C,344,416,10,18,23,13,132,4,1147,49,112,371,196,760,1683
GALLATINPCT 61D,333,312,20,51,65,23,311,0,976,25,91,701,470,645,1793
GALLATINPCT 62A,274,359,3,15,31,4,60,6,1109,29,103,248,113,633,1495
GALLATINPCT 62B,217,325,12,20,16,6,81,5,956,40,133,302,135,542,1436
GALLATINPCT 62C,398,282,14,36,64,26,234,5,1015,27,88,505,374,680,1640
GALLATINPCT 62D,331,338,18,64,63,22,290,3,1142,37,162,866,457,669,2210
GALLATINPCT 63A,178,326,11,54,34,16,262,11,895,38,180,802,377,504,1926
GALLATINPCT 63B,22,140,0,5,5,6,19,9,637,40,168,440,35,162,1294
GALLATINPCT 63C,166,361,9,50,26,18,175,4,956,78,172,609,278,527,1819
GALLATINPCT 64A,78,164,2,15,17,4,173,3,327,10,52,403,211,242,795
GALLATINPCT 64B,182,231,4,14,29,7,173,5,746,35,113,521,227,413,1420
GALLATINPCT 64C,200,210,14,48,53,21,411,4,676,20,117,1036,547,410,1853
GALLATINPCT 64D,181,304,17,113,63,27,554,10,799,35,168,1489,774,485,2501
GALLATINPCT 65A,182,481,5,24,22,7,164,5,1060,53,128,503,222,663,1749
GALLATINPCT 65B,217,358,8,34,26,17,232,11,1072,72,203,770,317,575,2128
GALLATINPCT 65C,261,345,13,55,40,20,294,7,1205,33,209,1034,422,606,2488
GALLATINPCT 66A,206,379,7,37,37,21,216,10,1071,37,192,713,318,585,2023
GALLATINPCT 66B,227,455,7,45,20,18,171,9,1046,58,144,549,261,682,1806
GALLATINPCT 66C,261,495,3,21,12,5,100,3,1329,77,141,317,141,756,1867
GALLATINPCT 67A,154,190,9,43,49,14,296,4,484,14,91,715,411,344,1308
GALLATINPCT 67B,117,244,15,85,28,29,311,2,606,39,158,1081,468,361,1886
GALLATINPCT 67C,89,212,14,57,34,31,338,9,427,37,165,1036,474,301,1674
GALLATINPCT 68A,173,184,16,83,66,45,503,4,599,15,151,1268,713,357,2037
GALLATINPCT 68B,93,144,13,51,23,14,224,4,406,21,140,864,325,237,1435
GALLATINPCT 68C,87,119,23,85,32,11,387,3,325,22,112,1157,538,206,1619
GALLATINPCT 69A,126,182,12,52,31,19,393,6,367,26,115,995,507,308,1509
GALLATINPCT 69B,69,73,19,129,60,39,430,5,220,6,60,1079,677,142,1370
GALLATINPCT 69C,96,143,20,89,42,18,426,8,362,20,75,1003,595,239,1468
GALLATINPCT 69D,111,149,11,47,39,17,348,2,384,17,65,763,462,260,1231
GARFIELDPRECINCT 01,5,12,4,23,10,4,232,1,21,1,21,406,273,17,450
GARFIELDPRECINCT 07,1,2,0,6,3,6,31,0,4,0,4,80,46,3,88
GARFIELDPRECINCT 14,1,2,1,3,1,4,48,0,4,0,0,87,57,3,91
GARFIELDPRECINCT 19,2,1,0,8,1,1,47,0,5,0,2,80,57,3,87
GLACIERPCT 01,44,68,2,8,3,4,89,1,108,9,33,321,106,112,472
GLACIERPCT 02,39,60,1,5,2,2,52,1,91,4,26,202,62,99,324
GLACIERPCT 03,31,54,0,3,2,2,63,3,101,2,25,171,70,85,302
GLACIERPCT 04,16,44,0,3,0,0,34,1,60,5,10,128,37,60,204
GLACIERPCT 05,48,96,2,8,1,2,93,2,133,4,20,325,106,144,484
GLACIERPCT 06,7,12,0,2,0,0,21,1,15,1,1,55,23,19,73
GLACIERPCT 07,14,9,0,0,0,0,1,0,28,1,3,5,1,23,37
GLACIERPCT 08,105,107,1,0,1,0,5,2,403,7,8,27,7,212,447
GLACIERPCT 09,310,315,3,7,1,2,17,4,967,27,30,125,30,625,1153
GLACIERPCT 10,77,94,0,1,4,1,15,1,240,5,8,56,21,171,310
GLACIERPCT 11,37,36,0,1,0,0,8,1,76,4,8,39,9,73,128
GLACIERPCT 12,75,50,1,2,0,0,5,1,188,9,9,16,8,125,223
GLACIERPCT 13,50,65,0,1,0,0,7,1,199,3,6,21,8,115,230
GLACIERPCT 15,39,53,0,0,0,2,19,0,139,4,7,80,21,92,230
GLACIERPCT 19,47,39,0,2,2,0,1,2,137,6,3,28,5,86,176
GLACIERPCT 21C,37,38,1,2,0,0,4,1,236,4,6,21,7,75,268
