precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_grn_CHERNEY,pri_grn_CURRY,pri_grn_KREML,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_KAINE,gen_grn_STEIN,gen_ind_BLUMBERG,gen_ind_FEEGBEH,gen_ind_KASICH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_ROMNEY,gen_ind_RYAN,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_lib_JOHNSTON,gen_rep_TRUMP,dem_primary_total,general_total
BEDFORD1,494,1,3,398,0,0,0,0,0,3,7,1,46,1,2,0,154,0,1,100,0,172,1419,0,23,0,0,0,0,0,0,0,0,0,0,116,0,548,896,2106
BEDFORD2,335,1,0,330,0,0,0,0,1,1,12,1,48,1,2,1,93,1,1,75,0,201,1165,0,25,0,0,0,0,0,0,0,0,0,0,77,0,648,666,1915
BEDFORD3,522,0,2,310,0,0,0,0,0,8,18,1,34,1,1,1,114,0,1,90,1,132,1379,0,19,0,0,0,0,0,0,0,0,0,0,95,0,512,834,2005
BEDFORD4,324,0,2,318,0,0,0,0,1,4,7,2,50,0,0,0,138,0,2,86,0,149,1122,0,25,0,0,0,0,0,0,0,0,0,0,116,0,503,644,1766
BELCHERTOWNA,253,0,3,469,0,0,0,0,2,1,9,1,40,1,1,0,75,0,0,75,1,145,1103,0,53,0,0,0,0,0,0,0,0,0,0,78,0,698,725,1932
BELCHERTOWNB,231,1,4,405,0,0,0,0,1,2,10,0,52,1,0,0,76,0,0,63,1,205,977,0,43,0,0,0,0,0,0,0,0,0,0,117,0,894,641,2031
BELCHERTOWNC,251,0,2,362,0,0,0,0,0,0,21,1,57,1,0,0,67,0,1,90,0,247,1048,0,38,0,0,0,0,0,0,0,0,0,0,107,0,955,615,2148
BELCHERTOWND,267,1,4,594,0,0,0,0,1,1,15,2,46,0,0,1,71,0,0,54,0,151,1280,0,58,0,0,0,0,0,0,0,0,0,0,90,0,606,866,2034
BELLINGHAM1,166,2,2,290,0,0,0,0,0,4,6,0,47,3,0,0,49,0,1,61,0,185,797,0,20,0,0,0,0,0,0,0,0,0,0,111,0,786,460,1714
BELLINGHAM2,243,2,4,280,0,0,0,0,0,2,12,1,48,1,1,0,46,0,3,72,0,239,846,0,19,0,0,0,0,0,0,0,0,0,0,107,0,834,529,1806
BELLINGHAM3,229,0,2,265,0,0,0,0,0,6,9,1,29,2,0,2,48,0,4,61,0,224,895,0,25,0,0,0,0,0,0,0,0,0,0,93,0,791,496,1804
BELLINGHAM4,141,0,1,201,0,0,0,0,0,2,6,0,37,0,1,1,39,0,2,70,0,195,687,0,11,0,0,0,0,0,0,0,0,0,0,99,0,711,343,1508
BELLINGHAM4A,17,1,1,29,0,0,0,0,0,1,0,1,2,0,0,0,7,0,0,5,0,22,104,0,2,0,0,0,0,0,0,0,0,0,0,10,0,92,48,208
BELLINGHAM5,173,1,3,199,0,0,0,0,0,1,7,1,46,0,0,0,34,0,0,62,0,194,704,0,23,0,0,0,0,0,0,0,0,0,0,82,0,845,376,1654
BELMONT1,583,0,5,383,0,0,0,0,0,3,3,2,13,1,0,1,99,0,0,108,0,122,2652,0,54,0,0,3,0,16,0,10,1,6,0,146,0,678,971,3566
BELMONT2,523,1,3,260,0,0,0,0,0,3,5,1,30,1,0,0,127,1,0,107,0,174,2496,0,34,3,0,6,0,28,0,23,1,5,0,170,0,1002,787,3768
BELMONT3,516,2,1,351,0,0,0,0,2,3,11,0,30,0,0,0,83,2,1,79,0,109,2634,0,42,0,0,4,0,18,0,5,2,5,0,114,0,732,870,3556
BELMONT4,417,0,5,407,0,0,0,0,0,0,6,0,18,0,0,0,45,0,2,60,0,101,2264,0,56,0,0,1,0,10,0,7,0,11,0,148,0,644,829,3141
BELMONT5,446,1,4,452,0,0,0,0,0,4,5,1,32,1,2,1,71,0,1,66,0,125,2550,0,64,1,0,1,0,12,0,4,0,12,0,138,0,700,903,3482
