precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
BENTONHICKORY FLAT PREC DIST 5,43.0,0.0,0.0,2.0,0.0,3.0,5.0,1.0,132.0,0.0,0.0,3.0,12.0,0.0,1.0,13.0,0.0,209.0
BENTONLAMAR PRECINCT DISTRICT 2,212.0,0.0,1.0,21.0,0.0,0.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,39.0
CALHOUNCALHOUN CITY #4,86.0,1.0,0.0,14.0,1.0,1.0,9.0,0.0,151.0,0.0,0.0,2.0,26.0,0.0,1.0,14.0,0.0,208.0
CARROLLCARROLITON,25.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,52.0,0.0,0.0,1.0,18.0,1.0,0.0,12.0,0.0,69.0
CARROLLNORTH CARROLITON,34.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,69.0,0.0,0.0,1.0,20.0,0.0,0.0,6.0,0.0,103.0
CLARKEMANESSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,33.0
CLARKEOAK GROVE,87.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0
CLARKESNEIL,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,41.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,0.0,50.0
COAHOMACLARKSDALE # 2,171.0,5.0,0.0,78.0,3.0,0.0,3.0,0.0,78.0,0.0,0.0,2.0,31.0,0.0,0.0,17.0,0.0,168.0
COAHOMACLARKSDALE # 3,163.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0
COAHOMACLARKSDALE # 4,482.0,1.0,1.0,70.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,7.0
COAHOMACLARKSDALE # 4 NORTH,44.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,16.0
