precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_HARTNELL,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_lib_JOHNSON,gen_nlp_SOLTYSIK,gen_rep_TRUMP
BERRIENWEESAW TOWNSHIP 1,2,266,4,0,0,0,0,0,1,0,43,1,632
BRANCHALGANSEE TOWNSHIP 1,4,202,4,0,0,0,0,0,1,0,20,0,600
BRANCHBATAVIA TOWNSHIP 1,2,140,6,0,0,7,0,0,2,0,16,0,413
BRANCHBETHEL TOWNSHIP 1,3,117,3,0,0,0,0,0,1,0,6,0,383
BRANCHBRONSON CITY 1,3,194,11,0,0,0,0,0,1,0,17,0,488
BRANCHBRONSON TOWNSHIP 1,3,135,2,0,0,0,0,0,0,0,18,0,431
BRANCHBUTLER TOWNSHIP 1,1,125,6,0,0,0,0,0,2,0,17,0,386
BRANCHCALIFORNIA TOWNSHIP 1,2,41,1,0,0,0,0,0,0,0,4,0,168
BRANCHCOLDWATER CITY 1 WARD 1,4,418,10,0,0,0,0,0,0,0,27,0,379
BRANCHCOLDWATER CITY 1 WARD 2,0,377,17,0,0,0,0,0,3,0,46,1,591
BRANCHCOLDWATER CITY 1 WARD 3,3,457,17,0,0,0,0,0,0,0,59,1,837
BRANCHCOLDWATER CITY 1 WARD 4,4,337,14,0,0,0,0,0,1,0,48,0,479
BRANCHCOLDWATER TOWNSHIP 1,9,455,8,0,0,0,0,0,0,0,61,0,1214
BRANCHGILEAD TOWNSHIP 1,1,76,0,0,0,0,0,0,0,0,5,0,213
BRANCHGIRARD TOWNSHIP 1,6,226,6,0,0,0,0,0,0,0,28,0,639
BRANCHKINDERHOOK TOWNSHIP 1,2,200,3,0,0,0,0,0,0,0,24,0,549
BRANCHMATTESON TOWNSHIP 1,3,166,2,0,0,0,0,0,0,0,22,2,391
BRANCHNOBLE TOWNSHIP 1,0,44,1,0,0,0,0,0,0,0,5,0,184
BRANCHOVID TOWNSHIP 1,1,369,8,0,0,0,0,0,0,0,30,0,905
BRANCHQUINCY TOWNSHIP 1,1,161,3,0,0,0,0,0,0,0,17,0,470
BRANCHQUINCY TOWNSHIP 2,1,248,11,0,0,0,0,0,0,0,26,0,722
BRANCHSHERWOOD TOWNSHIP 1,3,252,7,0,0,0,0,0,0,0,29,0,589
BRANCHUNION TOWNSHIP 1,1,321,11,0,0,0,0,0,4,0,57,0,755
CALHOUNALBION CITY 1,0,413,2,0,0,0,0,0,0,0,6,0,70
CALHOUNALBION CITY 2,1,311,4,0,0,0,0,0,0,0,11,0,68
CALHOUNALBION CITY 3,2,391,4,0,0,0,0,0,1,0,20,1,174
CALHOUNALBION CITY 4,1,217,4,0,0,0,0,0,1,0,10,0,128
CALHOUNALBION CITY 5,1,392,2,0,0,0,0,0,5,0,28,0,208
CALHOUNALBION CITY 6,2,185,2,0,0,0,0,0,0,0,15,0,101
CALHOUNALBION TOWNSHIP 1,3,164,3,0,0,0,0,0,0,0,21,0,373
CALHOUNATHENS TOWNSHIP 1,8,300,11,0,0,0,0,0,0,0,42,0,834
CALHOUNBATTLE CREEK CITY 1,3,352,13,0,0,0,0,0,0,0,26,0,285
CALHOUNBATTLE CREEK CITY 10,4,683,15,0,0,0,0,0,0,0,56,0,505
CALHOUNBATTLE CREEK CITY 11,1,278,11,0,0,0,0,0,0,0,24,1,181
CALHOUNBATTLE CREEK CITY 12,2,605,6,0,0,0,0,0,0,0,14,1,92
CALHOUNBATTLE CREEK CITY 13,2,354,17,0,0,0,0,0,0,0,38,0,297
CALHOUNBATTLE CREEK CITY 14,2,431,13,0,0,0,0,1,3,0,29,1,392
CALHOUNBATTLE CREEK CITY 15,2,506,13,0,0,0,0,0,6,0,44,0,330
CALHOUNBATTLE CREEK CITY 16,1,462,20,0,0,0,0,0,0,0,29,0,324
CALHOUNBATTLE CREEK CITY 17,2,415,19,0,0,0,0,0,1,0,35,1,274
CALHOUNBATTLE CREEK CITY 18,3,451,11,0,0,0,0,0,0,0,29,0,162
CALHOUNBATTLE CREEK CITY 19,0,295,12,0,0,0,0,0,1,0,25,1,171
CALHOUNBATTLE CREEK CITY 2,4,329,7,0,0,0,0,0,2,0,38,1,400
CALHOUNBATTLE CREEK CITY 20,1,422,7,0,0,0,0,0,4,0,49,0,700
CALHOUNBATTLE CREEK CITY 21,1,780,14,0,0,0,0,0,0,0,15,0,154
CALHOUNBATTLE CREEK CITY 22,1,320,12,0,0,0,0,0,0,0,34,2,440
CALHOUNBATTLE CREEK CITY 23,4,427,10,0,0,0,0,0,5,0,39,0,534
CALHOUNBATTLE CREEK CITY 3,2,457,9,0,0,0,0,0,4,0,41,1,682
CALHOUNBATTLE CREEK CITY 4,4,328,7,0,0,0,0,0,3,0,25,0,304
CALHOUNBATTLE CREEK CITY 5,4,534,6,0,0,0,0,0,6,0,43,0,628
CALHOUNBATTLE CREEK CITY 6,9,620,15,0,0,0,0,0,6,0,61,0,783
CALHOUNBATTLE CREEK CITY 7,1,395,7,0,0,0,0,0,0,0,9,2,156
CALHOUNBATTLE CREEK CITY 8,4,659,14,0,0,0,0,0,1,0,61,1,890
CALHOUNBATTLE CREEK CITY 9,2,290,8,0,0,0,0,0,0,0,19,2,244
CALHOUNBEDFORD TOWNSHIP 1,10,472,16,0,0,0,0,0,1,0,62,1,998
CALHOUNBEDFORD TOWNSHIP 2,5,330,6,0,0,0,0,0,1,0,38,0,632
CALHOUNBEDFORD TOWNSHIP 3,2,341,14,0,0,0,0,0,0,0,27,0,462
CALHOUNBEDFORD TOWNSHIP 4,2,619,11,0,0,0,0,0,1,0,17,0,466
CALHOUNBURLINGTON TOWNSHIP 1,2,235,10,0,0,0,0,0,0,0,27,0,644
CALHOUNCLARENCE TOWNSHIP 1,2,278,4,0,0,0,0,0,0,0,41,1,718
CALHOUNCLARENDON TOWNSHIP 1,2,116,5,0,0,0,0,0,0,0,20,0,387
CALHOUNCONVIS TOWNSHIP 1,0,212,9,0,0,0,0,0,2,0,19,0,505
CALHOUNECKFORD TOWNSHIP 1,4,150,2,0,0,0,0,0,0,0,26,0,557
CALHOUNEMMETT TOWNSHIP 1,4,287,18,0,0,0,0,0,0,0,40,3,504
CALHOUNEMMETT TOWNSHIP 2,6,536,15,0,0,0,0,0,0,0,67,1,916
CALHOUNEMMETT TOWNSHIP 3,7,415,16,0,0,0,0,0,3,0,66,1,617
CALHOUNEMMETT TOWNSHIP 4,12,583,15,0,0,0,0,1,3,0,67,0,1168
CALHOUNFREDONIA TOWNSHIP 1,2,253,6,0,0,0,0,0,1,0,28,0,541
CALHOUNHOMER TOWNSHIP 1,2,256,8,0,0,0,0,0,0,0,48,0,720
CALHOUNLEE TOWNSHIP 1,2,127,4,0,0,0,0,0,0,0,20,0,390
CALHOUNLEROY TOWNSHIP 1,7,304,8,0,0,0,0,0,0,0,31,0,795
CALHOUNLEROY TOWNSHIP 2,1,324,9,0,0,0,0,0,2,0,35,0,676
CALHOUNMARENGO TOWNSHIP 1,5,312,8,0,0,0,0,1,2,0,56,2,662
CALHOUNMARSHALL CITY 1,2,766,24,0,0,0,0,0,3,0,92,0,844
CALHOUNMARSHALL CITY 2,9,761,21,0,0,0,0,1,7,0,87,0,868
CALHOUNMARSHALL TOWNSHIP 1,3,331,8,0,0,2,0,0,4,0,47,0,631
CALHOUNMARSHALL TOWNSHIP 2,0,270,2,0,0,0,0,0,1,0,28,0,438
CALHOUNNEWTON TOWNSHIP 1,10,420,5,0,0,0,0,0,1,0,45,0,1032
CALHOUNPENNFIELD TOWNSHIP 1,11,508,16,0,0,0,0,0,3,0,58,1,1106
CALHOUNPENNFIELD TOWNSHIP 2,5,511,15,0,0,0,0,0,3,0,65,0,637
CALHOUNPENNFIELD TOWNSHIP 3,5,531,19,0,0,0,0,0,7,0,56,0,976
CALHOUNSHERIDAN TOWNSHIP 1,0,245,8,0,0,0,0,0,0,0,29,1,465
CALHOUNSPRINGFIELD CITY 1,0,351,11,0,0,0,0,0,1,0,49,1,457
CALHOUNSPRINGFIELD CITY 2,1,326,13,0,0,0,0,0,0,0,34,1,315
CALHOUNTEKONSHA TOWNSHIP 1,2,221,11,0,0,0,0,0,0,0,23,1,483
CASS9999,0,0,0,2,0,0,0,2,17,0,0,0,0
CASSCALVIN TOWNSHIP 1,6,345,10,0,0,0,0,0,0,0,26,0,437
CASSDOWAGIAC CITY 1,3,384,5,0,0,0,0,0,0,0,20,0,195
CASSDOWAGIAC CITY 2,3,332,4,0,0,0,0,0,0,0,39,0,349
CASSDOWAGIAC CITY 3,2,247,1,0,0,0,0,0,0,0,27,2,256
CASSHOWARD TOWNSHIP 1,8,311,4,0,0,0,0,0,0,0,41,0,735
CASSHOWARD TOWNSHIP 2,6,364,8,0,0,0,0,0,0,0,31,0,718
CASSHOWARD TOWNSHIP 3,1,239,3,0,0,0,0,0,0,0,16,0,433
CASSJEFFERSON TOWNSHIP 1,9,349,19,0,0,0,0,0,0,0,25,0,785
CASSLA GRANGE TOWNSHIP 1,11,630,18,0,0,0,0,0,0,0,44,1,706
CASSMARCELLUS TOWNSHIP 1,5,356,13,0,0,0,0,0,0,0,41,0,670
CASSMASON TOWNSHIP 1,5,232,5,0,0,0,0,0,0,0,31,0,775
CASSMILTON TOWNSHIP 1,3,440,9,0,0,0,0,0,0,0,47,0,1128
CASSNEWBERG TOWNSHIP 1,0,185,9,0,0,0,0,0,0,0,27,0,498
CASSONTWA TOWNSHIP 1,6,279,13,0,0,0,0,0,0,0,53,0,736
CASSONTWA TOWNSHIP 2,3,254,10,0,0,0,0,0,0,0,37,0,704
