precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_HARTNELL,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_lib_JOHNSON,gen_nlp_SOLTYSIK,gen_rep_TRUMP,dem_primary_total,general_total
CLARESHERIDAN TOWNSHIP 1,29,0,0,44,1,7,0,75,0,0,0,26,0,0,19,0,83,3,134,7,0,0,0,0,0,1,0,21,0,429,73,595
CLARESUMMERFIELD TOWNSHIP 1,11,0,0,17,0,1,0,7,0,0,0,12,0,0,2,0,44,2,80,0,0,0,0,0,0,0,0,8,0,145,28,235
CLARESURREY TOWNSHIP 1,138,0,1,161,6,12,2,109,0,0,0,49,0,0,48,2,209,9,545,16,0,0,0,0,0,0,0,54,0,906,300,1530
CLAREWINTERFIELD TOWNSHIP 1,16,0,0,25,1,1,0,14,0,0,0,19,0,0,5,0,43,5,67,6,0,0,0,0,0,0,0,10,0,136,41,224
GOGEBICBESSEMER CITY 1,97,0,0,111,0,3,0,51,0,0,0,40,0,1,20,0,98,9,409,19,0,0,0,0,0,1,0,27,0,470,208,935
GOGEBICBESSEMER TOWNSHIP 1,61,0,0,52,1,0,0,23,0,0,0,26,1,1,17,0,75,4,210,9,0,0,0,0,0,0,0,12,1,387,113,623
GOGEBICERWIN TOWNSHIP 1,12,0,0,18,0,3,0,20,0,0,0,8,0,0,2,0,25,3,70,1,0,1,0,0,0,0,0,5,0,108,30,188
GOGEBICIRONWOOD CITY 1,109,0,0,134,1,1,0,39,0,0,0,44,0,1,19,0,85,4,457,12,0,0,0,0,0,8,0,28,0,504,243,1013
GOGEBICIRONWOOD CITY 2,77,0,0,111,0,1,4,27,1,1,1,34,0,1,24,0,67,1,412,21,0,0,0,0,0,0,0,33,1,438,188,906
GOGEBICIRONWOOD CITY 3,32,0,0,43,1,0,0,13,0,0,0,11,0,0,6,0,33,0,147,2,0,0,0,0,0,0,0,22,0,189,75,360
GOGEBICIRONWOOD TOWNSHIP 1,101,0,0,147,2,1,0,124,0,1,0,57,0,2,42,0,112,4,501,22,0,0,0,0,0,4,0,33,1,703,248,1268
GOGEBICMARENISCO TOWNSHIP 1,32,0,1,34,0,0,0,18,0,0,0,17,1,0,11,0,62,0,95,3,0,0,0,0,0,1,0,2,0,247,67,348
GOGEBICWAKEFIELD CITY 1,87,1,1,79,2,1,0,27,0,0,0,30,0,1,13,0,89,4,307,11,0,0,0,0,0,2,0,30,5,440,168,799
GOGEBICWAKEFIELD TOWNSHIP 1,16,0,1,18,0,0,0,13,0,0,0,8,0,0,5,0,19,0,56,2,0,0,0,0,0,0,0,3,0,110,35,171
GOGEBICWATERSMEET TOWNSHIP 1,54,0,0,43,2,2,0,44,0,0,0,50,1,0,14,0,88,1,261,16,0,0,0,0,0,0,0,18,0,422,97,718
GRATIOTALMA CITY 1,104,0,0,187,0,0,0,0,0,0,0,77,0,1,39,0,79,0,567,17,0,0,0,0,0,0,0,53,0,501,291,1138
GRATIOTALMA CITY 2,119,0,1,177,0,0,0,0,0,0,0,54,0,1,40,0,88,5,545,13,0,0,0,0,0,0,0,60,1,599,297,1223
GRATIOTALMA CITY 3,116,0,1,184,0,0,0,0,0,0,0,21,0,2,15,1,83,5,494,7,0,0,0,0,0,0,0,63,1,509,301,1079
GRATIOTARCADA TOWNSHIP 1,59,0,0,83,0,0,0,0,0,0,0,62,0,0,20,0,82,3,309,6,0,0,0,0,0,0,0,31,0,492,142,841
GRATIOTBETHANY TOWNSHIP 1,27,0,0,51,0,0,0,0,0,0,0,26,0,0,12,0,107,3,153,7,0,0,0,0,0,0,0,21,1,472,78,657
GRATIOTELBA TOWNSHIP 1,50,0,0,56,0,0,0,0,0,0,0,22,0,1,14,0,86,5,171,6,0,0,0,0,0,0,0,22,0,382,106,586
GRATIOTEMERSON TOWNSHIP 1,23,0,0,20,0,0,0,0,0,0,0,22,0,1,10,0,49,1,129,5,0,0,0,0,0,0,0,9,0,299,43,443
GRATIOTFULTON TOWNSHIP 1,83,0,1,82,0,0,0,0,0,0,0,67,0,1,25,0,160,8,372,6,0,0,0,0,0,0,0,47,0,736,166,1169
GRATIOTHAMILTON TOWNSHIP 1,8,0,0,16,0,0,0,0,0,0,0,5,0,0,6,0,30,1,49,2,0,0,0,0,0,0,0,7,0,136,24,195
GRATIOTITHACA CITY 1,104,0,1,158,0,0,0,0,0,0,0,59,0,0,42,0,125,4,470,5,0,0,0,0,0,0,0,50,1,740,263,1270
GRATIOTLAFAYETTE TOWNSHIP 1,17,0,0,19,0,0,0,0,0,0,0,12,0,1,8,2,41,2,82,2,0,0,0,0,0,0,0,8,1,205,36,300
GRATIOTNEW HAVEN TOWNSHIP 1,20,0,0,33,0,0,0,0,0,0,0,31,0,2,6,0,39,1,116,4,0,0,0,0,0,0,0,15,0,301,53,437
GRATIOTNEWARK TOWNSHIP 1,26,0,0,44,0,0,0,0,0,0,0,25,0,0,14,1,53,0,116,6,0,0,0,0,0,0,0,26,0,259,70,407
GRATIOTNORTH SHADE TOWNSHIP 1,9,0,0,21,0,0,0,0,0,0,0,16,0,0,8,0,37,1,55,0,0,0,0,0,0,0,0,11,0,182,30,249
GRATIOTNORTH STAR TOWNSHIP 1,32,0,0,39,0,0,0,0,0,0,0,30,0,2,8,0,56,3,119,2,0,0,0,0,0,0,0,20,0,284,71,428
GRATIOTPINE RIVER TOWNSHIP 1,95,0,0,104,0,0,0,0,0,0,0,66,0,1,29,0,140,5,381,6,0,0,0,0,0,0,0,43,0,743,199,1178
GRATIOTSEVILLE TOWNSHIP 1,52,0,5,111,0,0,0,0,0,0,0,37,0,0,16,0,111,2,265,13,0,0,0,0,0,0,0,35,0,643,168,958
GRATIOTST. LOUIS CITY 1,111,0,0,197,0,0,0,0,0,0,0,68,0,2,29,1,159,7,574,18,0,0,0,0,0,0,0,73,2,782,308,1456
GRATIOTSUMNER TOWNSHIP 1,48,0,0,99,0,0,0,0,0,0,0,37,1,1,12,1,99,1,262,6,0,0,0,0,0,0,0,32,1,505,147,807
GRATIOTWASHINGTON TOWNSHIP 1,24,0,0,31,0,0,0,0,0,0,0,23,0,0,13,0,58,0,108,0,0,0,0,0,0,0,0,21,0,314,55,443
GRATIOTWHEELER TOWNSHIP 1,58,1,0,100,0,0,0,0,0,0,0,59,0,0,17,1,117,6,329,9,0,0,0,0,0,0,0,40,1,796,159,1181
HOUGHTONADAMS TOWNSHIP 1,86,0,0,127,1,6,0,98,0,0,0,53,0,0,15,0,71,13,433,7,0,0,0,0,0,0,0,70,0,551,213,1074
HOUGHTONCALUMET TOWNSHIP 1,82,0,1,117,2,5,0,98,0,0,0,44,0,1,19,0,99,3,355,10,0,0,0,0,0,0,0,41,0,544,200,953
HOUGHTONCALUMET TOWNSHIP 2,16,0,1,61,2,6,0,63,1,0,0,37,0,0,12,0,84,1,206,13,0,0,0,0,0,0,0,38,0,486,78,744
HOUGHTONCALUMET TOWNSHIP 5,25,0,0,43,0,2,0,17,1,0,0,15,0,0,11,0,36,1,95,7,0,0,0,0,0,0,0,14,0,137,68,254
HOUGHTONCALUMET TOWNSHIP 9,72,0,0,116,0,2,0,90,0,0,0,64,0,4,26,1,73,4,308,11,0,0,0,0,0,0,0,36,0,512,188,871
HOUGHTONCHASSELL TOWNSHIP 1,53,0,0,94,5,4,0,170,0,0,0,76,0,0,31,1,104,7,299,11,0,0,0,0,0,0,0,64,1,681,147,1063
HOUGHTONDUNCAN TOWNSHIP 1,6,0,0,6,0,0,0,8,0,0,0,6,0,0,3,0,14,0,18,0,0,0,0,0,0,0,0,0,0,56,12,74
HOUGHTONDUNCAN TOWNSHIP 2,2,0,0,5,0,0,0,5,0,0,0,6,0,0,0,0,17,0,21,1,0,0,0,0,0,0,0,0,0,49,7,71
HOUGHTONELM RIVER TOWNSHIP 1,7,0,0,18,0,1,1,2,0,0,0,3,0,0,3,0,20,1,61,0,0,0,0,0,0,0,0,5,0,83,25,150
HOUGHTONFRANKLIN TOWNSHIP 1,41,0,0,54,2,1,0,80,0,0,2,19,0,0,20,1,45,1,164,4,0,0,0,0,0,0,0,24,0,270,95,463
HOUGHTONFRANKLIN TOWNSHIP 2,19,0,0,40,0,3,0,19,0,0,1,10,0,0,5,0,14,0,93,4,0,0,0,0,0,0,0,11,1,97,59,206
HOUGHTONHANCOCK CITY 1,47,0,0,123,0,0,0,30,0,0,0,37,0,1,15,0,26,0,294,12,0,0,0,0,0,0,0,32,0,209,170,547
HOUGHTONHANCOCK CITY 2,50,0,0,137,1,2,0,53,0,0,1,48,0,0,23,0,52,1,333,15,0,0,0,0,0,0,0,40,0,319,187,708
HOUGHTONHANCOCK CITY 3,48,0,0,73,3,4,0,54,0,0,0,48,0,1,15,0,56,0,255,10,0,0,0,0,0,0,0,43,0,333,121,641
HOUGHTONHANCOCK TOWNSHIP 1,19,0,0,13,0,0,0,49,1,0,0,17,0,2,11,0,17,0,77,2,0,0,0,0,0,0,0,8,0,174,32,261
HOUGHTONHOUGHTON CITY 1,88,0,0,135,1,1,1,54,2,1,0,50,1,2,33,0,44,3,427,11,0,0,0,0,0,0,0,32,1,328,223,802
HOUGHTONHOUGHTON CITY 2,115,0,0,190,1,4,0,58,0,0,2,43,0,1,33,0,60,3,612,31,0,0,0,0,0,0,0,83,1,329,305,1059
HOUGHTONLAIRD TOWNSHIP 1,19,0,0,37,1,2,0,24,0,0,1,13,1,0,4,0,23,5,85,0,0,0,0,0,0,0,0,8,0,170,56,268
HOUGHTONOSCEOLA TOWNSHIP 1,11,0,0,45,0,0,0,20,0,1,0,13,0,0,7,0,39,0,77,5,0,0,0,0,0,0,0,16,0,147,56,245
HOUGHTONOSCEOLA TOWNSHIP 2,20,0,0,60,0,0,0,38,0,0,0,31,0,0,12,0,49,0,142,5,0,0,0,0,0,0,0,28,0,266,80,441
HOUGHTONOSCEOLA TOWNSHIP 4,9,0,0,23,0,0,0,36,0,0,0,8,0,0,5,0,23,1,66,4,0,0,0,0,0,0,0,8,0,135,32,214
HOUGHTONPORTAGE TOWNSHIP 1,23,0,0,59,0,2,1,36,0,0,0,31,0,3,20,0,33,2,157,5,0,0,0,0,0,0,0,30,0,279,82,473
HOUGHTONPORTAGE TOWNSHIP 2,55,0,1,100,1,3,1,71,0,0,0,45,0,2,20,0,49,3,276,14,0,0,0,0,0,0,0,43,0,365,156,701
HOUGHTONPORTAGE TOWNSHIP 4,29,0,0,54,0,2,1,43,0,0,0,29,0,0,6,1,44,8,151,4,0,0,0,0,0,0,0,26,0,209,83,398
HOUGHTONQUINCY TOWNSHIP 1,6,0,0,20,0,1,0,18,0,0,0,9,0,0,6,1,15,0,51,2,0,0,0,0,0,0,0,4,0,91,26,148
HOUGHTONSCHOOLCRAFT TOWNSHIP 1,46,0,0,94,0,9,0,72,1,1,0,47,0,0,33,0,73,6,322,8,0,0,0,0,0,0,0,52,0,504,140,892
HOUGHTONSTANTON TOWNSHIP 1,35,1,0,73,1,4,0,99,0,0,0,38,1,0,14,1,53,4,232,13,0,0,0,0,0,0,0,41,0,432,109,722
HOUGHTONSTANTON TOWNSHIP 2,13,0,0,17,2,1,0,7,0,0,0,7,0,0,0,0,4,0,47,0,0,0,0,0,0,0,0,2,0,42,30,91
HOUGHTONTORCH LAKE TOWNSHIP 1,43,0,0,64,1,4,0,48,2,0,0,37,0,0,21,0,72,0,207,4,0,0,0,0,0,0,0,29,0,349,107,589
HOUGHTONTORCH LAKE TOWNSHIP 2,24,0,1,41,0,2,0,37,1,0,0,42,0,0,16,0,66,5,154,3,0,0,0,0,0,0,0,9,1,328,66,500
IRONBATES TOWNSHIP 1,48,0,0,34,1,1,0,76,1,0,0,31,0,1,13,0,94,0,141,0,0,0,0,0,0,0,0,15,0,352,82,508
IRONCASPIAN CITY 1,45,0,0,43,0,0,0,19,0,0,0,15,0,0,4,0,40,2,164,4,0,0,0,0,0,0,0,9,1,202,88,382
IRONCRYSTAL FALLS CITY 1,68,0,0,80,0,2,0,35,0,0,0,32,0,0,5,0,81,2,304,5,0,0,0,0,0,0,0,35,0,393,148,739
IRONCRYSTAL FALLS TOWNSHIP 1,83,0,0,97,2,3,0,71,1,0,0,45,1,1,17,0,117,1,323,6,0,0,0,0,0,0,0,28,0,517,180,875
IRONGAASTRA CITY 1,12,0,0,18,0,0,0,12,0,0,0,10,0,1,0,0,25,0,50,3,0,0,0,0,0,0,0,4,0,116,30,173
IRONHEMATITE TOWNSHIP 1,16,0,0,17,0,0,0,5,0,0,0,7,0,0,7,0,26,1,55,1,0,0,0,0,0,0,0,6,0,90,33,153
IRONIRON RIVER CITY 1,22,0,0,30,1,1,0,27,0,0,0,20,0,0,5,0,61,0,90,5,0,0,0,0,0,0,0,8,1,253,52,357
IRONIRON RIVER CITY 2,28,0,0,23,1,4,0,28,0,0,0,14,0,0,5,0,22,2,94,1,0,0,0,0,0,0,0,6,0,166,51,269
IRONIRON RIVER CITY 3,23,0,0,30,1,2,0,19,1,0,0,15,0,1,3,2,43,0,107,1,0,0,0,0,0,0,0,6,0,186,53,300
IRONIRON RIVER CITY 4,20,0,0,25,1,0,0,21,0,0,1,19,0,1,3,0,32,0,80,3,0,0,0,0,0,0,0,3,0,191,45,277
IRONIRON RIVER TOWNSHIP 1,32,0,0,48,0,0,0,51,0,0,5,39,0,0,22,1,100,3,138,2,0,0,0,0,0,0,0,25,0,414,80,582
IRONMANSFIELD TOWNSHIP 1,11,0,0,14,0,1,0,19,0,0,0,6,0,0,2,0,23,1,43,0,0,0,0,0,0,0,0,7,0,107,25,158
IRONMANSFIELD TOWNSHIP 2,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,5,3,11
IRONMASTODON TOWNSHIP 1,42,0,0,26,1,4,0,15,0,0,0,36,0,0,4,0,64,0,134,1,0,0,0,0,0,0,0,8,0,181,68,324
IRONMASTODON TOWNSHIP 2,5,0,0,6,0,2,0,6,0,0,0,1,0,0,0,0,18,1,24,0,0,0,0,0,0,0,0,1,0,39,11,65
IRONSTAMBAUGH TOWNSHIP 1,71,0,0,53,3,8,0,57,0,0,0,41,0,1,13,0,117,5,251,4,0,0,0,0,0,0,0,14,0,463,124,737
KALAMAZOOGALESBURG CITY 1,59,0,0,102,3,2,2,42,0,0,1,23,0,1,12,0,80,2,281,13,0,0,0,0,0,0,0,36,0,395,161,727
KALAMAZOOKALAMAZOO CITY 1,113,0,0,315,1,2,0,8,0,0,0,30,0,1,11,0,22,0,747,24,0,0,0,0,0,0,0,34,3,141,428,949
KALAMAZOOKALAMAZOO CITY 10,210,9,1,260,1,7,2,82,0,1,2,55,0,0,34,0,78,6,899,25,0,0,0,0,0,0,0,78,3,432,480,1443
KALAMAZOOKALAMAZOO CITY 11,161,0,1,181,0,0,0,5,0,1,0,4,0,0,3,0,9,0,720,14,0,0,0,0,0,0,0,16,1,73,343,824
KALAMAZOOKALAMAZOO CITY 12,184,0,0,288,7,2,0,49,0,0,0,87,0,0,27,0,61,2,830,27,0,0,0,0,0,0,0,60,2,385,472,1306
KALAMAZOOKALAMAZOO CITY 13,81,0,1,138,0,1,0,13,0,0,0,12,0,0,4,0,28,1,483,17,0,0,0,0,0,0,0,16,4,126,220,647
KALAMAZOOKALAMAZOO CITY 14,95,0,0,163,0,2,1,0,1,0,0,14,0,0,9,1,21,3,537,16,0,0,0,0,0,0,0,25,1,124,258,706
KALAMAZOOKALAMAZOO CITY 15,134,0,0,239,0,5,0,33,0,0,0,24,0,1,9,0,40,4,815,21,0,0,0,0,0,0,0,39,4,211,373,1094
KALAMAZOOKALAMAZOO CITY 16,149,0,0,329,0,4,1,78,0,0,2,58,0,3,41,1,51,9,859,20,0,0,0,0,0,0,0,66,0,377,478,1331
KALAMAZOOKALAMAZOO CITY 17,135,0,1,237,6,4,2,68,0,0,1,67,0,1,36,0,50,2,710,15,0,0,0,0,0,0,0,50,1,335,373,1113
KALAMAZOOKALAMAZOO CITY 18,133,0,0,239,1,5,0,49,0,0,0,51,0,0,21,0,59,2,682,22,0,0,0,0,0,0,0,51,2,325,372,1084
KALAMAZOOKALAMAZOO CITY 19,137,2,0,336,5,3,2,63,1,0,0,49,0,2,18,0,48,1,950,28,0,0,0,0,0,0,0,86,0,367,475,1432
KALAMAZOOKALAMAZOO CITY 2,56,0,0,272,0,0,0,18,0,0,0,15,1,1,5,0,7,2,1438,52,0,0,0,0,0,0,0,116,0,398,328,2006
KALAMAZOOKALAMAZOO CITY 20,274,1,0,472,1,5,0,62,1,0,1,128,0,0,33,1,54,3,1168,20,0,0,0,0,0,0,0,73,1,348,747,1613
KALAMAZOOKALAMAZOO CITY 21,198,0,0,255,2,1,1,31,0,0,1,102,0,0,28,0,37,1,786,13,0,0,0,0,0,0,0,30,0,202,453,1032
KALAMAZOOKALAMAZOO CITY 22,186,3,1,310,1,2,2,55,0,0,1,103,0,0,39,0,45,5,1034,22,0,0,0,0,0,0,0,53,2,316,500,1432
KALAMAZOOKALAMAZOO CITY 23,108,0,0,149,3,2,2,26,1,0,0,48,0,0,16,1,30,3,486,18,0,0,0,0,0,0,0,34,0,184,257,725
KALAMAZOOKALAMAZOO CITY 24,88,1,1,256,2,4,0,25,0,0,2,31,0,0,0,0,19,6,561,18,0,0,0,0,0,0,0,27,1,131,346,744
KALAMAZOOKALAMAZOO CITY 25,175,0,0,211,2,5,3,56,0,0,0,142,0,0,39,0,80,5,703,8,0,0,0,0,0,0,0,51,0,337,386,1104
KALAMAZOOKALAMAZOO CITY 26,215,1,3,263,8,2,2,38,0,0,0,108,0,1,18,3,70,7,841,13,0,0,0,0,0,0,0,46,1,343,482,1251
KALAMAZOOKALAMAZOO CITY 27,58,0,0,229,0,0,0,4,0,0,0,12,0,0,7,0,8,0,493,24,0,0,0,0,0,0,0,23,3,71,287,614
KALAMAZOOKALAMAZOO CITY 3,82,0,0,564,0,0,0,12,0,0,0,23,2,0,3,1,27,2,870,45,0,0,0,0,0,0,0,53,3,133,646,1106
KALAMAZOOKALAMAZOO CITY 4,18,0,0,137,0,1,0,6,0,0,0,11,0,0,7,0,12,0,461,21,0,0,0,0,0,0,0,73,0,292,155,847
KALAMAZOOKALAMAZOO CITY 5,167,0,0,362,1,0,1,40,0,0,0,66,2,1,29,0,35,0,1088,30,0,0,0,0,0,0,0,92,0,348,529,1558
KALAMAZOOKALAMAZOO CITY 6,187,1,1,231,8,2,1,60,0,1,0,90,0,1,39,1,47,2,843,19,0,0,0,0,0,0,0,47,0,343,420,1254
KALAMAZOOKALAMAZOO CITY 7,154,0,0,424,1,1,2,19,0,0,0,27,0,0,13,0,15,4,1008,40,0,0,0,0,0,0,0,40,0,106,578,1198
KALAMAZOOKALAMAZOO CITY 8,167,0,1,132,0,2,1,3,0,0,0,5,0,0,3,0,8,1,803,9,0,0,0,0,0,0,0,13,1,43,300,870
KALAMAZOOKALAMAZOO CITY 9,230,0,0,127,0,0,0,2,0,0,0,1,0,0,2,0,4,1,913,5,0,0,0,0,0,0,0,6,0,31,357,956
KALAMAZOOPORTAGE CITY 1,104,2,0,186,7,0,0,67,0,0,1,54,0,0,24,3,55,12,604,17,0,0,0,0,0,0,0,44,0,348,292,1025
KALAMAZOOPORTAGE CITY 10,105,0,2,198,2,10,0,105,1,0,1,102,0,0,71,0,148,14,656,19,0,0,0,0,0,0,0,76,0,770,305,1535
KALAMAZOOPORTAGE CITY 11,136,0,1,214,2,7,0,111,0,0,0,118,0,3,59,1,88,5,805,15,0,0,0,0,0,0,0,67,2,584,351,1478
KALAMAZOOPORTAGE CITY 12,203,1,1,175,1,9,1,133,2,0,1,185,0,0,59,1,118,4,778,19,0,0,0,0,0,0,0,68,0,698,380,1567
KALAMAZOOPORTAGE CITY 13,171,0,2,328,7,17,2,112,2,0,1,170,1,9,78,0,121,3,919,23,0,0,0,0,0,0,0,111,0,782,501,1838
KALAMAZOOPORTAGE CITY 14,123,1,1,184,6,8,0,91,0,0,2,108,0,1,55,1,70,7,645,12,0,0,0,0,0,0,0,65,0,540,309,1269
KALAMAZOOPORTAGE CITY 15,112,0,2,227,5,7,0,83,0,0,0,88,1,1,43,0,96,8,689,11,0,0,0,0,0,0,0,58,0,499,341,1265
KALAMAZOOPORTAGE CITY 16,143,0,0,247,2,8,0,141,2,1,0,168,1,0,55,1,113,4,885,16,0,0,0,0,0,0,0,82,3,684,390,1674
KALAMAZOOPORTAGE CITY 17,112,0,0,171,6,16,1,211,1,0,1,147,0,0,50,0,135,10,649,14,0,0,0,0,0,0,0,59,0,631,283,1363
KALAMAZOOPORTAGE CITY 18,119,0,0,142,1,6,2,78,1,0,1,154,0,0,53,0,90,5,648,11,0,0,0,0,0,0,0,48,0,513,261,1225
KALAMAZOOPORTAGE CITY 19,118,0,0,195,3,13,0,101,0,0,0,97,0,1,55,0,56,6,676,14,0,0,0,0,0,0,0,52,0,475,313,1223
KALAMAZOOPORTAGE CITY 2,91,9,1,180,2,2,0,50,0,0,4,38,0,0,19,0,47,6,500,21,0,0,0,0,0,0,0,60,0,326,281,913
KALAMAZOOPORTAGE CITY 3,133,0,0,173,7,0,4,109,0,0,1,89,0,0,32,0,93,6,627,17,0,0,0,0,0,0,0,61,0,626,306,1337
KALAMAZOOPORTAGE CITY 4,97,0,1,125,2,5,1,80,1,0,0,102,0,1,42,1,116,2,518,13,0,0,0,0,0,0,0,49,0,594,223,1176
KALAMAZOOPORTAGE CITY 5,76,1,1,172,2,2,0,80,1,0,1,82,0,2,23,0,81,3,468,16,0,0,0,0,0,0,0,55,0,505,250,1047
KALAMAZOOPORTAGE CITY 6,119,0,1,199,3,9,0,125,0,0,2,134,0,0,52,0,128,7,611,16,0,0,0,0,0,0,0,73,0,696,319,1403
KALAMAZOOPORTAGE CITY 7,152,0,1,355,5,7,0,121,1,0,3,99,0,5,55,0,97,6,1016,26,0,0,0,0,0,0,0,91,2,633,508,1774
KALAMAZOOPORTAGE CITY 8,160,0,0,190,3,6,0,120,0,0,0,176,0,1,61,0,115,7,712,7,0,0,0,0,0,0,0,70,0,637,350,1433
KALAMAZOOPORTAGE CITY 9,129,0,0,190,3,6,0,95,4,1,0,120,0,2,51,0,70,5,581,8,0,0,0,0,0,0,0,50,0,487,319,1131
KEWEENAWALLOUEZ TOWNSHIP 1,75,0,0,94,1,4,1,70,1,0,0,40,0,2,29,0,126,5,286,11,0,0,0,0,0,4,0,42,1,534,169,883
KEWEENAWEAGLE HARBOR TOWNSHIP 1,23,0,0,32,0,4,0,13,0,0,0,14,0,0,10,0,27,0,106,7,0,0,0,0,0,0,0,11,0,125,55,249
KEWEENAWGRANT TOWNSHIP 1,18,0,0,40,0,1,0,9,0,0,0,12,0,0,7,0,16,0,85,1,0,0,0,0,0,1,0,5,0,79,58,171
KEWEENAWHOUGHTON TOWNSHIP 1,3,0,0,13,0,0,0,7,0,0,0,9,0,0,0,0,9,0,24,1,0,0,0,0,0,0,0,2,0,44,16,71
KEWEENAWSHERMAN TOWNSHIP 1,9,0,0,9,0,3,0,6,0,0,0,1,0,0,4,0,6,0,26,0,0,0,0,0,0,0,0,2,0,32,18,60
LUCECOLUMBUS TOWNSHIP 1,8,0,0,12,0,1,0,5,0,0,0,10,0,0,3,0,25,1,22,2,0,0,0,0,0,2,0,5,0,79,20,111
LUCELAKEFIELD TOWNSHIP 1,43,0,0,41,7,5,0,95,1,0,0,36,0,0,14,0,105,3,148,6,0,0,0,0,0,0,0,22,1,469,84,649
LUCEMCMILLAN TOWNSHIP 1,80,0,0,132,6,4,4,92,0,0,1,60,0,4,36,0,161,1,314,14,0,0,0,0,0,0,0,49,0,730,212,1108
LUCEPENTLAND TOWNSHIP 1,36,1,1,106,4,4,1,50,0,0,0,48,0,1,13,0,116,1,197,7,0,0,0,0,0,1,0,27,0,478,144,711
MACKINACBOIS BLANC TOWNSHIP 1,13,0,0,11,0,1,0,3,0,0,0,5,0,0,4,0,16,0,36,0,0,0,0,0,0,0,0,4,0,46,24,86
MACKINACBREVORT TOWNSHIP 1,22,0,0,34,0,2,0,25,0,0,0,15,1,0,6,0,58,0,100,2,0,0,0,0,0,0,0,4,1,202,56,309
MACKINACCLARK TOWNSHIP 1,91,2,0,113,3,10,1,91,0,0,2,102,0,2,49,1,171,2,386,19,0,0,0,0,0,0,0,40,0,740,206,1187
MACKINACGARFIELD TOWNSHIP 1,16,0,0,13,1,0,0,22,0,0,0,14,0,1,6,0,70,0,50,7,0,0,0,0,0,0,0,4,0,225,29,286
MACKINACGARFIELD TOWNSHIP 2,18,0,0,29,0,6,0,33,1,1,1,29,0,0,18,0,54,0,77,0,0,0,0,0,0,0,0,8,0,248,47,333
MACKINACHENDRICKS TOWNSHIP 1,7,0,0,3,0,0,0,11,0,0,0,6,0,0,1,0,11,0,13,1,0,0,0,0,0,0,0,0,0,66,10,80
MACKINACHUDSON TOWNSHIP 1,13,0,0,9,0,0,0,10,0,0,0,1,0,0,0,0,21,0,31,1,0,0,0,0,0,0,0,3,0,65,22,100
MACKINACMACKINAC ISLAND CITY 1,41,0,0,42,0,2,0,14,0,0,0,26,0,0,11,0,33,1,209,3,0,0,0,0,0,0,0,23,0,204,83,440
MACKINACMARQUETTE TOWNSHIP 1,16,0,0,21,1,0,0,29,0,1,0,27,0,2,11,1,55,0,89,1,0,0,0,0,0,0,0,5,0,252,37,347
MACKINACMORAN TOWNSHIP 1,64,0,1,73,2,4,1,51,0,0,0,47,1,0,15,0,65,2,232,5,0,0,0,0,0,0,0,20,0,339,138,598
MACKINACNEWTON TOWNSHIP 1,25,0,0,15,0,0,0,11,0,0,0,8,0,0,11,0,50,0,70,3,0,0,0,0,0,0,0,3,0,189,40,265
MACKINACPORTAGE TOWNSHIP 1,42,1,2,51,0,3,0,43,0,0,1,34,0,0,14,0,95,1,164,1,0,0,0,0,0,0,0,11,0,394,96,571
MACKINACST. IGNACE CITY 1,108,0,1,169,1,3,1,73,1,0,1,76,0,0,23,0,103,7,468,18,0,0,0,0,0,0,0,39,2,554,278,1088
MACKINACST. IGNACE TOWNSHIP 1,24,0,0,50,0,0,0,23,0,0,0,26,0,1,3,0,54,0,160,6,0,0,0,0,0,0,0,16,0,220,74,402
MARQUETTECHAMPION TOWNSHIP 1,17,0,0,20,1,0,0,12,0,0,0,4,0,0,0,0,8,0,84,2,0,0,0,0,0,0,0,3,0,63,37,152
MARQUETTECHOCOLAY TOWNSHIP 1,143,1,2,288,5,10,1,140,1,0,2,115,0,3,41,1,129,10,763,32,0,0,0,0,0,0,0,86,0,798,434,1689
MARQUETTECHOCOLAY TOWNSHIP 2,197,0,0,230,3,17,1,103,1,0,2,165,0,0,63,0,151,7,767,34,0,0,0,0,0,0,0,66,0,817,427,1691
MARQUETTEELY TOWNSHIP 1,116,0,6,105,0,2,1,98,0,0,0,53,0,0,7,1,75,9,415,12,0,0,0,0,0,0,0,45,0,521,227,1002
MARQUETTEEWING TOWNSHIP 1,12,0,0,7,0,0,0,9,0,0,0,1,0,0,0,0,12,2,29,1,0,0,0,0,0,0,0,4,0,50,19,86
MARQUETTEFORSYTH TOWNSHIP 1,144,0,1,190,3,4,0,113,0,1,2,102,0,1,35,0,178,12,685,19,0,0,0,0,0,0,0,62,1,879,335,1658
