precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
BIBBRUTLAND 2,218,0,69,0,4,82,0,208,0,0,0,24,0,0,106,0,371,641,50,1378,287,2069
BIBBVINEVILLE 1,207,1,115,1,1,11,0,29,0,0,1,27,0,1,60,1,40,1233,95,581,324,1909
BIBBVINEVILLE 2,302,0,98,0,1,5,1,34,0,0,1,21,0,1,59,0,63,842,41,281,400,1164
BIBBVINEVILLE 3,533,2,79,4,0,5,1,12,1,0,0,6,0,0,9,0,25,1485,18,126,618,1629
BIBBVINEVILLE 4,799,2,87,1,1,16,2,26,0,0,0,8,0,0,36,0,50,1944,31,223,889,2198
BIBBVINEVILLE 5,155,3,86,0,5,41,0,133,1,0,0,67,0,0,172,0,200,557,60,912,244,1529
BIBBVINEVILLE 6,237,0,118,0,2,60,0,128,0,1,2,69,0,2,217,0,280,833,90,944,355,1867
BIBBWARRIOR 1,223,0,57,0,1,41,0,162,0,0,0,9,0,2,90,1,313,554,32,1131,280,1717
BIBBWARRIOR 2,307,2,56,2,2,51,1,202,0,0,1,29,0,1,113,0,386,706,40,1333,367,2079
BLECKLEYFAIRGROUND,370,6,98,2,18,141,6,534,3,0,4,87,0,3,412,1,935,1101,123,3719,476,4943
BLECKLEYNAN,370,6,98,2,18,141,6,534,3,0,4,87,0,3,412,1,935,1101,123,3719,476,4943
BRANTLEYHOBOKEN,32,5,32,1,4,62,0,243,0,0,9,24,0,6,130,1,371,135,44,1863,70,2042
BRANTLEYNAHUNTA,62,7,57,2,10,80,1,184,1,1,6,12,0,6,118,0,415,274,31,2021,128,2326
BRANTLEYNAN,137,14,125,5,20,191,1,604,1,1,20,48,0,13,319,2,1163,619,106,5567,281,6292
BRANTLEYWAYNESVILLE,43,2,36,2,6,49,0,177,0,0,5,12,0,1,71,1,377,210,31,1683,83,1924
BROOKSBARWICK/DRYLAKE,13,0,6,0,0,10,0,29,0,0,0,2,0,0,10,0,43,52,2,173,19,227
BROOKSDIXIE,101,1,19,0,0,12,0,44,0,0,0,2,0,0,25,0,79,347,9,316,121,672
BROOKSE.BROOKS/BRIGGS,54,1,47,0,2,30,0,111,0,0,3,18,0,0,64,0,282,234,22,1003,102,1259
BROOKSMORVEN,123,1,32,0,1,23,2,131,2,1,1,7,0,0,37,0,177,370,11,755,156,1136
BROOKSNAN,726,6,198,2,12,118,4,476,2,1,5,52,0,1,267,0,1017,2528,89,3701,932,6318
BROOKSPAVO/WILLIAMS,22,1,11,0,0,9,1,36,0,0,1,4,0,1,14,0,70,85,5,249,34,339
BROOKSQUITMAN,397,2,76,2,8,25,1,91,0,0,0,16,0,0,89,0,236,1382,32,816,477,2230
BROOKSS.BROOKS/NANKIN,16,0,7,0,1,9,0,34,0,0,0,3,0,0,28,0,130,58,8,389,23,455
BRYANBLACK CREEK,72,1,29,0,3,29,0,156,1,0,0,3,0,0,64,0,269,283,38,1111,102,1432
BRYANDANIELSIDING,109,1,39,0,5,27,0,150,0,0,0,25,0,0,137,0,211,299,50,1004,149,1353
BRYANELLABELL,60,0,20,1,2,26,0,120,0,0,1,17,0,4,64,0,212,199,17,848,81,1064
BRYANHWY 144 EAST,81,1,57,0,4,57,0,175,0,0,1,49,0,0,193,0,305,508,80,1389,139,1977
BRYANJ.F. GREGORY PARK,86,0,60,0,9,42,1,250,1,0,1,64,1,2,242,0,318,439,72,1440,146,1951
BRYANKELLER,107,1,95,2,8,62,1,254,2,0,0,55,0,0,262,0,353,596,91,1760,205,2447
BRYANNAN,895,8,502,8,40,337,4,1480,5,1,5,274,1,10,1295,0,2220,4014,542,10529,1413,15085
BRYANPEMBROKE,142,1,30,2,1,30,0,118,0,1,2,21,0,1,71,0,210,449,30,854,175,1333
BRYANPUBLIC SAFETY COMPLEX,76,1,63,1,4,23,1,100,1,0,0,7,0,1,74,0,110,392,58,737,141,1187
BRYANRH REC COMPLEX,84,0,75,2,2,31,1,89,0,0,0,26,0,0,128,0,139,512,74,871,161,1457
BRYANWAYS STATION,78,2,34,0,2,10,0,68,0,0,0,7,0,2,60,0,93,337,32,515,114,884
BULLOCHBAY,29,0,15,0,1,30,0,148,0,0,1,15,0,2,49,0,192,104,23,766,44,893
BULLOCHBLITCH,86,0,49,0,7,49,0,149,0,0,0,46,0,0,119,0,220,304,28,946,135,1278
BULLOCHBROOKLET,78,0,49,2,6,63,0,212,0,1,2,42,0,1,134,0,241,394,56,1317,129,1767
BULLOCHCHURCH,362,1,184,0,9,87,2,257,3,0,3,50,0,4,261,0,296,1552,121,1572,547,3245
BULLOCHEMIT,110,0,71,0,3,57,0,177,1,0,2,24,0,2,123,0,227,460,59,1234,181,1753
BULLOCHFAIR,235,1,156,0,13,92,0,317,1,1,3,102,0,3,340,0,460,1183,144,2293,392,3620
BULLOCHHAGIN,118,0,39,1,3,36,0,111,1,0,0,17,1,0,89,0,236,464,22,863,158,1349
BULLOCHLEEFIELD,28,0,14,0,1,16,0,71,0,0,1,0,0,2,35,1,110,74,8,488,42,570
BULLOCHLOCKHART,38,1,15,0,1,17,1,22,0,0,1,4,0,2,12,0,81,124,7,291,54,422
BULLOCHNAN,1916,7,1227,9,61,653,9,2149,8,5,18,447,1,20,1766,1,3115,9261,890,15097,3159,25248
BULLOCHNEVILS,43,0,14,0,3,16,1,90,0,1,2,8,0,0,52,0,116,150,13,522,57,685
BULLOCHPITTMAN PARK,160,1,379,1,1,43,1,116,0,1,0,39,0,2,165,0,127,1944,234,1108,541,3286
BULLOCHPORTAL,101,0,21,3,3,29,1,61,0,0,0,13,0,0,55,0,192,284,16,698,125,998
BULLOCHREGISTER,49,1,19,0,0,19,0,58,0,0,0,6,0,0,40,0,57,191,13,312,69,516
BULLOCHSINKHOLE,10,0,5,0,0,11,0,31,0,0,1,3,0,1,30,0,80,46,2,267,15,315
BULLOCHSTATESBORO,429,0,156,2,6,60,2,208,0,1,2,60,0,1,189,0,279,1791,111,1565,587,3467
BULLOCHSTILSON,40,2,41,0,4,28,1,121,2,0,0,18,0,0,73,0,201,196,33,855,83,1084
BURKEALEXANDER,42,1,5,0,0,5,0,24,0,0,1,3,0,0,5,0,43,120,2,140,48,262
BURKEBLAKENEY,70,0,10,0,0,1,1,24,0,0,0,2,0,0,17,0,43,209,3,149,80,361
BURKEFOUR POINTS,126,2,25,1,2,39,0,162,0,0,1,2,0,1,45,0,201,385,20,826,154,1231
BURKEGIRARD,89,0,5,2,1,1,0,22,0,0,0,0,0,0,12,0,57,247,2,191,96,440
BURKEGOUGH,84,0,10,0,0,6,0,17,0,0,0,3,0,0,3,0,35,180,3,97,94,280
BURKEGREENSCUT,67,0,10,0,2,6,0,75,0,0,1,5,0,0,25,0,103,240,6,363,77,609
BURKEKEYSVILLE,58,0,3,0,0,7,0,13,0,0,0,2,0,0,9,0,21,127,5,92,61,224
BURKEMIDVILLE,68,0,5,1,0,4,0,28,0,0,1,3,0,0,8,0,49,152,7,117,74,276
BURKEMUNNERLYN,29,0,4,0,0,1,0,17,0,0,0,1,0,0,3,0,34,72,6,94,33,172
BURKENAN,1660,6,185,4,25,162,1,803,1,1,7,56,0,5,375,0,1181,4731,129,4491,1855,9351
BURKENORTH WAYNESBORO,392,0,32,0,2,25,0,85,0,0,1,6,0,1,33,0,91,1287,22,404,424,1713
BURKESARDIS,71,0,6,0,4,7,0,43,0,0,0,2,0,0,26,0,86,238,8,337,77,583
BURKESCOTTS CROSSROADS,47,1,3,0,2,1,0,9,0,0,0,1,0,0,9,0,14,111,1,59,51,171
