precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
PIMA148,26,0,0,1,18,1,0,0,0,5,1,1,38,0,0,0,3,0,0,13,0,57,850,24,64,765,46,1703
PIMA149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,15,57,666,0,1634
PIMA15,380,8,4,7,357,3,0,1,4,24,2,0,236,0,0,4,73,0,4,70,1,372,444,13,45,571,759,1073
PIMA150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,9,19,192,0,404
PIMA151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,4,21,247,0,708
PIMA152,132,0,0,4,79,0,0,0,1,5,0,0,67,0,0,1,10,0,3,23,0,81,474,10,15,110,215,609
PIMA153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,46,84,717,0,2433
PIMA154,4,0,0,0,8,1,0,0,1,0,1,0,8,0,0,0,9,0,0,6,0,18,690,36,46,229,13,1001
PIMA155,10,1,0,0,14,0,0,0,2,1,0,0,6,0,0,0,2,0,0,1,0,10,623,12,20,204,25,859
PIMA156,4,0,0,1,11,0,0,0,0,2,0,0,8,0,0,0,5,0,0,1,0,12,654,28,60,613,16,1355
PIMA157,43,1,0,2,69,1,0,0,0,3,0,0,23,0,0,1,5,0,0,6,1,53,1292,24,44,347,116,1707
PIMA158,35,0,0,0,27,1,0,1,0,2,0,0,22,0,0,0,2,0,0,16,0,53,925,11,45,560,63,1541
PIMA159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,44,51,364,0,2264
PIMA16,574,4,6,6,440,4,0,4,14,29,2,1,456,1,1,4,153,0,4,170,1,739,1757,33,94,786,1034,2670
PIMA160,53,1,0,2,36,1,0,0,1,1,0,0,11,0,1,0,4,0,1,6,0,26,831,8,28,98,93,965
PIMA161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,3,25,399,0,692
PIMA162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,14,50,486,0,1310
PIMA163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,14,60,698,0,1718
PIMA164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,39,65,357,0,1748
PIMA165,82,1,0,0,39,0,0,0,1,9,0,0,27,0,0,0,13,0,0,21,0,107,67,5,11,174,122,257
PIMA166,447,9,1,3,250,1,0,0,3,5,0,0,77,0,0,1,11,0,1,25,1,100,1482,74,106,349,711,2011
PIMA167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,928,32,46,229,0,1235
PIMA168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250,8,9,348,0,615
PIMA169,17,2,0,1,15,0,0,0,0,7,0,0,67,1,0,0,10,0,0,4,0,74,1246,29,86,1504,35,2865
PIMA17,673,4,1,10,795,3,0,4,7,14,0,0,168,3,2,3,85,0,1,55,3,223,1002,37,42,232,1486,1313
PIMA170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,20,51,599,0,1773
PIMA171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,18,68,991,0,2225
PIMA172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,19,81,1297,0,2359
PIMA173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,19,96,1133,0,2226
PIMA174,50,1,0,0,39,1,0,0,0,0,0,0,7,0,0,0,1,0,0,2,0,7,1349,32,122,935,91,2438
PIMA175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,4,100,0,126
PIMA18,579,5,1,9,478,7,0,2,11,32,0,1,359,3,0,2,159,0,3,121,1,531,1283,42,41,199,1079,1565
PIMA19,600,11,9,9,499,7,0,4,8,47,2,0,278,0,0,5,71,0,4,94,1,560,136,7,25,181,1135,349
PIMA2,718,3,3,9,499,3,0,2,12,41,4,0,441,5,1,2,239,1,6,199,1,753,51,4,6,59,1235,120
PIMA20,610,7,3,9,387,3,0,1,4,53,5,0,374,5,0,2,173,0,8,172,0,712,1401,43,48,293,1019,1785
PIMA21,621,3,4,5,382,4,0,4,11,35,2,0,362,1,1,0,177,1,2,157,0,564,1199,31,72,1013,1019,2315
PIMA22,598,7,7,9,527,2,0,1,6,42,5,1,556,9,3,2,151,2,5,141,3,691,1591,30,66,596,1150,2283
PIMA23,710,10,8,8,532,10,1,2,10,37,2,1,300,3,2,6,86,1,7,121,2,540,1553,33,61,553,1278,2200
PIMA24,289,2,0,6,243,1,1,0,3,25,0,0,399,0,1,3,82,1,4,97,2,426,624,17,54,843,541,1538
PIMA25,937,4,5,24,385,1,0,1,13,39,7,0,358,7,3,4,277,1,3,287,2,761,1348,25,32,178,1356,1583
PIMA26,225,2,1,2,182,2,2,0,3,11,2,0,135,2,1,5,41,0,0,56,0,197,1382,29,26,236,414,1673
PIMA27,401,5,2,6,336,3,0,1,5,20,1,2,188,2,1,2,42,0,5,38,2,235,0,0,0,0,753,0
PIMA28,336,1,2,5,284,0,1,3,5,11,1,0,69,2,0,0,16,0,1,25,0,100,802,18,18,148,628,986
PIMA29,553,2,1,8,432,4,1,3,12,21,1,0,293,1,1,3,139,0,1,131,2,388,1220,30,108,1299,1000,2657
PIMA3,446,3,0,5,317,1,0,0,3,22,2,0,385,1,1,1,92,1,3,106,2,461,167,5,3,5,772,180
PIMA30,686,8,8,14,482,10,1,2,10,24,1,0,294,3,2,7,66,1,6,93,0,484,1387,41,96,943,1208,2467
PIMA31,606,6,1,3,465,0,1,0,9,49,3,0,448,5,1,4,161,3,7,181,0,543,604,14,48,638,1081,1304
PIMA32,595,3,0,6,339,0,0,2,5,13,2,0,254,9,0,2,244,0,1,150,1,478,1618,61,133,1393,943,3205
PIMA33,631,6,6,15,630,6,2,4,10,19,7,1,213,2,3,4,56,2,2,66,3,319,1051,14,52,491,1294,1608
PIMA34,660,6,6,10,508,4,0,1,8,50,0,1,463,1,1,1,145,0,6,151,1,540,506,17,43,370,1194,936
PIMA35,441,0,1,2,513,1,1,4,3,7,1,0,56,0,1,0,49,1,0,24,0,73,241,5,19,240,958,505
PIMA36,985,3,4,5,986,3,1,12,3,12,2,2,116,1,0,0,73,0,2,53,1,147,1432,51,96,796,1986,2375
PIMA37,586,2,4,2,391,6,0,1,8,36,4,0,327,3,2,1,97,1,8,110,1,509,603,25,23,128,991,779
PIMA38,629,2,5,10,421,2,0,1,7,34,2,0,564,3,0,7,249,1,0,186,0,854,884,42,67,464,1069,1457
PIMA39,807,5,4,4,585,4,0,4,6,17,1,0,184,4,3,0,138,0,3,109,1,233,1095,21,90,1469,1409,2675
PIMA4,417,4,2,7,315,5,0,1,11,33,1,0,345,3,1,4,72,0,7,108,0,514,597,23,17,59,750,696
PIMA40,247,3,4,3,386,4,0,4,4,3,0,1,85,1,0,1,20,0,2,12,0,136,832,25,102,1107,647,2066
PIMA41,733,7,8,16,629,13,2,3,13,31,3,2,300,0,1,2,92,0,4,126,0,493,2007,53,127,1075,1406,3262
PIMA42,497,4,1,4,291,0,2,5,9,9,4,0,172,1,0,0,146,0,2,88,0,278,1775,79,105,385,797,2344
PIMA43,410,6,3,0,372,2,1,2,4,10,0,1,121,1,0,0,57,0,1,38,1,154,619,27,29,143,793,818
PIMA44,957,6,0,12,942,1,2,6,4,18,4,0,220,2,1,0,149,1,7,114,1,360,1092,63,50,204,1918,1409
PIMA45,690,5,2,8,467,5,0,1,7,30,6,0,302,2,1,1,131,0,4,166,0,380,1049,40,26,116,1177,1231
PIMA46,298,6,1,2,495,2,3,10,1,5,0,0,57,3,1,2,18,0,1,18,0,66,311,7,29,461,804,808
PIMA47,298,3,4,10,223,2,0,1,3,22,1,0,197,2,1,1,61,0,6,54,1,285,1409,32,33,221,540,1695
PIMA48,494,6,4,17,376,4,0,1,9,32,2,0,698,2,0,2,154,1,8,222,2,883,954,23,44,375,901,1396
PIMA49,1092,4,2,10,621,3,0,1,5,20,5,0,381,2,1,3,306,0,4,226,1,552,429,16,61,612,1732,1118
PIMA5,212,1,3,4,199,1,0,0,3,15,2,0,204,0,0,0,65,0,3,35,1,215,722,52,130,1789,420,2693
PIMA50,372,6,3,8,353,2,0,0,4,27,2,1,257,0,0,2,63,1,4,87,1,297,1140,15,29,197,744,1381
PIMA51,754,6,9,17,559,7,0,0,11,43,7,1,290,5,2,2,134,1,3,164,1,481,863,7,28,146,1352,1044
PIMA52,566,2,8,2,434,5,1,2,4,7,0,0,74,1,0,2,14,0,1,20,0,127,1006,18,26,179,1017,1229
PIMA53,422,2,0,4,163,2,1,1,7,22,1,0,266,3,0,0,172,0,2,172,1,540,2196,44,77,529,593,2846
PIMA54,864,2,3,5,443,2,0,0,8,30,3,0,412,6,2,1,342,2,3,260,0,621,1958,48,131,974,1319,3111
PIMA55,360,2,2,4,281,1,0,0,8,23,1,0,182,3,0,1,63,0,1,71,0,312,600,24,42,326,650,992
PIMA56,300,3,1,1,253,1,0,0,5,19,0,0,314,2,0,2,70,0,0,95,4,322,1319,26,59,627,559,2031
PIMA57,365,4,1,5,216,5,0,1,1,17,1,0,251,1,1,0,57,0,3,75,4,319,1661,65,90,592,596,2408
PIMA58,712,7,4,10,470,7,0,5,10,33,2,0,466,4,0,2,181,0,1,167,1,660,1403,60,92,416,1210,1971
PIMA59,662,4,1,8,960,5,1,6,7,17,0,0,147,1,0,0,43,0,3,44,1,203,913,10,27,263,1640,1213
PIMA6,603,0,2,8,426,1,0,1,9,31,0,0,537,4,1,4,257,0,6,210,0,651,1217,44,192,1982,1040,3435
PIMA60,369,6,0,6,579,2,3,9,3,7,1,1,74,1,2,3,21,1,4,26,0,102,473,17,44,530,962,1064
PIMA61,762,1,5,8,1064,2,0,9,8,17,3,2,169,2,2,1,100,0,5,52,0,237,958,9,55,641,1842,1663
PIMA62,517,6,4,10,528,5,0,3,5,17,1,0,172,3,2,3,76,0,4,75,1,289,896,43,47,193,1070,1179
PIMA63,545,2,2,8,677,1,1,10,2,8,1,1,105,1,0,1,56,0,2,30,1,171,888,14,42,203,1235,1147
PIMA64,591,4,2,5,398,2,0,0,12,26,4,0,352,2,2,1,177,1,5,158,2,476,1064,28,50,139,1002,1281
PIMA65,441,0,3,5,303,3,0,0,14,21,1,1,219,5,0,6,76,0,5,86,1,283,9,0,0,11,755,20
PIMA66,1051,3,1,10,576,7,1,2,12,23,4,1,390,7,1,0,293,2,6,238,1,593,1218,29,50,222,1648,1519
PIMA67,776,5,2,4,723,6,1,6,7,25,2,1,315,1,1,4,193,1,6,131,0,469,1117,50,78,450,1516,1695
PIMA68,329,3,0,9,309,8,0,0,4,28,5,1,436,3,0,4,98,0,4,126,0,674,1320,43,74,416,658,1853
PIMA69,522,6,0,8,338,1,0,2,12,34,2,1,497,5,0,0,256,1,9,206,0,701,1785,51,132,1372,875,3340
PIMA7,318,5,2,2,253,1,0,1,9,20,2,1,277,0,0,1,83,1,1,98,0,337,35,2,7,43,581,87
PIMA70,602,4,0,10,489,3,1,3,12,43,7,1,376,2,0,4,150,0,4,154,2,530,630,34,70,925,1108,1659
PIMA71,342,1,2,4,223,3,0,0,3,10,1,0,227,2,0,0,123,0,1,83,0,377,114,1,4,9,575,128
PIMA72,612,4,6,3,432,3,0,2,7,27,1,0,286,5,1,2,135,0,4,120,0,364,1637,69,100,610,1060,2416
PIMA73,876,5,5,5,833,6,0,5,12,26,2,0,236,5,0,2,101,0,5,110,1,350,1691,50,71,353,1730,2165
PIMA74,918,4,4,7,558,5,0,3,7,27,2,0,324,3,3,1,284,0,5,236,2,655,787,15,41,804,1496,1647
PIMA75,372,2,4,10,250,4,0,2,7,35,1,0,312,1,0,3,81,0,1,112,0,480,1513,81,69,445,642,2108
PIMA76,615,8,1,5,423,0,0,1,5,15,1,0,190,0,2,1,40,0,2,66,0,305,222,6,2,15,1052,245
PIMA77,197,5,3,8,90,8,0,2,3,11,0,0,58,0,0,1,13,0,0,8,1,93,865,17,87,1076,311,2045
PIMA78,610,5,0,1,227,2,0,0,3,2,0,0,25,0,0,0,2,0,0,11,0,31,1141,15,27,207,845,1390
PIMA79,506,8,0,0,790,0,2,5,1,1,0,0,28,0,0,0,21,0,1,16,0,31,943,23,129,1292,1304,2387
PIMA8,569,1,2,11,378,4,0,0,7,28,3,1,424,4,1,2,146,2,0,154,1,572,195,15,14,175,965,399
PIMA80,54,2,1,1,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195,45,47,320,96,1607
PIMA81,27,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,350,11,34,460,40,855
PIMA82,717,4,4,4,542,1,0,5,10,14,0,1,195,3,2,1,87,0,3,83,0,243,1255,39,53,306,1272,1653
PIMA83,600,16,3,2,234,3,1,0,2,3,1,0,29,0,1,0,5,0,1,12,2,47,435,12,49,795,858,1291
PIMA84,552,6,1,5,397,1,1,7,1,3,0,0,29,1,0,0,10,0,1,17,0,42,1332,29,118,1961,962,3440
PIMA85,386,1,2,4,959,4,2,6,3,7,0,0,48,0,1,0,25,0,3,14,0,95,670,19,56,403,1356,1148
PIMA86,1068,9,4,1,753,2,0,4,7,15,0,2,127,3,0,1,37,0,3,44,0,175,1852,61,73,585,1837,2571
PIMA87,621,9,0,1,302,2,0,4,0,1,1,0,46,2,0,0,13,0,1,23,1,61,318,9,14,116,935,457
PIMA88,85,0,0,1,34,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1238,18,65,928,120,2249
PIMA89,27,0,1,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1438,44,87,628,43,2197
PIMA9,505,1,1,6,265,2,0,0,12,23,1,0,409,6,0,2,231,0,1,219,0,727,1099,29,68,827,780,2023
PIMA90,23,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,434,12,75,656,32,1177
PIMA91,620,7,2,4,337,4,0,2,6,10,0,0,98,0,0,2,11,0,2,26,1,122,1298,78,81,560,974,2017
PIMA92,451,1,0,4,202,0,0,0,1,1,0,0,18,1,1,0,5,0,0,15,0,33,1444,25,117,943,658,2529
PIMA93,465,11,1,1,291,3,0,1,8,18,0,1,102,0,1,0,20,0,1,49,0,180,1103,29,45,368,772,1545
PIMA94,112,2,0,1,116,2,0,0,1,9,1,0,97,2,1,0,9,0,1,16,0,212,1268,33,59,403,233,1763
PIMA95,860,8,2,8,715,8,2,6,1,15,2,0,162,1,1,1,66,0,3,70,1,233,400,19,60,569,1601,1048
PIMA96,749,9,2,2,407,3,0,1,9,13,3,0,98,0,0,3,25,0,0,49,1,183,1277,42,74,481,1172,1874
PIMA97,681,12,5,11,472,2,0,3,5,14,1,0,205,1,0,0,44,0,1,81,2,323,984,28,52,329,1183,1393
PIMA98,677,10,1,4,274,5,0,0,5,2,0,0,53,0,1,0,3,0,0,23,2,61,1285,54,88,508,971,1935
PIMA99,491,5,0,4,787,0,1,7,4,4,1,0,56,2,3,1,39,0,2,22,0,91,1243,14,59,473,1287,1789
PINAL0 DESERT CEDARS,103,2,1,1,87,0,0,0,0,8,1,0,78,1,0,1,16,0,0,18,0,100,57,2,4,62,194,125
PINAL1 ALTERRA NORTH,109,1,0,1,103,0,0,1,0,4,0,0,88,0,0,0,11,0,0,31,1,135,70,2,7,67,214,146
PINAL2 MARICOPA WELLS,151,3,3,2,103,1,0,0,1,10,0,0,113,1,0,2,17,1,2,24,0,163,70,2,8,95,263,175
PINAL3 SAN CARLOS COMMUNITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINAL4 PICACHO SOUTH,18,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,4,0,0,5,0,13,5,0,0,8,26,13
PINAL5 TOLTEC SOUTHWEST,5,0,0,0,6,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,2,11,5
PINALAK CHIN COMMUNITY,44,0,0,0,23,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,3,18,0,0,2,67,20
PINALAPACHE JCT CENTRAL,128,4,2,2,68,2,0,0,1,7,1,0,65,0,0,1,17,0,2,13,0,162,43,2,6,75,206,126
PINALAPACHE JCT EAST,108,0,1,3,78,3,0,0,4,9,0,0,116,1,0,0,44,0,1,35,0,224,40,0,5,89,193,134
PINALAPACHE JCT NE,106,2,1,3,80,3,0,0,2,5,0,0,122,1,0,2,23,0,2,19,0,266,37,1,6,106,195,150
PINALAPACHE JCT NW,87,4,1,2,49,2,0,1,2,13,0,0,56,0,0,0,9,0,3,7,0,146,32,1,4,59,145,96
PINALAPACHE JCT SE,128,2,3,4,117,3,1,1,3,8,2,1,119,0,0,4,35,0,0,22,0,237,52,3,7,110,257,172
PINALAPACHE JCT SUPERSTITION,200,1,0,4,70,3,0,0,9,15,0,0,66,1,2,2,21,0,1,36,0,202,62,1,6,96,278,165
PINALAPACHE JCT SW,171,5,3,5,79,1,0,0,4,11,0,0,82,0,1,2,32,0,4,30,1,225,53,2,6,101,264,162
PINALAPACHE JUNCTION,145,3,3,2,115,1,0,0,2,8,0,0,118,0,1,1,20,0,0,32,0,320,32,0,4,74,269,110
PINALAPACHE JUNCTION N. CENTRA,151,4,1,3,121,0,0,0,0,7,1,0,168,0,2,0,38,1,2,34,0,347,56,1,5,120,280,182
PINALAPACHE JUNCTION NORTH,126,1,1,2,77,1,1,0,2,6,1,0,62,0,0,2,15,0,0,15,1,182,37,1,4,85,208,127
PINALAPACHE JUNCTION SOUTH,170,3,0,3,78,1,0,0,1,13,1,1,98,0,2,1,39,0,1,36,1,257,54,3,7,108,255,172
PINALARIZONA CITY,189,2,1,2,126,1,0,0,4,19,1,0,132,2,0,3,21,0,2,46,1,332,46,1,4,83,321,134
PINALBELLA VISTA,52,0,0,0,44,0,0,0,0,4,2,0,72,0,0,0,14,0,2,12,0,98,36,1,5,63,96,105
PINALBLACKWATER,54,0,0,0,32,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,3,28,0,0,3,86,31
PINALCACTUS FOREST,72,1,0,0,58,3,0,0,1,2,0,0,73,0,1,2,11,0,4,8,0,184,20,1,2,67,134,90
PINALCASA BLANCA,51,0,0,0,27,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,4,30,0,1,3,78,34
PINALCASA GRANDE INTERCHANGE,167,5,1,0,82,1,0,0,3,9,0,1,101,0,0,1,42,0,0,37,0,213,57,0,4,93,256,154
PINALCASA GRANDE NE,127,0,0,3,73,0,0,0,0,6,0,0,100,0,0,0,15,0,0,26,1,153,52,1,4,69,203,126
PINALCASA GRANDE NORTH,294,7,3,5,187,4,0,0,3,18,3,0,105,1,1,4,55,0,2,47,0,239,51,3,4,55,500,113
PINALCASA GRANDE NW,221,3,2,3,116,5,0,0,4,8,1,1,120,2,0,5,44,0,3,63,0,227,76,1,8,107,350,192
PINALCASA GRANDE RANCHO GRANDE,128,1,0,3,84,1,0,0,3,11,0,1,105,2,0,0,34,0,1,39,0,176,57,1,7,98,217,163
PINALCASA GRANDE S CEN,319,5,7,13,157,3,0,0,5,7,0,0,113,0,0,1,23,0,1,23,0,180,55,1,5,61,504,122
PINALCASA GRANDE SW,159,5,0,4,77,0,0,0,3,6,0,0,67,1,1,0,16,0,2,8,0,143,34,0,2,40,245,76
PINALCASA GRANDE WEST,138,2,0,5,84,2,0,0,6,6,0,0,82,0,0,2,15,0,1,24,1,182,57,1,7,79,231,144
PINALCENTRAL ARIZONA COLLEGE,59,3,2,1,39,1,0,0,4,0,0,0,54,1,0,1,12,0,0,16,0,111,19,0,2,43,105,64
PINALCHUI CHU,34,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,11,0,0,0,48,11
PINALCIRCLE CROSS RANCH,137,1,0,1,111,1,0,1,11,9,2,0,161,1,1,3,28,1,2,32,0,217,74,3,10,119,251,206
PINALCOOLIDGE NE,101,3,1,3,56,6,0,0,3,3,1,0,34,0,0,1,5,0,0,6,0,56,31,1,3,30,170,65
PINALCOOLIDGE NW,170,6,2,12,136,3,0,0,4,19,0,1,102,1,0,1,21,0,0,26,0,204,69,1,8,91,329,169
PINALCOOLIDGE SOUTH,173,4,3,0,118,6,0,1,1,12,0,0,72,0,0,0,12,0,0,23,0,137,40,1,3,40,304,84
PINALCOPPER BASIN,174,2,1,5,110,0,0,0,4,9,2,0,167,2,0,4,23,0,1,46,0,294,45,3,7,83,292,138
PINALCOYOTE RANCH,167,1,3,3,159,2,0,0,8,8,2,0,153,0,0,2,49,1,1,50,1,291,73,2,8,110,335,193
PINALDUDLEYVILLE,141,3,3,3,46,3,0,0,1,3,0,0,19,0,0,0,2,0,0,2,0,35,24,0,0,15,199,39
PINALEL DORADO,122,1,0,0,81,0,0,0,0,6,1,0,88,0,0,0,19,0,0,30,1,172,68,3,7,74,204,152
PINALELEVEN MILE CORNER,34,2,4,0,32,1,0,0,1,2,0,0,36,1,0,0,8,0,3,5,0,83,13,0,2,36,73,51
PINALELOY,295,7,4,1,61,1,0,0,0,4,0,0,20,0,0,0,4,0,0,11,0,28,40,0,1,10,369,51
PINALFLORENCE NORTH,299,11,6,12,165,8,0,0,5,18,2,0,127,0,0,2,28,1,3,29,0,257,38,0,3,63,501,104
PINALGOLD CANYON,232,0,3,5,137,3,0,2,5,18,0,0,194,0,1,0,82,1,0,76,0,405,53,1,4,98,380,156
PINALHIDDEN VALLEY,72,4,0,1,45,0,0,0,3,2,1,0,60,0,0,0,7,0,1,12,0,121,27,0,2,47,122,76
PINALIRONWOOD COMMON,208,2,1,1,95,2,0,0,3,5,1,0,106,0,0,0,52,0,1,51,0,211,69,1,6,91,309,167
PINALIRONWOOD CROSSING,200,4,2,3,114,1,0,0,5,24,1,0,341,0,1,1,48,0,1,85,1,440,96,2,15,237,324,350
PINALJOHNSON RANCH,160,2,0,2,109,1,0,0,1,7,0,0,161,2,1,1,55,0,2,38,0,306,71,2,5,127,274,205
PINALJOHNSON RANCH EAST,89,2,1,0,85,1,0,1,2,8,0,0,97,1,0,1,9,0,3,9,2,132,50,1,7,77,178,135
PINALKEARNY,201,7,8,4,145,11,0,1,3,5,0,0,44,0,0,4,19,0,1,7,0,99,39,0,4,52,376,95
PINALLINKS ESTATES,71,3,4,0,60,0,0,1,0,5,0,0,116,0,0,1,25,0,2,18,0,145,37,2,6,73,138,118
PINALMAMMOTH,209,7,3,3,85,1,0,0,1,1,0,0,19,0,0,0,4,0,0,2,0,27,40,0,1,15,308,56
PINALMARICOPA,132,0,2,2,91,0,0,0,2,13,0,0,88,0,0,0,26,0,1,23,1,157,69,2,7,80,227,158
PINALMARICOPA FIESTA,142,1,0,0,96,0,0,0,3,9,0,0,142,0,0,0,24,0,1,37,0,185,72,1,7,99,239,179
PINALMARICOPA MEADOWS,170,2,0,0,104,1,0,0,1,8,1,0,119,0,0,1,25,0,1,27,0,188,70,3,8,85,277,166
PINALMISSION VALLEY,127,3,2,4,66,0,0,1,3,7,0,0,100,1,1,1,23,0,2,35,0,187,52,1,5,81,202,139
PINALMOUNTAINBROOK VILLAGE,148,0,0,2,31,0,0,0,2,6,1,1,108,1,1,1,107,0,0,52,2,280,46,0,2,82,181,130
PINALORACLE,374,4,4,5,241,2,1,1,0,8,2,0,183,1,0,0,64,0,0,51,2,299,65,1,3,79,630,148
PINALPECAN CREEK NORTH,92,2,2,2,83,0,0,1,7,16,1,0,166,1,0,1,17,0,10,36,0,191,51,2,10,112,181,175
PINALPERALTA,68,0,0,0,41,0,1,1,0,5,0,0,45,1,0,0,37,0,0,12,0,149,24,1,2,46,109,73
PINALPICACHO,21,0,1,0,3,1,0,0,0,2,0,0,14,0,0,0,3,0,0,3,0,24,6,0,0,12,26,18
PINALPOSTON BUTTE,286,2,2,4,183,1,0,0,6,12,1,0,220,2,0,2,69,1,4,83,0,491,123,4,12,237,478,376
PINALPROVINCE,345,3,0,3,155,1,0,1,2,8,0,0,178,2,0,2,52,2,4,92,0,369,125,2,9,158,507,294
PINALQUAIL HOLLOW,93,3,1,5,79,0,0,0,3,17,2,0,172,1,0,4,21,0,1,37,0,266,54,1,9,133,181,197
PINALQUEEN CREEK,134,0,1,1,85,2,0,0,1,14,2,0,154,1,0,2,48,0,1,76,0,284,79,1,12,149,223,241
PINALQUEEN VALLEY,39,0,1,2,28,0,0,0,2,4,0,0,31,0,0,1,14,0,0,10,0,77,10,0,0,26,70,36
PINALRED ROCK,78,0,0,1,75,2,0,1,2,7,0,0,112,0,0,0,15,0,3,11,1,209,30,1,5,85,156,121
PINALSACATON,71,2,0,0,26,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,4,36,1,0,4,100,41
PINALSAN MANUEL,250,7,3,12,141,7,0,0,0,8,0,0,73,0,0,1,10,0,0,12,0,122,56,1,3,62,420,122
PINALSAN TAN,59,0,0,0,27,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,5,29,0,0,4,86,33
PINALSAN TAN HEIGHTS,80,2,1,0,103,0,0,0,0,6,0,0,120,0,0,0,26,0,2,22,2,197,55,2,8,100,186,165
PINALSAN TAN PARK,166,4,2,0,129,0,1,0,5,17,0,0,228,2,0,1,28,0,0,56,0,333,60,2,6,97,301,165
PINALSAN TAN RANCHES,50,2,0,0,40,1,0,0,2,4,0,0,74,0,0,1,17,0,0,11,0,144,28,0,3,69,93,100
PINALSANTA ROSA,96,2,0,0,70,1,0,1,1,7,0,0,55,1,1,0,17,0,0,30,0,125,44,1,4,54,169,103
PINALSCHNEPF,80,0,0,0,71,0,0,0,2,22,0,2,185,0,1,3,17,0,2,40,1,155,37,2,8,102,151,149
PINALSENITA,103,0,0,2,80,1,0,0,1,2,1,0,95,1,0,0,14,0,6,20,0,120,62,1,5,64,186,132
PINALSKYLINE RANCH,93,0,0,2,73,1,1,1,0,13,0,1,145,2,0,1,15,0,2,28,0,168,53,1,8,96,169,158
PINALSTANFIELD,34,2,0,0,15,0,0,0,2,0,0,0,25,0,0,0,4,0,0,2,0,29,11,0,0,15,51,26
PINALSUPERIOR,275,9,3,7,139,4,0,0,0,0,0,0,26,0,0,1,9,0,1,15,0,51,66,1,3,29,437,99
PINALSUPERIOR WEST,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2,1,2
PINALSUPERSTITION MOUNTAIN,174,1,2,1,83,4,0,0,0,7,2,1,163,2,1,0,87,0,1,85,1,350,63,1,5,122,265,191
PINALSUTTON SUMMIT,6,0,0,2,4,0,0,0,0,0,0,0,10,0,0,0,2,0,0,2,0,14,2,0,0,7,12,9
PINALTHUNDERBIRD FARMS,75,3,3,3,45,1,0,1,6,6,0,0,113,2,0,2,6,0,0,9,0,176,29,0,4,69,130,102
