precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
15KENNETTPRECINCT1,4,574,7,33,477
15KENNETTPRECINCT2A(CONG7),1,794,9,50,634
15KENNETTPRECINCT2B(CONG16),0,0,0,0,0
15KENNETTPRECINCT3,4,496,4,21,216
15KENNETTPRECINCT4,3,708,10,43,660
15KENNETTSQUARENORTH,2,453,8,18,231
15KENNETTSQUARESOUTH1,3,337,4,22,171
15KENNETTSQUARESOUTH2,9,618,6,26,216
15LONDONGROVECHATHAM,3,376,4,24,464
15LONDONGROVESOUTH,17,1515,18,89,1477
15LOWEROXFORDEAST,1,1024,11,16,233
15LOWEROXFORDWEST,5,331,5,18,617
15NEWGARDENPRECINCTNORTH,5,882,7,70,721
15NEWGARDENPRECINCTSOUTH1,1,823,12,44,872
15NEWGARDENPRECINCTSOUTH2,5,935,7,44,652
15NORTHCOVENTRYEAST,6,436,18,38,520
15NORTHCOVENTRYMIDDLE,6,494,16,25,571
15NORTHCOVENTRYWEST1,3,436,6,17,446
15NORTHCOVENTRYWEST2,3,524,13,20,667
15OXFORDPRECINCTEAST,2,278,10,18,156
15OXFORDPRECINCTWEST,6,678,16,32,598
15PARKESBURGPRECINCTNORTH,6,258,5,16,197
15PARKESBURGPRECINCTSOUTH,3,517,10,33,519
15PENNSBURYNORTH1,0,452,6,15,120
15PENNSBURYNORTH2,2,318,6,26,306
15PENNSBURYSOUTH1,2,328,7,21,324
15PENNSBURYSOUTH2,0,263,4,19,212
15PHOENIXVILLEWARDEAST-1,5,406,9,39,222
15PHOENIXVILLEWARDEAST-2,3,397,10,35,250
15PHOENIXVILLEWARDEAST-3,1,364,8,13,178
15PHOENIXVILLEWARDMIDDLE-1(STH155),0,0,0,0,0
15PHOENIXVILLEWARDMIDDLE-1(STH157),2,460,13,30,162
15PHOENIXVILLEWARDMIDDLE-2,2,503,13,29,149
15PHOENIXVILLEWARDMIDDLE-3,4,433,10,32,185
15PHOENIXVILLEWARDNORTH-1,1,388,3,35,277
15PHOENIXVILLEWARDNORTH-2,2,357,18,32,167
15PHOENIXVILLEWARDNORTH-3,2,654,9,31,326
15PHOENIXVILLEWARDWEST-1,2,293,8,18,164
15PHOENIXVILLEWARDWEST-2,9,529,14,28,292
15PHOENIXVILLEWARDWEST-3,3,374,11,30,216
15SADSBURYNORTH,4,480,7,34,583
15SADSBURYSOUTH,3,267,7,17,334
15SCHUYLKILLPRECINCT1,1,440,11,23,311
15SCHUYLKILLPRECINCT2,4,406,8,20,329
15SCHUYLKILLPRECINCT3,3,970,22,46,947
15SCHUYLKILLPRECINCT4,4,702,5,46,613
15SPRINGCITYWARD1,1,211,11,21,185
15SPRINGCITYWARD2,2,84,4,16,79
15SPRINGCITYWARD3,2,193,5,13,166
15SPRINGCITYWARD4,0,191,5,16,193
15THORNBURYDISTRICT1,1,377,1,28,475
15THORNBURYDISTRICT2,4,521,7,38,493
15TREDYFFRINEAST1,2,689,10,34,300
15TREDYFFRINEAST2,0,487,9,16,276
15TREDYFFRINEAST3,0,393,1,15,203
15TREDYFFRINEAST4,1,454,6,24,313
15TREDYFFRINEAST5,2,966,11,50,475
15TREDYFFRINMIDDLE1,0,311,4,16,181
15TREDYFFRINMIDDLE2,4,695,6,33,415
15TREDYFFRINMIDDLE3,0,436,2,24,307
15TREDYFFRINMIDDLE4,3,758,5,44,452
15TREDYFFRINMIDDLE5,0,443,4,25,293
15TREDYFFRINMIDDLE6,3,617,6,20,396
15TREDYFFRINMIDDLE7,2,222,1,7,148
15TREDYFFRINWEST1,5,779,14,44,508
15TREDYFFRINWEST2,2,1206,20,48,676
15TREDYFFRINWEST3,4,462,4,26,278
15TREDYFFRINWEST4,2,494,5,20,226
15TREDYFFRINWEST5,2,1397,12,41,693
15UPPERUWCHLAN1,4,615,2,42,634
15UPPERUWCHLAN2,5,982,9,45,926
15UPPERUWCHLAN3,8,1610,20,72,1081
15UWCHLANPRECINCT1,2,475,8,26,370
15UWCHLANPRECINCT2,3,828,7,42,504
15UWCHLANPRECINCT3,1,438,7,26,286
15UWCHLANPRECINCT4,3,351,5,27,203
15UWCHLANPRECINCT5,7,643,13,42,490
15UWCHLANPRECINCT6,4,1300,14,48,1024
15UWCHLANPRECINCT7,1,996,10,48,686
