precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
44DECATUR,61,7,60,4,6,167,56,2,330
44DERRY,264,11,265,8,7,313,197,7,780
44GRANVILLE,139,6,142,4,17,202,128,3,509
44LEWISTOWN,205,6,228,7,13,204,156,10,568
45BARRETT,217,6,217,2,5,93,93,4,359
45CHESTNUTHILL,633,12,625,5,13,292,115,10,1270
45COOLBAUGH,961,9,618,9,3,148,82,4,721
45EASTSTROUDSBURG,405,6,419,6,8,109,99,10,350
45HAMILTON,452,12,475,7,5,217,180,10,734
45MIDDLESMITHFIELD,704,6,485,5,6,194,135,5,757
45POCONO,552,6,464,3,8,156,148,9,781
45SMITHFIELD,407,4,356,8,2,105,75,6,401
45STROUD,1267,16,1041,12,15,268,266,19,1069
45STROUDSBURG,352,3,327,3,5,80,79,0,209
45TOBYHANNA,391,1,315,4,3,122,130,7,646
46ABINGTON,7125,44,4925,62,49,1513,2188,73,3122
46AMBLER,644,1,567,9,7,150,194,9,259
46BRIDGEPORT,253,3,291,3,2,50,60,3,199
46CHELTENHAM,6698,17,4017,12,23,457,773,30,851
46COLLEGEVILLE,326,2,358,3,5,107,187,8,352
46CONSHOHOCKEN,753,2,654,4,5,137,306,9,425
46DOUGLASS,409,10,439,4,18,385,314,14,935
46EASTNORRITON,1317,7,857,12,13,452,447,15,1094
46FRANCONIA,593,6,591,11,22,814,702,15,1269
46HATBORO,596,5,543,6,13,206,273,7,525
46HORSHAM,1836,14,1478,24,36,781,1187,40,2089
46JENKINTOWN,745,6,553,3,4,92,155,3,158
46LANSDALE,1078,8,1173,10,17,384,372,26,764
46LIMERICK,1168,15,932,7,20,599,648,34,1669
46LOWERFREDERICK,249,2,319,7,3,207,150,8,439
46LOWERGWYNEDD,1374,4,622,15,11,329,892,16,923
46LOWERMERION,10384,24,4721,42,18,901,2968,58,2414
46LOWERMORELAND,1175,6,744,7,7,369,626,13,1155
46LOWERPOTTSGROVE,712,3,618,9,15,345,334,19,927
46LOWERPROVIDENCE,1728,11,1279,22,26,668,1183,41,1900
46LOWERSALFORD,935,4,724,20,20,713,685,25,1289
