precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
NACOGDOCHES22-23-24-25,139,0,0,0,0,2,68,0,4,9,1,68,1,1,0,0,14,2,41,0,59
NACOGDOCHES30-31-32,120,0,0,1,0,2,208,2,19,54,1,273,0,0,0,2,35,4,154,0,100
NACOGDOCHES33-34,214,1,0,0,0,0,128,0,35,75,1,767,0,0,2,2,94,4,326,0,334
NACOGDOCHES41 AND 43,124,0,1,0,0,1,51,0,13,25,1,336,0,0,0,1,17,1,82,0,167
RANDALL111,105,1,0,0,0,2,92,0,12,54,1,450,1,1,0,0,19,1,115,0,196
RANDALL112,70,2,0,0,1,1,87,1,5,28,0,308,0,0,1,1,10,3,61,1,145
RANDALL114,74,0,0,1,1,0,61,1,10,23,0,340,1,0,0,3,18,2,74,1,163
RANDALL208,79,1,0,0,0,4,62,0,11,101,2,738,0,0,0,4,43,3,242,1,355
RANDALL220,50,0,0,1,0,2,40,0,3,49,2,325,0,0,1,3,22,2,85,1,140
RANDALL222,108,0,2,0,0,0,71,0,21,80,2,809,2,0,0,6,68,4,284,2,354
RANDALL227,104,0,0,0,0,1,78,0,12,107,3,820,1,0,1,3,66,5,307,0,405
RANDALL228,134,0,0,0,0,1,78,0,16,121,2,907,3,0,0,7,77,5,328,1,373
RANDALL230,66,0,0,0,0,1,48,0,7,69,0,565,1,0,0,1,35,1,191,1,245
RANDALL324,108,0,0,0,0,0,81,2,14,106,1,884,0,0,0,3,52,4,266,0,389
RANDALL325,42,0,0,1,0,0,33,0,3,107,1,576,0,0,0,2,25,1,136,0,213
RANDALL415,66,0,0,0,0,1,65,0,4,82,0,535,0,0,0,0,25,1,150,0,246
RANDALL418,113,1,0,0,0,1,91,0,15,83,1,778,1,0,0,4,67,4,232,3,318
RANDALL421,55,0,0,0,0,1,81,0,7,64,2,450,1,1,0,4,27,3,103,0,202
RANDALL426,39,1,0,1,0,0,44,0,5,55,4,523,1,0,0,0,30,0,105,1,195
RANDALL429,87,0,0,1,0,0,96,0,10,61,1,521,0,0,0,8,45,5,200,0,265
RED RIVER17,17,0,0,0,0,0,1,0,3,9,0,65,0,0,0,1,1,0,9,0,37
REFUGIO1,70,2,2,0,0,1,20,2,1,2,0,23,0,0,0,0,0,0,4,0,14
REFUGIO1A,111,5,2,0,0,1,38,2,0,3,0,33,0,0,0,3,2,0,6,0,13
REFUGIO2,71,4,2,4,1,2,72,5,1,5,0,95,0,0,0,1,1,0,17,0,81
REFUGIO2A,9,0,1,0,0,0,6,1,0,5,0,28,0,0,0,0,0,0,10,0,33
REFUGIO2B,25,0,0,0,0,0,24,0,0,3,1,45,0,0,1,0,4,0,6,0,31
REFUGIO3,72,1,1,0,0,3,42,1,7,6,0,90,2,0,0,0,1,0,23,0,61
REFUGIO3A,46,2,0,1,1,1,24,1,6,9,0,73,0,0,0,0,7,1,25,1,59
REFUGIO4,101,1,0,0,0,0,14,0,3,0,0,3,0,0,0,0,0,1,5,0,11
REFUGIO4A,31,2,0,0,0,0,9,0,0,1,0,23,0,0,0,1,0,0,10,0,19
REFUGIO4B,13,1,0,0,0,0,5,0,0,0,0,25,0,0,0,0,0,0,8,0,7
ROBERTS1,0,0,0,0,0,0,2,0,2,3,1,53,0,0,0,0,1,0,13,0,31
ROBERTS2,0,0,0,0,0,0,0,0,2,4,0,40,0,0,0,1,3,0,6,0,42
ROBERTS3,0,0,0,0,0,0,0,0,5,3,0,45,0,0,0,1,3,0,4,0,15
ROBERTS4 1,3,0,0,0,0,0,0,0,2,1,0,28,0,0,0,0,1,0,6,0,17
ROBERTS4 2,0,0,0,0,0,0,0,0,0,4,1,30,0,0,0,0,2,0,4,0,10
SCURRY12,29,0,0,1,0,0,19,0,4,23,1,154,0,0,11,2,7,1,43,0,94
SCURRY13,14,1,0,0,0,0,9,0,1,6,0,92,0,0,2,0,2,1,9,0,57
SCURRY14,6,0,0,0,0,0,2,0,0,4,0,23,0,0,2,0,3,0,3,0,16
SCURRY15,41,1,1,0,0,1,10,1,4,20,1,150,0,0,2,1,4,0,36,2,93
STERLINGTOTAL,4,0,0,1,0,0,4,0,8,33,2,162,0,0,0,0,6,1,63,0,112
TOM GREEN106,41,1,0,0,0,1,21,1,6,6,0,94,0,0,0,1,2,1,41,0,54
TOM GREEN107,12,0,0,1,0,0,15,0,2,5,0,47,0,0,0,1,1,0,15,0,23
TOM GREEN108,11,1,0,0,0,0,14,0,3,23,0,135,0,0,0,1,8,0,31,0,80
TOM GREEN112,21,0,0,0,0,0,9,0,5,29,0,187,0,0,0,0,13,0,55,0,104
TOM GREEN114,45,3,0,1,0,2,16,0,2,5,0,24,0,0,0,0,0,0,19,0,8
TOM GREEN124,78,0,0,0,1,1,26,0,2,7,0,43,0,0,0,1,1,0,15,0,24
TOM GREEN137,105,2,0,0,1,1,52,1,5,15,1,128,0,0,0,1,25,0,62,0,84
TOM GREEN144,62,4,0,0,0,1,28,1,2,9,1,120,0,0,0,0,1,0,37,0,50
TOM GREEN146,98,2,0,0,1,1,62,2,8,40,1,166,1,1,0,2,13,3,68,0,109
TOM GREEN213,26,1,0,0,0,0,18,0,6,78,2,488,3,0,0,3,35,3,186,0,252
TOM GREEN215,62,0,0,0,0,0,35,1,15,54,1,341,0,0,0,2,30,3,175,0,187
TOM GREEN225,0,0,0,0,0,0,1,0,0,2,0,20,0,0,0,0,0,0,3,0,6
TOM GREEN228,55,1,0,0,0,0,68,0,16,50,1,258,1,1,0,1,38,2,131,0,134
TOM GREEN230,123,1,0,0,0,1,97,0,18,104,2,610,0,0,0,4,55,1,252,1,377
TOM GREEN241,100,0,0,0,0,0,75,0,26,108,1,648,0,2,0,5,102,4,370,0,472
TOM GREEN304,65,1,0,2,0,4,49,0,9,34,0,346,1,2,0,2,19,1,97,1,223
TOM GREEN305,3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,2,1,3
TOM GREEN306,27,0,0,0,0,2,39,0,5,20,0,169,1,1,0,1,12,1,50,0,60
TOM GREEN308,14,1,0,0,0,0,10,0,0,1,0,18,0,0,0,0,4,1,6,0,11
TOM GREEN319,87,0,0,1,0,1,46,0,20,62,0,465,0,2,0,0,44,1,162,1,247
TOM GREEN327,89,0,1,0,0,1,49,1,7,39,1,180,0,0,1,1,7,2,56,0,97
TOM GREEN348,20,0,0,0,0,0,6,0,0,8,0,97,0,0,0,0,3,0,29,0,55
TOM GREEN351,16,0,0,0,0,0,9,0,0,4,0,71,2,0,0,0,3,0,34,0,30
