precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH
JOHNSON7 CITY,159.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,4.0,696.0,0.0
JOHNSONEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
KNOX19E THRIVE LONSDALE,440.0,0.0,0.0,2.0,0.0,11.0,1.0,0.0,1.0,0.0,4.0,9.0,142.0,0.0
KNOX19W THRIVE LONSDALE,223.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,3.0,0.0,1.0,5.0,109.0,0.0
KNOX65E SHORELINE,1554.0,5.0,0.0,8.0,0.0,224.0,1.0,0.0,36.0,0.0,33.0,38.0,2915.0,0.0
KNOX65W CONCORD,1215.0,3.0,0.0,16.0,0.0,178.0,2.0,0.0,23.0,0.0,15.0,16.0,3068.0,0.0
KNOX69E BLUEGRASS,1111.0,4.0,0.0,8.0,0.0,162.0,2.0,0.0,40.0,0.0,25.0,16.0,2045.0,0.0
KNOX69N WEST VALLEY,1041.0,0.0,0.0,8.0,0.0,140.0,4.0,0.0,22.0,0.0,15.0,16.0,1698.0,0.0
KNOX69S NORTHSHORE,962.0,1.0,0.0,5.0,1.0,126.0,4.0,0.0,38.0,0.0,19.0,29.0,1762.0,0.0
KNOX69W A. L. LOTTS,995.0,0.0,0.0,4.0,0.0,115.0,2.0,0.0,21.0,0.0,25.0,18.0,1588.0,0.0
KNOX70E AMHERST,1102.0,0.0,0.0,8.0,3.0,178.0,2.0,0.0,42.0,0.0,30.0,24.0,2593.0,0.0
KNOX70W BALL CAMP,1213.0,2.0,0.0,7.0,0.0,167.0,3.0,0.0,37.0,0.0,34.0,35.0,2237.0,0.0
KNOX90 SOUTH DOYLE,673.0,2.0,0.0,6.0,0.0,73.0,3.0,0.0,18.0,0.0,15.0,18.0,1973.0,0.0
LAUDERDALEEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
LEWIS1-1,193.0,5.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,27.0,357.0,0.0
LEWIS1-2,97.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,437.0,0.0
LEWIS1-3,78.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,6.0,435.0,0.0
LEWIS1-4,74.0,1.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,4.0,4.0,448.0,0.0
LEWIS1-5,90.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,467.0,1.0
LEWIS1-6,120.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,383.0,0.0
LEWIS1-7,77.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,423.0,0.0
LEWIS1-8,77.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,329.0,0.0
LEWIS1-9,84.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,306.0,0.0
MACONARMORY,122.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,3.0,4.0,688.0,0.0
MACONEARLY VOTING - WRITE-INS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
MACONWELCOME CENTER,106.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,792.0,0.0
MADISON2-3 MONTESSORI,699.0,2.0,0.0,2.0,0.0,46.0,0.0,0.0,52.0,0.0,3.0,14.0,690.0,0.0
MARSHALL6 PARKVIEW,319.0,1.0,0.0,3.0,0.0,29.0,1.0,0.0,0.0,0.0,3.0,7.0,760.0,0.0
MARSHALLEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
MCMINNJONES CHAPEL,92.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,725.0,0.0
MONROE01,458.0,0.0,0.0,6.0,1.0,48.0,0.0,0.0,4.0,0.0,5.0,10.0,1783.0,0.0
MONROE02,363.0,1.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,889.0,0.0
MONROE03,155.0,0.0,0.0,4.0,0.0,23.0,2.0,0.0,1.0,0.0,5.0,3.0,623.0,0.0
MONROE04,312.0,3.0,0.0,1.0,1.0,45.0,3.0,0.0,1.0,0.0,7.0,8.0,1352.0,0.0
MONROE05,426.0,0.0,0.0,5.0,0.0,47.0,1.0,0.0,2.0,0.0,6.0,4.0,1347.0,0.0
MONROE06,241.0,0.0,0.0,1.0,0.0,23.0,2.0,0.0,0.0,0.0,3.0,7.0,1046.0,0.0
MONROE07,367.0,5.0,0.0,3.0,0.0,49.0,2.0,0.0,2.0,0.0,6.0,5.0,1450.0,0.0
MONROE08,98.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0,495.0,0.0
MONROE09,186.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,4.0,849.0,0.0
MONROE10,88.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,483.0,0.0
MONROE11,284.0,1.0,0.0,1.0,0.0,24.0,3.0,0.0,2.0,0.0,3.0,7.0,1618.0,0.0
MONROE12,78.0,0.0,0.0,2.0,0.0,15.0,5.0,0.0,0.0,0.0,1.0,1.0,649.0,0.0
MONROE14,130.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,3.0,790.0,0.0
MONTGOMERYEARLY VOTING - WRITE-INS,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
OVERTONEARLY VOTING - WRITE-INS,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
PUTNAM4B MONTEREY CITY,185.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,7.0,469.0,0.0
PUTNAMEARLY VOTING - WRITE-INS,0.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0
RHEA1-1 SPRING CITY NORTH,213.0,0.0,0.0,6.0,0.0,29.0,2.0,0.0,3.0,0.0,13.0,6.0,869.0,0.0
RHEA2-1 SPRING CITY SOUTH,268.0,2.0,0.0,3.0,0.0,23.0,1.0,0.0,5.0,0.0,2.0,3.0,941.0,0.0
ROBERTSON1-1 EAST ROBERTSON,469.0,0.0,0.0,3.0,0.0,64.0,1.0,0.0,2.0,0.0,6.0,12.0,1732.0,0.0
ROBERTSON2-1 WOODALL,476.0,0.0,0.0,2.0,0.0,93.0,5.0,0.0,1.0,0.0,4.0,16.0,1861.0,0.0
ROBERTSON3-1 EBENEZER,173.0,0.0,0.0,2.0,0.0,26.0,2.0,0.0,2.0,0.0,1.0,4.0,845.0,0.0
ROBERTSON3-2 HERITAGE,195.0,0.0,0.0,1.0,0.0,45.0,1.0,0.0,1.0,0.0,5.0,11.0,1115.0,0.0
ROBERTSON4-1 WATAUGA,527.0,1.0,0.0,4.0,1.0,68.0,0.0,0.0,0.0,0.0,4.0,24.0,1844.0,0.0
ROBERTSON5-1 GREENBRIER,462.0,0.0,0.0,1.0,0.0,54.0,2.0,0.0,4.0,0.0,3.0,10.0,1718.0,0.0
ROBERTSON6-1 COOPERTOWN,307.0,0.0,0.0,1.0,0.0,45.0,1.0,0.0,1.0,0.0,1.0,8.0,1183.0,0.0
ROBERTSON6-2 MT. SHARON,177.0,0.0,0.0,3.0,0.0,25.0,1.0,0.0,0.0,0.0,5.0,3.0,818.0,0.0
ROBERTSON7-1 JO BYRNS,320.0,0.0,0.0,5.0,0.0,43.0,2.0,0.0,1.0,0.0,2.0,5.0,1286.0,0.0
ROBERTSON7-2 STROUDSVILLE,112.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,3.0,488.0,0.0
ROBERTSON8-1 KRISLE,114.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,512.0,0.0
ROBERTSON8-2 HATS,134.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,480.0,0.0
ROBERTSON8-3 OWENS CHAPEL,182.0,0.0,0.0,1.0,0.0,19.0,1.0,0.0,2.0,0.0,2.0,7.0,753.0,0.0
ROBERTSON9-1 FAIR ASSOC.,695.0,0.0,0.0,5.0,1.0,55.0,1.0,0.0,0.0,0.0,4.0,14.0,1317.0,0.0
ROBERTSONEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0
RUTHERFORD1-1,2063.0,0.0,0.0,11.0,0.0,103.0,6.0,0.0,2.0,0.0,11.0,31.0,1311.0,0.0
RUTHERFORD1-10,1107.0,0.0,0.0,6.0,0.0,88.0,2.0,0.0,15.0,0.0,12.0,15.0,1455.0,0.0
RUTHERFORD1-11,799.0,2.0,0.0,1.0,0.0,60.0,4.0,0.0,3.0,0.0,8.0,17.0,1190.0,0.0
RUTHERFORD1-12,465.0,0.0,0.0,3.0,0.0,45.0,0.0,0.0,0.0,0.0,3.0,13.0,639.0,0.0
RUTHERFORD1-13,765.0,1.0,0.0,6.0,0.0,76.0,4.0,0.0,7.0,0.0,2.0,18.0,1226.0,0.0
RUTHERFORD1-14,1098.0,0.0,0.0,3.0,0.0,117.0,4.0,0.0,8.0,0.0,13.0,29.0,2153.0,0.0
RUTHERFORD1-15,934.0,0.0,0.0,1.0,0.0,107.0,1.0,0.0,3.0,0.0,10.0,7.0,1808.0,1.0
RUTHERFORD1-16,1108.0,0.0,0.0,2.0,2.0,117.0,2.0,0.0,5.0,0.0,9.0,44.0,944.0,0.0
RUTHERFORD1-17,971.0,3.0,0.0,2.0,0.0,105.0,1.0,0.0,6.0,0.0,3.0,43.0,743.0,0.0
RUTHERFORD1-18,1189.0,1.0,0.0,8.0,0.0,101.0,3.0,0.0,9.0,0.0,6.0,38.0,777.0,1.0
RUTHERFORD1-19,594.0,0.0,0.0,6.0,0.0,76.0,1.0,0.0,7.0,0.0,10.0,15.0,1574.0,1.0
RUTHERFORD1-2,506.0,0.0,0.0,5.0,0.0,85.0,3.0,0.0,5.0,0.0,3.0,7.0,1832.0,0.0
RUTHERFORD1-20,916.0,0.0,0.0,7.0,0.0,123.0,7.0,0.0,6.0,0.0,11.0,24.0,2546.0,0.0
RUTHERFORD1-21,1227.0,0.0,0.0,5.0,0.0,95.0,4.0,0.0,3.0,0.0,3.0,56.0,762.0,0.0
RUTHERFORD1-3,578.0,0.0,0.0,3.0,0.0,85.0,2.0,0.0,5.0,0.0,6.0,14.0,1872.0,0.0
RUTHERFORD1-4,177.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,1.0,2.0,543.0,0.0
RUTHERFORD1-5,755.0,2.0,0.0,8.0,0.0,88.0,7.0,0.0,6.0,0.0,8.0,22.0,1071.0,0.0
RUTHERFORD1-6,625.0,1.0,0.0,0.0,0.0,90.0,2.0,0.0,4.0,0.0,5.0,20.0,2169.0,1.0
RUTHERFORD1-7,793.0,0.0,0.0,6.0,0.0,110.0,1.0,0.0,9.0,0.0,11.0,18.0,1488.0,0.0
RUTHERFORD1-8,638.0,0.0,0.0,3.0,0.0,91.0,4.0,0.0,13.0,0.0,9.0,14.0,2079.0,0.0
RUTHERFORD1-9,1081.0,3.0,0.0,6.0,0.0,114.0,4.0,0.0,4.0,0.0,17.0,19.0,2152.0,0.0
RUTHERFORD2-10,817.0,0.0,0.0,4.0,0.0,102.0,2.0,0.0,2.0,0.0,7.0,20.0,1566.0,0.0
RUTHERFORD2-11,839.0,0.0,0.0,3.0,0.0,77.0,4.0,0.0,6.0,0.0,9.0,22.0,1296.0,0.0
RUTHERFORD2-12,608.0,1.0,0.0,3.0,0.0,56.0,4.0,0.0,2.0,0.0,8.0,16.0,999.0,0.0
RUTHERFORD2-13,982.0,0.0,0.0,1.0,0.0,119.0,2.0,0.0,7.0,0.0,15.0,19.0,1449.0,0.0
RUTHERFORD2-14,1058.0,1.0,0.0,1.0,0.0,122.0,2.0,0.0,2.0,0.0,14.0,25.0,2446.0,0.0
RUTHERFORD2-15,1157.0,0.0,0.0,4.0,1.0,102.0,2.0,0.0,6.0,0.0,10.0,27.0,1408.0,0.0
RUTHERFORD2-16,210.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,2.0,0.0,1.0,5.0,262.0,0.0
RUTHERFORD2-17,276.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,5.0,107.0,0.0
RUTHERFORD2-18,692.0,0.0,0.0,5.0,0.0,82.0,2.0,0.0,2.0,0.0,2.0,8.0,1320.0,0.0
RUTHERFORD2-19,763.0,0.0,0.0,3.0,0.0,93.0,6.0,0.0,3.0,0.0,4.0,14.0,1512.0,0.0
RUTHERFORD2-2,664.0,0.0,0.0,8.0,0.0,100.0,1.0,0.0,2.0,0.0,8.0,16.0,1949.0,1.0
RUTHERFORD2-20,1178.0,0.0,0.0,3.0,0.0,150.0,8.0,0.0,10.0,0.0,10.0,28.0,2349.0,0.0
RUTHERFORD2-21,779.0,0.0,0.0,3.0,0.0,74.0,3.0,0.0,4.0,0.0,9.0,25.0,1463.0,2.0
RUTHERFORD2-3,715.0,1.0,0.0,4.0,0.0,83.0,1.0,0.0,5.0,0.0,9.0,16.0,1484.0,0.0
RUTHERFORD2-4,463.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,3.0,0.0,4.0,10.0,550.0,0.0
RUTHERFORD2-5,969.0,0.0,0.0,10.0,0.0,62.0,7.0,0.0,1.0,0.0,6.0,20.0,702.0,0.0
RUTHERFORD2-6,824.0,1.0,0.0,2.0,0.0,97.0,8.0,0.0,15.0,0.0,12.0,21.0,1974.0,0.0
RUTHERFORD2-7,1208.0,0.0,0.0,2.0,0.0,138.0,2.0,0.0,4.0,0.0,15.0,27.0,2206.0,2.0
RUTHERFORD2-8,216.0,1.0,0.0,2.0,0.0,27.0,0.0,0.0,5.0,0.0,6.0,9.0,625.0,0.0
RUTHERFORD2-9,723.0,0.0,0.0,5.0,0.0,93.0,2.0,0.0,11.0,0.0,13.0,18.0,2009.0,0.0
RUTHERFORD3-12,357.0,0.0,0.0,4.0,0.0,24.0,2.0,0.0,2.0,0.0,4.0,6.0,336.0,0.0
RUTHERFORD3-16,701.0,0.0,0.0,1.0,0.0,69.0,1.0,0.0,0.0,0.0,4.0,11.0,996.0,0.0
RUTHERFORD3-17,150.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,10.0,45.0,0.0
RUTHERFORD3-2,149.0,0.0,0.0,2.0,0.0,30.0,1.0,0.0,0.0,0.0,4.0,4.0,759.0,0.0
RUTHERFORD3-4,774.0,1.0,0.0,4.0,0.0,95.0,2.0,0.0,3.0,0.0,4.0,20.0,1701.0,0.0
RUTHERFORD3-8,355.0,0.0,0.0,1.0,0.0,54.0,1.0,0.0,4.0,0.0,8.0,2.0,1199.0,0.0
