precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
NEW CASTLE02-27,106,0,79,1,0,31,28,2,70,542,14,33,347,185,132,542,347
NEW CASTLE03-02,175,0,97,0,0,1,6,0,4,156,8,8,23,272,11,156,23
NEW CASTLE03-03,294,5,157,1,1,29,143,2,107,398,6,7,24,456,283,398,24
NEW CASTLE03-04,286,5,182,3,0,13,105,3,66,822,11,54,380,473,190,822,380
NEW CASTLE03-08,150,3,100,1,1,24,24,2,91,611,18,32,387,253,143,611,387
NEW CASTLE03-09,197,0,97,0,3,50,37,4,157,838,27,73,761,294,251,838,761
NEW CASTLE03-11,60,3,76,0,3,56,31,0,137,289,15,53,863,139,227,289,863
NEW CASTLE03-13,60,0,40,1,1,5,0,0,6,263,3,2,36,100,13,263,36
NEW CASTLE03-16,305,3,104,1,1,8,0,0,1,917,10,5,32,412,11,917,32
NEW CASTLE03-19,116,1,101,2,1,22,39,1,79,540,23,38,499,218,144,540,499
NEW CASTLE03-23,380,2,319,4,6,56,147,3,176,568,23,48,349,701,392,568,349
NEW CASTLE03-24,392,7,282,0,4,43,40,3,118,477,12,24,333,681,208,477,333
NEW CASTLE03-25,119,2,154,0,0,21,33,2,67,649,39,52,273,275,123,649,273
NEW CASTLE03-26,163,0,121,1,1,25,24,1,65,529,12,34,241,284,117,529,241
NEW CASTLE03-27,454,6,315,6,4,115,93,3,244,594,14,37,271,775,465,594,271
NEW CASTLE04-01,278,1,140,1,1,3,5,0,4,1011,13,12,45,419,14,1011,45
NEW CASTLE04-02,153,2,93,2,0,17,15,1,18,51,0,1,19,248,53,51,19
NEW CASTLE04-03,194,2,82,1,0,1,3,1,4,819,6,2,37,278,10,819,37
NEW CASTLE04-05,369,2,220,1,2,17,14,2,29,825,19,12,134,591,65,825,134
NEW CASTLE04-06,146,2,137,4,0,31,34,0,55,593,18,36,279,285,124,593,279
NEW CASTLE04-07,244,2,209,1,3,25,34,2,104,1064,28,52,476,455,169,1064,476
NEW CASTLE04-08,187,1,96,3,0,13,10,1,27,773,19,26,190,284,54,773,190
NEW CASTLE04-09,89,2,49,1,0,22,18,2,94,330,8,34,393,140,137,330,393
NEW CASTLE04-10,205,2,158,4,3,28,45,2,90,857,17,44,392,365,172,857,392
NEW CASTLE04-11,72,0,53,1,2,15,15,0,95,299,11,31,428,125,128,299,428
NEW CASTLE04-12,103,1,62,5,3,24,141,2,103,459,7,31,415,166,278,459,415
NEW CASTLE04-13,268,4,277,3,5,55,48,2,136,615,20,40,487,549,249,615,487
NEW CASTLE04-16,103,2,53,0,0,4,5,1,21,389,5,13,158,158,31,389,158
NEW CASTLE04-17,178,1,131,0,3,29,36,1,71,553,12,38,337,310,140,553,337
NEW CASTLE04-18,375,11,219,1,4,55,37,3,106,934,17,32,333,605,206,934,333
NEW CASTLE04-19,139,1,99,3,1,30,27,3,91,629,24,42,468,239,155,629,468
NEW CASTLE04-21,221,1,203,0,2,67,117,5,137,703,19,53,313,425,328,703,313
NEW CASTLE04-22,167,2,89,5,3,62,131,3,170,549,9,53,507,258,374,549,507
NEW CASTLE05-01,341,6,181,2,0,21,33,0,27,987,26,37,169,528,83,987,169
NEW CASTLE05-02,200,6,151,0,1,10,12,1,17,587,6,15,70,357,41,587,70
NEW CASTLE05-06,304,3,195,4,4,39,41,3,68,824,19,34,255,502,159,824,255
NEW CASTLE05-07,122,2,151,1,0,12,20,0,23,488,29,17,113,275,56,488,113
NEW CASTLE05-08,265,1,191,0,2,39,31,3,98,1184,28,63,545,457,173,1184,545
NEW CASTLE05-09,205,8,142,1,5,56,85,6,205,1012,34,88,1145,355,358,1012,1145
NEW CASTLE05-10,315,3,201,3,9,99,211,5,272,637,16,56,492,519,599,637,492
NEW CASTLE05-12,195,2,92,2,2,53,153,2,121,744,14,55,545,289,333,744,545
NEW CASTLE05-13,128,4,105,0,0,22,11,3,38,623,16,39,361,237,74,623,361
NEW CASTLE05-15,451,6,297,1,8,43,36,2,131,1173,24,43,493,754,221,1173,493
NEW CASTLE05-16,351,2,106,0,1,4,0,0,8,1064,19,10,71,459,13,1064,71
NEW CASTLE05-17,119,3,81,1,1,25,20,1,53,489,16,42,331,203,101,489,331
NEW CASTLE05-19,100,4,102,1,1,19,16,1,86,525,16,28,462,206,124,525,462
NEW CASTLE05-21,295,1,255,3,6,85,129,11,225,735,22,53,621,551,459,735,621
NEW CASTLE05-23,118,0,160,1,1,18,27,1,41,688,23,57,191,278,89,688,191
NEW CASTLE05-25,240,5,175,3,1,47,59,3,127,574,12,45,387,420,240,574,387
NEW CASTLE05-26,190,1,166,1,2,23,13,0,48,943,25,34,286,357,87,943,286
NEW CASTLE05-27,311,4,220,1,4,45,49,1,124,745,17,49,511,535,224,745,511
NEW CASTLE06-01,127,1,74,0,0,0,0,0,4,398,6,6,15,202,4,398,15
NEW CASTLE06-02,114,0,76,0,0,6,7,1,10,515,9,19,59,190,24,515,59
NEW CASTLE06-04,186,3,127,1,0,10,46,2,43,688,18,49,216,316,102,688,216
NEW CASTLE06-05,356,3,194,1,1,37,32,0,90,869,8,21,140,553,161,869,140
NEW CASTLE06-07,125,1,100,3,0,20,53,2,57,482,10,35,261,226,135,482,261
NEW CASTLE06-08,149,4,104,2,2,39,30,4,113,655,14,65,644,257,190,655,644
NEW CASTLE06-09,134,5,114,1,2,56,52,2,171,451,20,58,565,253,284,451,565
NEW CASTLE06-12,82,0,39,5,1,29,58,1,57,279,3,23,268,121,151,279,268
NEW CASTLE06-16,172,0,76,0,2,4,7,0,6,680,11,12,66,248,19,680,66
NEW CASTLE06-17,127,4,99,1,3,19,14,0,53,64,4,2,80,230,90,64,80
NEW CASTLE06-18,192,3,133,1,0,16,6,1,37,816,21,36,239,328,61,816,239
NEW CASTLE06-19,25,0,21,0,1,6,5,1,5,143,6,9,48,46,18,143,48
NEW CASTLE06-22,173,3,109,4,6,51,103,1,177,269,10,21,271,285,342,269,271
NEW CASTLE06-24,83,2,92,3,2,21,31,1,73,511,14,51,380,177,131,511,380
NEW CASTLE06-26,385,3,301,0,6,69,50,4,114,732,23,51,396,689,243,732,396
NEW CASTLE07-01,103,0,32,0,0,0,4,2,5,416,1,7,31,135,11,416,31
NEW CASTLE07-02,141,5,125,0,1,12,19,0,55,429,6,14,67,271,87,429,67
NEW CASTLE07-03,234,0,132,0,0,2,7,0,6,1003,15,8,98,366,15,1003,98
NEW CASTLE07-04,195,3,175,1,1,20,38,3,46,734,17,67,247,373,109,734,247
NEW CASTLE07-05,244,1,158,2,4,14,14,1,53,552,6,16,150,403,88,552,150
NEW CASTLE07-06,148,0,94,5,5,28,74,3,89,542,17,39,344,242,204,542,344
NEW CASTLE07-07,332,3,209,2,3,37,59,2,113,718,24,46,353,544,216,718,353
NEW CASTLE07-08,124,0,101,3,1,59,49,2,191,553,18,59,766,225,305,553,766
NEW CASTLE07-10,200,0,127,8,3,59,133,3,137,835,24,57,539,327,343,835,539
NEW CASTLE07-12,91,4,100,2,3,31,70,1,88,492,18,30,417,195,195,492,417
NEW CASTLE07-16,535,2,210,0,1,25,16,0,44,680,6,19,124,747,86,680,124
NEW CASTLE07-17,228,4,160,3,1,23,18,2,49,511,16,24,252,392,96,511,252
NEW CASTLE07-19,181,5,197,1,0,43,40,4,105,403,10,31,312,383,193,403,312
NEW CASTLE07-21,151,3,109,0,2,41,109,1,144,56,3,9,96,263,297,56,96
NEW CASTLE07-22,360,1,280,6,1,59,156,7,247,1035,23,57,612,641,476,1035,612
NEW CASTLE07-23,142,3,77,0,2,27,56,2,75,565,11,35,377,222,162,565,377
NEW CASTLE07-24,168,7,124,2,5,17,25,2,51,818,19,36,255,299,102,818,255
NEW CASTLE07-27,48,1,34,1,1,20,19,6,53,190,4,22,238,83,100,190,238
NEW CASTLE08-01,199,0,107,1,1,13,13,1,24,107,3,7,38,306,53,107,38
NEW CASTLE08-03,362,9,256,0,1,14,11,2,35,696,16,22,256,627,63,696,256
NEW CASTLE08-04,186,3,155,3,5,31,96,2,154,926,27,58,721,344,291,926,721
NEW CASTLE08-05,321,4,151,2,1,34,20,2,79,1117,15,46,442,476,138,1117,442
NEW CASTLE08-07,177,3,116,3,2,31,86,3,120,710,21,39,490,296,245,710,490
NEW CASTLE08-09,280,5,185,2,3,52,56,2,230,1439,34,95,1238,470,345,1439,1238
NEW CASTLE08-12,267,1,199,3,4,77,218,5,239,674,14,45,530,467,546,674,530
NEW CASTLE08-13,158,3,148,2,1,19,8,2,47,812,25,51,363,309,79,812,363
NEW CASTLE08-15,347,4,205,0,3,52,28,9,101,336,15,37,319,556,193,336,319
NEW CASTLE08-17,129,0,49,1,0,9,7,1,25,434,3,10,125,178,43,434,125
NEW CASTLE08-18,237,3,155,1,4,24,33,2,72,687,17,37,215,395,136,687,215
NEW CASTLE08-23,148,1,108,2,2,40,59,1,116,602,22,53,386,257,220,602,386
NEW CASTLE08-24,116,4,96,0,4,27,21,0,58,575,22,57,448,216,110,575,448
NEW CASTLE08-25,306,4,206,3,3,55,50,5,107,325,7,30,178,516,223,325,178
NEW CASTLE09-01,279,0,113,1,1,5,16,0,6,743,6,21,83,392,29,743,83
NEW CASTLE09-04,153,1,125,0,2,9,23,1,17,425,15,24,84,279,52,425,84
NEW CASTLE09-05,373,1,215,0,3,19,13,1,35,717,6,12,104,589,71,717,104
NEW CASTLE09-06,294,3,179,0,1,39,92,7,113,973,26,57,513,476,252,973,513
NEW CASTLE09-09,74,4,72,2,3,33,22,0,115,329,14,28,601,150,175,329,601
NEW CASTLE09-10,125,3,76,1,2,33,58,4,99,512,14,31,401,204,197,512,401
NEW CASTLE09-12,207,2,131,3,3,78,157,3,185,544,14,36,402,340,429,544,402
NEW CASTLE09-13,123,4,132,0,0,17,11,2,49,682,23,23,348,259,79,682,348
NEW CASTLE09-16,246,2,155,2,2,24,27,1,50,151,4,3,99,403,106,151,99
NEW CASTLE09-17,124,2,86,2,0,19,20,0,51,427,13,21,314,212,92,427,314
NEW CASTLE09-24,149,0,190,2,2,37,39,1,114,302,16,35,222,339,195,302,222
NEW CASTLE09-26,253,3,164,1,0,15,6,2,34,1154,22,42,242,420,58,1154,242
NEW CASTLE10-01,304,1,86,0,0,1,1,1,2,1052,12,4,17,391,5,1052,17
NEW CASTLE10-02,130,3,92,1,0,6,5,1,11,656,19,23,74,225,24,656,74
NEW CASTLE10-04,82,2,80,1,0,6,14,0,16,117,3,11,56,164,37,117,56
NEW CASTLE10-06,153,1,108,3,3,47,95,3,97,663,26,47,479,262,248,663,479
NEW CASTLE10-07,217,6,175,2,1,37,15,0,65,905,16,42,354,398,120,905,354
NEW CASTLE10-08,178,1,88,0,3,8,15,1,83,682,12,34,374,267,110,682,374
