county,precinct,office,district,party,candidate,votes
Carter,CARTERTIGER VALLEY,President,,Republican,Donald J. Trump,1043.0
Carter,CARTERCENTRAL,President,,Republican,Donald J. Trump,986.0
Carter,CARTERKEENBURG,President,,Republican,Donald J. Trump,666.0
Carter,CARTERRANGE,President,,Republican,Donald J. Trump,314.0
Carter,CARTERWATAUGA,President,,Republican,Donald J. Trump,190.0
Carter,CARTERCOURTHOUSE,President,,Republican,Donald J. Trump,905.0
Carter,CARTEREASTSIDE,President,,Republican,Donald J. Trump,712.0
Carter,CARTERNATIONAL GUARD,President,,Republican,Donald J. Trump,74.0
Carter,CARTERSIAM,President,,Republican,Donald J. Trump,442.0
Carter,CARTERHAPPY VALLEY,President,,Republican,Donald J. Trump,1778.0
Carter,CARTERELK MILLS,President,,Republican,Donald J. Trump,138.0
Carter,CARTERHAMPTON,President,,Republican,Donald J. Trump,641.0
Carter,CARTERLITTLE MILLIGAN,President,,Republican,Donald J. Trump,230.0
Carter,CARTERVALLEY FORGE,President,,Republican,Donald J. Trump,989.0
Carter,CARTERGAP CREEK,President,,Republican,Donald J. Trump,1254.0
Carter,CARTERWESTSIDE,President,,Republican,Donald J. Trump,1139.0
Carter,CARTERHAROLD MCCORMICK,President,,Republican,Donald J. Trump,535.0
Carter,CARTERHIGH SCHOOL,President,,Republican,Donald J. Trump,1040.0
Carter,CARTEREARLY VOTING - WRITE-INS,President,,Republican,Donald J. Trump,0.0
Cheatham,CHEATHAM1-1 COUNTY LIBRARY,President,,Republican,Donald J. Trump,1444.0
Cheatham,CHEATHAM2-2 EAST CHEATHAM,President,,Republican,Donald J. Trump,1987.0
Cheatham,CHEATHAM3-1 PLEASANT VIEW,President,,Republican,Donald J. Trump,2138.0
Cheatham,CHEATHAM4-1 WEST CHEATHAM,President,,Republican,Donald J. Trump,1134.0
Cheatham,CHEATHAM4-3 SYCAMORE,President,,Republican,Donald J. Trump,848.0
Cheatham,CHEATHAM5-1 GREENBRIER,President,,Republican,Donald J. Trump,526.0
Cheatham,CHEATHAM5-2 PEGRAM,President,,Republican,Donald J. Trump,1281.0
Cheatham,CHEATHAM6-1 HARPETH,President,,Republican,Donald J. Trump,1939.0
Chester,CHESTER1-2 ENVILLE,President,,Republican,Donald J. Trump,380.0
Chester,CHESTER1-5 SWEET LIPS,President,,Republican,Donald J. Trump,296.0
Chester,CHESTER1-6 HARMONY,President,,Republican,Donald J. Trump,208.0
Chester,CHESTER2-1 JACKS CREEK,President,,Republican,Donald J. Trump,372.0
Chester,CHESTER2-2 FRIENDSHIP,President,,Republican,Donald J. Trump,657.0
Chester,CHESTER3-2 MONTEZUMA,President,,Republican,Donald J. Trump,559.0
Chester,CHESTER3-4 MASSEYVILLE,President,,Republican,Donald J. Trump,196.0
Chester,CHESTER3-6 DEANBURG,President,,Republican,Donald J. Trump,223.0
Chester,CHESTER4-1 WEST CHESTER,President,,Republican,Donald J. Trump,512.0
Chester,CHESTER4-1 WEST CHESTER - CITY,President,,Republican,Donald J. Trump,589.0
Chester,CHESTER5-1 EAST CHESTER,President,,Republican,Donald J. Trump,381.0
Chester,CHESTER5-1 EAST CHESTER - CITY,President,,Republican,Donald J. Trump,325.0
Chester,CHESTER6-1 CITY HALL,President,,Republican,Donald J. Trump,383.0
Claiborne,CLAIBORNE1-1 TAZEWELL,President,,Republican,Donald J. Trump,1153.0
Claiborne,CLAIBORNE2-1 CLOUDS,President,,Republican,Donald J. Trump,688.0
Claiborne,CLAIBORNE2-2 GOIN,President,,Republican,Donald J. Trump,361.0
Claiborne,CLAIBORNE2-3 SANDLICK,President,,Republican,Donald J. Trump,381.0
Claiborne,CLAIBORNE3-1 LONE MOUNTAIN,President,,Republican,Donald J. Trump,256.0
Claiborne,CLAIBORNE3-2 NEW TAZEWELL,President,,Republican,Donald J. Trump,940.0
Claiborne,CLAIBORNE4-1 GIBSON HALL,President,,Republican,Donald J. Trump,72.0
Claiborne,CLAIBORNE4-2 HOWARD'S QUARTER,President,,Republican,Donald J. Trump,155.0
Claiborne,CLAIBORNE4-3 LIBERTY,President,,Republican,Donald J. Trump,110.0
Claiborne,CLAIBORNE4-4 SPRINGDALE,President,,Republican,Donald J. Trump,571.0
Claiborne,CLAIBORNE5-1 BIG SPRING UNION,President,,Republican,Donald J. Trump,484.0
Claiborne,CLAIBORNE6-1 HARROGATE,President,,Republican,Donald J. Trump,1116.0
Claiborne,CLAIBORNE7-1 ARTHUR,President,,Republican,Donald J. Trump,1128.0
Claiborne,CLAIBORNE7-2 CUMBERLAND GAP,President,,Republican,Donald J. Trump,98.0
Claiborne,CLAIBORNE8-1 ROGERS MILL,President,,Republican,Donald J. Trump,448.0
Claiborne,CLAIBORNE8-2 VANBEBBER SPRNGS,President,,Republican,Donald J. Trump,500.0
Claiborne,CLAIBORNE9-1 CLAIRFIELD,President,,Republican,Donald J. Trump,141.0
Clay,CLAY1 DENTONS CROSS ROAD,President,,Republican,Donald J. Trump,478.0
Clay,CLAY2 HERMITAGE SPRINGS,President,,Republican,Donald J. Trump,429.0
Clay,CLAY3 CELINA,President,,Republican,Donald J. Trump,305.0
Clay,CLAY4-1 MAPLE GROVE,President,,Republican,Donald J. Trump,185.0
Clay,CLAY4-2 BUTLERS LANDING,President,,Republican,Donald J. Trump,327.0
Clay,CLAY5-1 BEECH BETHANY,President,,Republican,Donald J. Trump,220.0
Clay,CLAY5-2 PEA RIDGE,President,,Republican,Donald J. Trump,197.0
Cocke,COCKEDEL RIO,President,,Republican,Donald J. Trump,466.0
Cocke,COCKEGRASSY FORK,President,,Republican,Donald J. Trump,303.0
Cocke,COCKEEDWINA,President,,Republican,Donald J. Trump,907.0
Cocke,COCKEBRIDGEPORT,President,,Republican,Donald J. Trump,397.0
Cocke,COCKELONG CREEK,President,,Republican,Donald J. Trump,428.0
Cocke,COCKEHOUSTON VALLEY,President,,Republican,Donald J. Trump,51.0
Cocke,COCKEPARROTTSVILLE,President,,Republican,Donald J. Trump,739.0
Cocke,COCKECENTERVIEW,President,,Republican,Donald J. Trump,886.0
Cocke,COCKEFOREST HILL,President,,Republican,Donald J. Trump,503.0
Cocke,COCKERANKIN,President,,Republican,Donald J. Trump,193.0
Cocke,COCKEARMORY,President,,Republican,Donald J. Trump,419.0
Cocke,COCKEEDGEMONT,President,,Republican,Donald J. Trump,483.0
Cocke,COCKECOCKE COUNTY HIGH,President,,Republican,Donald J. Trump,387.0
Cocke,COCKECOSBY,President,,Republican,Donald J. Trump,949.0
Cocke,COCKESMOKY MOUNTAIN,President,,Republican,Donald J. Trump,526.0
Cocke,COCKENEWPORT GRAMMAR,President,,Republican,Donald J. Trump,680.0
Cocke,COCKECENTRAL,President,,Republican,Donald J. Trump,444.0
Cocke,COCKENORTHPORT,President,,Republican,Donald J. Trump,543.0
Cocke,COCKEWEST END,President,,Republican,Donald J. Trump,487.0
Coffee,COFFEE1 ADA WRIGHT CC,President,,Republican,Donald J. Trump,639.0
Coffee,COFFEE2 ST PAUL,President,,Republican,Donald J. Trump,336.0
Coffee,COFFEE3 TRINITY,President,,Republican,Donald J. Trump,778.0
Coffee,COFFEE4 FIRST BAPTIST,President,,Republican,Donald J. Trump,661.0
Coffee,COFFEE5 HILLSBORO,President,,Republican,Donald J. Trump,723.0
Coffee,COFFEE6 TN VOCATIONAL CENTER,President,,Republican,Donald J. Trump,589.0
Coffee,COFFEE7 FOREST MILL,President,,Republican,Donald J. Trump,732.0
Coffee,COFFEE8 NEW UNION,President,,Republican,Donald J. Trump,885.0
Coffee,COFFEE9-1 POCAHONTAS,President,,Republican,Donald J. Trump,482.0
Coffee,COFFEE9-2 SUMMITVILLE,President,,Republican,Donald J. Trump,242.0
Coffee,COFFEE10 MT. ARARAT,President,,Republican,Donald J. Trump,652.0
Coffee,COFFEE11 FREDONIA,President,,Republican,Donald J. Trump,668.0
Coffee,COFFEE12 NORTH COFFEE,President,,Republican,Donald J. Trump,821.0
Coffee,COFFEE13-1 BLANTON'S CHAPEL,President,,Republican,Donald J. Trump,506.0
Coffee,COFFEE13-2 GRACE BAPTIST,President,,Republican,Donald J. Trump,434.0
Coffee,COFFEE14 HICKERSON,President,,Republican,Donald J. Trump,822.0
Coffee,COFFEE15 GRACE BAPTIST,President,,Republican,Donald J. Trump,897.0
Coffee,COFFEE16 LION'S CLUB,President,,Republican,Donald J. Trump,983.0
Coffee,COFFEE17 NATIONAL GUARD ARMORY,President,,Republican,Donald J. Trump,285.0
Coffee,COFFEE18 FIRST CHRISTIAN,President,,Republican,Donald J. Trump,614.0
Coffee,COFFEE19 CD STAMPS CENTER,President,,Republican,Donald J. Trump,353.0
Coffee,COFFEE20 SR CITIZENS CENTER,President,,Republican,Donald J. Trump,647.0
Coffee,COFFEE21 WILSON AVE,President,,Republican,Donald J. Trump,668.0
Crockett,CROCKETT01,President,,Republican,Donald J. Trump,350.0
Crockett,CROCKETT02,President,,Republican,Donald J. Trump,384.0
Crockett,CROCKETT03,President,,Republican,Donald J. Trump,332.0
Crockett,CROCKETT04,President,,Republican,Donald J. Trump,365.0
Crockett,CROCKETT05,President,,Republican,Donald J. Trump,156.0
Crockett,CROCKETT06,President,,Republican,Donald J. Trump,403.0
Crockett,CROCKETT07,President,,Republican,Donald J. Trump,244.0
Crockett,CROCKETT08,President,,Republican,Donald J. Trump,427.0
Crockett,CROCKETT09,President,,Republican,Donald J. Trump,323.0
Crockett,CROCKETT10,President,,Republican,Donald J. Trump,195.0
Crockett,CROCKETT11,President,,Republican,Donald J. Trump,381.0
Crockett,CROCKETT12,President,,Republican,Donald J. Trump,422.0
Cumberland,CUMBERLAND1 CORNERSTONE,President,,Republican,Donald J. Trump,1957.0
Cumberland,CUMBERLAND2 COMPLEX 2,President,,Republican,Donald J. Trump,1222.0
Cumberland,CUMBERLAND3 HOMESTEAD,President,,Republican,Donald J. Trump,849.0
Cumberland,CUMBERLAND3 DORTON,President,,Republican,Donald J. Trump,321.0
Cumberland,CUMBERLAND3 LINARY,President,,Republican,Donald J. Trump,623.0
Cumberland,CUMBERLAND3 BIG LICK,President,,Republican,Donald J. Trump,523.0
Cumberland,CUMBERLAND4 TABOR,President,,Republican,Donald J. Trump,710.0
Cumberland,CUMBERLAND4 BAKERS,President,,Republican,Donald J. Trump,542.0
Cumberland,CUMBERLAND4 OAK HILL,President,,Republican,Donald J. Trump,963.0
Cumberland,CUMBERLAND5 LANTANA,President,,Republican,Donald J. Trump,587.0
Cumberland,CUMBERLAND5 VANDEVER,President,,Republican,Donald J. Trump,648.0
Cumberland,CUMBERLAND5 TANSI,President,,Republican,Donald J. Trump,1384.0
Cumberland,CUMBERLAND6 CRAB ORCHARD,President,,Republican,Donald J. Trump,384.0
Cumberland,CUMBERLAND6 CHESTNUT HILL,President,,Republican,Donald J. Trump,702.0
Cumberland,CUMBERLAND6 OZONE-PINEVIEW,President,,Republican,Donald J. Trump,488.0
Cumberland,CUMBERLAND6 GRASSY COVE,President,,Republican,Donald J. Trump,309.0
Cumberland,CUMBERLAND7 RINNIE,President,,Republican,Donald J. Trump,385.0
Cumberland,CUMBERLAND7 WOODY,President,,Republican,Donald J. Trump,897.0
Cumberland,CUMBERLAND7 MAYLAND,President,,Republican,Donald J. Trump,820.0
Cumberland,CUMBERLAND8 PLEASANT HILL,President,,Republican,Donald J. Trump,621.0
Cumberland,CUMBERLAND8 POMONA,President,,Republican,Donald J. Trump,1086.0
Cumberland,CUMBERLAND8 MIDWAY,President,,Republican,Donald J. Trump,219.0
Cumberland,CUMBERLAND9 FAIRFIELD NORTH,President,,Republican,Donald J. Trump,1978.0
Cumberland,CUMBERLAND9 FAIRFIELD SOUTH,President,,Republican,Donald J. Trump,2195.0
Cumberland,CUMBERLANDEARLY VOTING - WRITE-INS,President,,Republican,Donald J. Trump,0.0
Davidson,DAVIDSON1-01,President,,Republican,Donald J. Trump,1436.0
Davidson,DAVIDSON2-01,President,,Republican,Donald J. Trump,302.0
Davidson,DAVIDSON3-01,President,,Republican,Donald J. Trump,289.0
Davidson,DAVIDSON4-01,President,,Republican,Donald J. Trump,209.0
Davidson,DAVIDSON5-01,President,,Republican,Donald J. Trump,33.0
Davidson,DAVIDSON1-02,President,,Republican,Donald J. Trump,36.0
Davidson,DAVIDSON2-02,President,,Republican,Donald J. Trump,91.0
Davidson,DAVIDSON3-02,President,,Republican,Donald J. Trump,44.0
Davidson,DAVIDSON4-02,President,,Republican,Donald J. Trump,52.0
Davidson,DAVIDSON5-02,President,,Republican,Donald J. Trump,87.0
Davidson,DAVIDSON1-03,President,,Republican,Donald J. Trump,627.0
Davidson,DAVIDSON2-03,President,,Republican,Donald J. Trump,106.0
Davidson,DAVIDSON3-03,President,,Republican,Donald J. Trump,126.0
Davidson,DAVIDSON4-03,President,,Republican,Donald J. Trump,569.0
Davidson,DAVIDSON5-03,President,,Republican,Donald J. Trump,103.0
Davidson,DAVIDSON6-03,President,,Republican,Donald J. Trump,218.0
Davidson,DAVIDSON1-04,President,,Republican,Donald J. Trump,1966.0
Davidson,DAVIDSON2-04,President,,Republican,Donald J. Trump,439.0
Davidson,DAVIDSON3-04,President,,Republican,Donald J. Trump,700.0
Davidson,DAVIDSON4-04,President,,Republican,Donald J. Trump,1671.0
Davidson,DAVIDSON1-05,President,,Republican,Donald J. Trump,122.0
Davidson,DAVIDSON2-05,President,,Republican,Donald J. Trump,190.0
Davidson,DAVIDSON3-05,President,,Republican,Donald J. Trump,110.0
Davidson,DAVIDSON4-05,President,,Republican,Donald J. Trump,39.0
Davidson,DAVIDSON5-05,President,,Republican,Donald J. Trump,126.0
Davidson,DAVIDSON1-06,President,,Republican,Donald J. Trump,161.0
Davidson,DAVIDSON2-06,President,,Republican,Donald J. Trump,323.0
Davidson,DAVIDSON3-06,President,,Republican,Donald J. Trump,116.0
Davidson,DAVIDSON4-06,President,,Republican,Donald J. Trump,348.0
Davidson,DAVIDSON5-06,President,,Republican,Donald J. Trump,185.0
Davidson,DAVIDSON1-07,President,,Republican,Donald J. Trump,283.0
Davidson,DAVIDSON2-07,President,,Republican,Donald J. Trump,313.0
Davidson,DAVIDSON3-07,President,,Republican,Donald J. Trump,137.0
