county,precinct,office,district,party,candidate,votes
Adams,4255601247,President,,Veterans Party of America,Chris Keniston / Deacon Taylor,3
Adams,4255601247,President,,Socialist Workers Party,Alyson Kennedy / Osborne Hart,0
Adams,4255601247,President,,Independent American Party,Kyle Kenley Kopitke / Nathan R. Sorenson,1
Adams,4255601247,President,,Kotlikoff for President,Laurence Kotlikoff / Edward Leamer,0
Adams,4255601247,President,,Socialism and Liberation,Gloria Estela La Riva / Dennis J. Banks,0
Adams,4255601247,President,,Nonviolent Resistance/Pacifist,Bradford Lyttle / Hannah Walsh,0
Adams,4255601247,President,,Independent People of Colorado,Joseph Allen Maldonado / Douglas K. Terranova,0
Adams,4255601247,President,,American Solidarity Party,Michael A. Maturen / Juan Munoz,0
Adams,4255601247,President,,Unaffiliated,Evan McMullin / Nathan Johnson,10
Adams,4255601247,President,,Unaffiliated,Ryan Alan Scott / Bruce Kendall Barnard,2
Adams,4255601247,President,,Nutrition Party,Rod Silva / Richard C. Silva,0
Adams,4255601247,President,,Unaffiliated,Mike Smith / Daniel White,0
Adams,4255601247,President,,Socialist Party USA,Emidio Soltysik / Angela Nicole Walker,0
Adams,4255601247,President,,Green / Democratic,Bruce Lohmiller / J.R. Smith,0
Adams,4255601247,President,,Unaffiliated / Libertarian,Thomas J. Nieman / Bernie Jackson,0
Adams,4255601247,President,,Unaffiliated / Republican,Corey Sterner / Jeff Ryan,0
Adams,4255601247,President,,Republican Party,"David Perry / Eric ""Rick"" Seiley",0
Adams,4255601247,President,,Unaffiliated,Brian Anthony Perry / Michael Byron Nelson,0
Adams,4255601247,President,,Unaffiliated,Cherunda Fox / Roger Kushner,0
Adams,4255601247,U.S. Senate,,Democratic Party,Michael Bennet,183
Adams,4255601247,U.S. Senate,,Republican Party,Darryl Glenn,593
Adams,4255601247,U.S. Senate,,Libertarian Party,Lily Tang Williams,18
Adams,4255601247,U.S. Senate,,Green Party,Arn Menconi,2
Adams,4255601247,U.S. Senate,,Unity Party of Colorado,Bill Hammons,3
Adams,4255601247,U.S. Senate,,Unaffiliated,Dan Chapin,4
Adams,4255601247,U.S. Senate,,Unaffiliated,Paul Noel Fiorino,1
Adams,4255601247,U.S. Senate,,Unaffiliated,Don Willoughby,0
Adams,4255601247,U.S. House,4,Democratic Party,Bob Seay,137
Adams,4255601247,U.S. House,4,Republican Party,Ken Buck,625
Adams,4255601247,U.S. House,4,Libertarian Party,Bruce Griffith,32
Adams,4255601247,U.S. House,4,Republican Party,Donald Howbert,0
Adams,4255601247,State Senate,25,Democratic Party,Jenise May,158
Adams,4255601247,State Senate,25,Republican Party,Kevin Priola,636
Adams,4255601247,State Representative,56,Democratic Party,Matt Snider,154
Adams,4255601247,State Representative,56,Republican Party,Phil Covarrubias,574
Adams,4255601247,State Representative,56,Libertarian Party,Kevin Gulbranson,47
Adams,4255601247,District Attorney,17,Democratic Party,Dave Young,197
Adams,4255601247,District Attorney,17,Republican Party,Molly Falk Jansen,565
Adams,4255601247,Supreme Court,,,William Hood,0
Adams,4255601247,Court of Appeals,,,Karen M. Ashby,0
Adams,4255601247,Court of Appeals,,,Michael H. Berger,0
Adams,4255601247,Court of Appeals,,,Steven L. Bernard,0
Adams,4255601247,Court of Appeals,,,Stephanie E. Dunn,0
Adams,4255601247,Court of Appeals,,,David Furman,0
Adams,4255601247,Court of Appeals,,,Robert D. Hawthorne,0
Adams,4255601247,Court of Appeals,,,Jerry N. Jones,0
Adams,4255601247,Court of Appeals,,,Anthony J. Navarro,0
Adams,4255601247,Court of Appeals,,,Gilbert M. Rom�n,0
Adams,4255601247,Court of Appeals,,,Diana Terry,0
Adams,4255601248,President,,Democratic Party,Hillary Clinton / Tim Kaine,320
Adams,4255601248,President,,Republican Party,Donald J. Trump / Michael R. Pence,1212
Adams,4255601248,President,,American Constitution Party,Darrell L. Castle / Scott N. Bradley,8
Adams,4255601248,President,,Libertarian Party,Gary Johnson / Bill Weld,86
Adams,4255601248,President,,Green Party,Jill Stein / Ajamu Baraka,15
Adams,4255601248,President,,Approval Voting Party,Frank Atwood / Blake Huber,1
Adams,4255601248,President,,American Delta Party,"""Rocky"" Roque De La Fuente / Michael Steinberg",1
Adams,4255601248,President,,Prohibition Party,James Hedges / Bill Bayes,0
Adams,4255601248,President,,America's Party,Tom Hoefling / Steve Schulin,0
Adams,4255601248,President,,Veterans Party of America,Chris Keniston / Deacon Taylor,3
Adams,4255601248,President,,Socialist Workers Party,Alyson Kennedy / Osborne Hart,2
Adams,4255601248,President,,Independent American Party,Kyle Kenley Kopitke / Nathan R. Sorenson,1
Adams,4255601248,President,,Kotlikoff for President,Laurence Kotlikoff / Edward Leamer,0
Adams,4255601248,President,,Socialism and Liberation,Gloria Estela La Riva / Dennis J. Banks,1
Adams,4255601248,President,,Nonviolent Resistance/Pacifist,Bradford Lyttle / Hannah Walsh,0
Adams,4255601248,President,,Independent People of Colorado,Joseph Allen Maldonado / Douglas K. Terranova,1
Adams,4255601248,President,,American Solidarity Party,Michael A. Maturen / Juan Munoz,0
Adams,4255601248,President,,Unaffiliated,Evan McMullin / Nathan Johnson,20
Adams,4255601248,President,,Unaffiliated,Ryan Alan Scott / Bruce Kendall Barnard,0
Adams,4255601248,President,,Nutrition Party,Rod Silva / Richard C. Silva,0
Adams,4255601248,President,,Unaffiliated,Mike Smith / Daniel White,3
Adams,4255601248,President,,Socialist Party USA,Emidio Soltysik / Angela Nicole Walker,0
Adams,4255601248,President,,Green / Democratic,Bruce Lohmiller / J.R. Smith,1
Adams,4255601248,President,,Unaffiliated / Libertarian,Thomas J. Nieman / Bernie Jackson,0
Adams,4255601248,President,,Unaffiliated / Republican,Corey Sterner / Jeff Ryan,0
Adams,4255601248,President,,Republican Party,"David Perry / Eric ""Rick"" Seiley",0
Adams,4255601248,President,,Unaffiliated,Brian Anthony Perry / Michael Byron Nelson,0
Adams,4255601248,President,,Unaffiliated,Cherunda Fox / Roger Kushner,0
Adams,4255601248,U.S. Senate,,Democratic Party,Michael Bennet,408
Adams,4255601248,U.S. Senate,,Republican Party,Darryl Glenn,1104
Adams,4255601248,U.S. Senate,,Libertarian Party,Lily Tang Williams,73
Adams,4255601248,U.S. Senate,,Green Party,Arn Menconi,4
Adams,4255601248,U.S. Senate,,Unity Party of Colorado,Bill Hammons,13
Adams,4255601248,U.S. Senate,,Unaffiliated,Dan Chapin,3
Adams,4255601248,U.S. Senate,,Unaffiliated,Paul Noel Fiorino,1
Adams,4255601248,U.S. Senate,,Unaffiliated,Don Willoughby,0
Adams,4255601248,U.S. House,4,Democratic Party,Bob Seay,312
Adams,4255601248,U.S. House,4,Republican Party,Ken Buck,1190
Adams,4255601248,U.S. House,4,Libertarian Party,Bruce Griffith,86
Adams,4255601248,U.S. House,4,Republican Party,Donald Howbert,0
Adams,4255601248,State Senate,25,Democratic Party,Jenise May,358
Adams,4255601248,State Senate,25,Republican Party,Kevin Priola,1231
Adams,4255601248,State Representative,56,Democratic Party,Matt Snider,357
Adams,4255601248,State Representative,56,Republican Party,Phil Covarrubias,1080
Adams,4255601248,State Representative,56,Libertarian Party,Kevin Gulbranson,129
Adams,4255601248,District Attorney,17,Democratic Party,Dave Young,405
Adams,4255601248,District Attorney,17,Republican Party,Molly Falk Jansen,1129
Adams,4255601248,Supreme Court,,,William Hood,0
Adams,4255601248,Court of Appeals,,,Karen M. Ashby,0
Adams,4255601248,Court of Appeals,,,Michael H. Berger,0
Adams,4255601248,Court of Appeals,,,Steven L. Bernard,0
Adams,4255601248,Court of Appeals,,,Stephanie E. Dunn,0
Adams,4255601248,Court of Appeals,,,David Furman,0
Adams,4255601248,Court of Appeals,,,Robert D. Hawthorne,0
Adams,4255601248,Court of Appeals,,,Jerry N. Jones,0
Adams,4255601248,Court of Appeals,,,Anthony J. Navarro,0
Adams,4255601248,Court of Appeals,,,Gilbert M. Rom�n,0
Adams,4255601248,Court of Appeals,,,Diana Terry,0
Adams,4255601249,President,,Democratic Party,Hillary Clinton / Tim Kaine,46
Adams,4255601249,President,,Republican Party,Donald J. Trump / Michael R. Pence,240
Adams,4255601249,President,,American Constitution Party,Darrell L. Castle / Scott N. Bradley,4
Adams,4255601249,President,,Libertarian Party,Gary Johnson / Bill Weld,3
Adams,4255601249,President,,Green Party,Jill Stein / Ajamu Baraka,2
Adams,4255601249,President,,Approval Voting Party,Frank Atwood / Blake Huber,1
Adams,4255601249,President,,American Delta Party,"""Rocky"" Roque De La Fuente / Michael Steinberg",0
Adams,4255601249,President,,Prohibition Party,James Hedges / Bill Bayes,0
Adams,4255601249,President,,America's Party,Tom Hoefling / Steve Schulin,1
Adams,4255601249,President,,Veterans Party of America,Chris Keniston / Deacon Taylor,1
Adams,4255601249,President,,Socialist Workers Party,Alyson Kennedy / Osborne Hart,0
Adams,4255601249,President,,Independent American Party,Kyle Kenley Kopitke / Nathan R. Sorenson,0
Adams,4255601249,President,,Kotlikoff for President,Laurence Kotlikoff / Edward Leamer,0
Adams,4255601249,President,,Socialism and Liberation,Gloria Estela La Riva / Dennis J. Banks,0
Adams,4255601249,President,,Nonviolent Resistance/Pacifist,Bradford Lyttle / Hannah Walsh,0
Adams,4255601249,President,,Independent People of Colorado,Joseph Allen Maldonado / Douglas K. Terranova,0
Adams,4255601249,President,,American Solidarity Party,Michael A. Maturen / Juan Munoz,0
Adams,4255601249,President,,Unaffiliated,Evan McMullin / Nathan Johnson,6
Adams,4255601249,President,,Unaffiliated,Ryan Alan Scott / Bruce Kendall Barnard,0
Adams,4255601249,President,,Nutrition Party,Rod Silva / Richard C. Silva,0
Adams,4255601249,President,,Unaffiliated,Mike Smith / Daniel White,0
Adams,4255601249,President,,Socialist Party USA,Emidio Soltysik / Angela Nicole Walker,0
Adams,4255601249,President,,Green / Democratic,Bruce Lohmiller / J.R. Smith,0
Adams,4255601249,President,,Unaffiliated / Libertarian,Thomas J. Nieman / Bernie Jackson,0
Adams,4255601249,President,,Unaffiliated / Republican,Corey Sterner / Jeff Ryan,0
Adams,4255601249,President,,Republican Party,"David Perry / Eric ""Rick"" Seiley",0
Adams,4255601249,President,,Unaffiliated,Brian Anthony Perry / Michael Byron Nelson,0
Adams,4255601249,President,,Unaffiliated,Cherunda Fox / Roger Kushner,0
Adams,4255601249,U.S. Senate,,Democratic Party,Michael Bennet,52
Adams,4255601249,U.S. Senate,,Republican Party,Darryl Glenn,240
Adams,4255601249,U.S. Senate,,Libertarian Party,Lily Tang Williams,5
Adams,4255601249,U.S. Senate,,Green Party,Arn Menconi,0
Adams,4255601249,U.S. Senate,,Unity Party of Colorado,Bill Hammons,1
Adams,4255601249,U.S. Senate,,Unaffiliated,Dan Chapin,0
Adams,4255601249,U.S. Senate,,Unaffiliated,Paul Noel Fiorino,1
Adams,4255601249,U.S. Senate,,Unaffiliated,Don Willoughby,0
Adams,4255601249,U.S. House,4,Democratic Party,Bob Seay,43
Adams,4255601249,U.S. House,4,Republican Party,Ken Buck,249
Adams,4255601249,U.S. House,4,Libertarian Party,Bruce Griffith,10
Adams,4255601249,U.S. House,4,Republican Party,Donald Howbert,0
Adams,4255601249,State Senate,25,Democratic Party,Jenise May,47
Adams,4255601249,State Senate,25,Republican Party,Kevin Priola,258
Adams,4255601249,State Representative,56,Democratic Party,Matt Snider,49
Adams,4255601249,State Representative,56,Republican Party,Phil Covarrubias,242
Adams,4255601249,State Representative,56,Libertarian Party,Kevin Gulbranson,12
Adams,4255601249,District Attorney,17,Democratic Party,Dave Young,56
Adams,4255601249,District Attorney,17,Republican Party,Molly Falk Jansen,239
Adams,4255601249,Supreme Court,,,William Hood,0
Adams,4255601249,Court of Appeals,,,Karen M. Ashby,0
Adams,4255601249,Court of Appeals,,,Michael H. Berger,0
Adams,4255601249,Court of Appeals,,,Steven L. Bernard,0
Adams,4255601249,Court of Appeals,,,Stephanie E. Dunn,0
Adams,4255601249,Court of Appeals,,,David Furman,0
Adams,4255601249,Court of Appeals,,,Robert D. Hawthorne,0
Adams,4255601249,Court of Appeals,,,Jerry N. Jones,0
Adams,4255601249,Court of Appeals,,,Anthony J. Navarro,0
Adams,4255601249,Court of Appeals,,,Gilbert M. Rom�n,0
Adams,4255601249,Court of Appeals,,,Diana Terry,0
Adams,6243101150,President,,Democratic Party,Hillary Clinton / Tim Kaine,606
Adams,6243101150,President,,Republican Party,Donald J. Trump / Michael R. Pence,559
Adams,6243101150,President,,American Constitution Party,Darrell L. Castle / Scott N. Bradley,6
Adams,6243101150,President,,Libertarian Party,Gary Johnson / Bill Weld,77
Adams,6243101150,President,,Green Party,Jill Stein / Ajamu Baraka,12
Adams,6243101150,President,,Approval Voting Party,Frank Atwood / Blake Huber,0
Adams,6243101150,President,,American Delta Party,"""Rocky"" Roque De La Fuente / Michael Steinberg",1
Adams,6243101150,President,,Prohibition Party,James Hedges / Bill Bayes,0
Adams,6243101150,President,,America's Party,Tom Hoefling / Steve Schulin,1
Adams,6243101150,President,,Veterans Party of America,Chris Keniston / Deacon Taylor,4
Adams,6243101150,President,,Socialist Workers Party,Alyson Kennedy / Osborne Hart,0
Adams,6243101150,President,,Independent American Party,Kyle Kenley Kopitke / Nathan R. Sorenson,0
Adams,6243101150,President,,Kotlikoff for President,Laurence Kotlikoff / Edward Leamer,0
Adams,6243101150,President,,Socialism and Liberation,Gloria Estela La Riva / Dennis J. Banks,0
Adams,6243101150,President,,Nonviolent Resistance/Pacifist,Bradford Lyttle / Hannah Walsh,0
Adams,6243101150,President,,Independent People of Colorado,Joseph Allen Maldonado / Douglas K. Terranova,0
Adams,6243101150,President,,American Solidarity Party,Michael A. Maturen / Juan Munoz,0
Adams,6243101150,President,,Unaffiliated,Evan McMullin / Nathan Johnson,17
Adams,6243101150,President,,Unaffiliated,Ryan Alan Scott / Bruce Kendall Barnard,1
Adams,6243101150,President,,Nutrition Party,Rod Silva / Richard C. Silva,1
Adams,6243101150,President,,Unaffiliated,Mike Smith / Daniel White,0
Adams,6243101150,President,,Socialist Party USA,Emidio Soltysik / Angela Nicole Walker,0
Adams,6243101150,President,,Green / Democratic,Bruce Lohmiller / J.R. Smith,0
