precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
DEWEYPRECINCT-12 EAGLE BUTTE NORTH (PRECINCT-13 EAGLE BUTTE NORTH),3.0,143.0,7.0,76.0
DEWEYPRECINCT-14 EAGLE BUTTE SOUTH,3.0,199.0,13.0,67.0
DEWEYPRECINCT-15 EAGLE BUTTE WEST,2.0,83.0,4.0,63.0
DEWEYTOTAL,26.0,888.0,71.0,723.0
DOUGLAS1,2.0,27.0,6.0,341.0
DOUGLAS2,1.0,51.0,5.0,252.0
DOUGLAS3,3.0,38.0,10.0,225.0
DOUGLAS4,3.0,69.0,13.0,245.0
DOUGLAS5,3.0,29.0,7.0,275.0
DOUGLASTOTAL,12.0,214.0,41.0,1338.0
EDMUNDSBOWDLE AREA,4.0,53.0,12.0,295.0
EDMUNDSHOSMER AREA,0.0,39.0,8.0,111.0
EDMUNDSIPSWICH CITY,7.0,84.0,17.0,282.0
EDMUNDSIPSWICH RURAL,3.0,48.0,9.0,241.0
EDMUNDSMINA AREA,2.0,98.0,15.0,321.0
EDMUNDSROSCOE AREA,3.0,58.0,25.0,183.0
EDMUNDSTOTAL,19.0,380.0,86.0,1433.0
FALL RIVERBEAVER,0.0,9.0,7.0,122.0
FALL RIVERCASCADE,5.0,33.0,3.0,123.0
FALL RIVEREDGEMONT AREA,7.0,82.0,29.0,413.0
FALL RIVERHOT SPRINGS 1,12.0,121.0,25.0,270.0
FALL RIVERHOT SPRINGS 2,7.0,135.0,17.0,294.0
FALL RIVERHOT SPRINGS 3,4.0,142.0,29.0,253.0
FALL RIVERHOT SPRINGS 4,8.0,97.0,21.0,201.0
FALL RIVERJACKSON,18.0,189.0,32.0,658.0
FALL RIVEROELRICHS AREA,4.0,13.0,3.0,177.0
FALL RIVERTOTAL,65.0,821.0,166.0,2511.0
FAULK1,3.0,38.0,10.0,139.0
FAULK2,0.0,8.0,1.0,81.0
FAULK3,1.0,23.0,4.0,109.0
FAULK4,1.0,18.0,2.0,74.0
FAULK5,0.0,16.0,4.0,83.0
FAULK6,3.0,36.0,15.0,182.0
FAULK7,3.0,65.0,9.0,190.0
FAULKTOTAL,11.0,204.0,45.0,858.0
GRANT11,1.0,97.0,12.0,213.0
GRANT12,0.0,19.0,3.0,52.0
GRANT21,2.0,31.0,6.0,68.0
GRANT22,3.0,97.0,28.0,253.0
GRANT31,2.0,29.0,4.0,41.0
GRANT32,1.0,36.0,2.0,71.0
GRANT33,4.0,134.0,23.0,259.0
GRANT41,1.0,83.0,15.0,146.0
GRANT42,3.0,76.0,9.0,206.0
GRANT43,6.0,101.0,25.0,285.0
