precinct,pri_dem_CLINTON,pri_dem_SANDERS,gen_con_CASTLE,gen_dem_CLINTON,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
CLARK1318,5,6,4,620,0,33,304,11,961
CLARK1327,7,8,2,744,6,55,414,15,1221
CLARK1328,5,6,4,616,5,28,355,11,1008
CLARK1330,6,7,1,595,0,34,667,13,1297
CLARK1331,6,9,2,586,3,29,406,15,1026
CLARK1332,2,3,2,262,1,11,188,5,464
CLARK1333,6,3,3,432,2,22,425,9,884
CLARK1334,5,7,3,622,2,33,477,12,1137
CLARK1335,6,5,5,566,4,34,504,11,1113
CLARK1336,3,5,4,428,1,22,305,8,760
CLARK1337,8,6,6,645,3,35,449,14,1138
CLARK1340,6,9,3,744,3,50,417,15,1217
CLARK1341,5,7,4,590,5,42,392,12,1033
CLARK1342,5,4,1,462,2,36,359,9,860
CLARK1343,2,4,2,296,0,18,390,6,706
CLARK1344,2,4,0,282,0,14,216,6,512
CLARK1345,3,2,4,275,1,17,195,5,492
CLARK1346,5,5,3,494,4,28,541,10,1070
CLARK1348,4,7,4,557,4,25,411,11,1001
CLARK1349,4,7,0,570,5,47,337,11,959
CLARK1351,5,7,2,577,2,29,291,12,901
CLARK1352,5,6,11,500,3,27,346,11,887
CLARK1353,4,10,8,699,0,35,396,14,1138
CLARK1354,4,3,3,349,0,24,216,7,592
CLARK1356,7,6,7,644,1,30,426,13,1108
CLARK1365,0,0,0,0,0,0,0,0,0
CLARK1367,7,8,7,753,5,50,443,15,1258
CLARK1368,4,11,6,706,3,57,445,15,1217
CLARK1371,0,0,0,0,0,0,0,0,0
CLARK1374,0,0,0,0,0,0,0,0,0
CLARK1377,0,0,0,0,0,0,0,0,0
CLARK1381,0,0,0,0,0,0,0,0,0
CLARK1384,0,1,2,130,0,7,116,1,255
CLARK1386,0,0,0,0,0,0,0,0,0
