precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_WRITE-INS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PLEDGE,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,gen_total,rep_pri_total,dem_pri_total
MOBILE_PLATEAU COMMUNITY CENTER #2,413,2,0,1,4,0,177,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,420,1,191
MOBILE_PRICHARD COMMUNITY CENTER #1,542,0,0,1,6,0,262,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,549,5,275
MOBILE_PRICHARD COMMUNITY CENTER #2,425,0,0,0,6,0,217,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,431,2,238
MOBILE_RIVERSIDE BAPTIST CHURCH #1,486,5,0,11,366,0,314,0,1,47,3,15,1,59,0,0,1,13,0,0,70,1,188,9,0,868,360,362
MOBILE_RIVERSIDE BAPTIST CHURCH #2,361,6,0,11,241,0,211,0,0,45,1,24,0,37,0,0,0,9,0,0,49,1,160,5,0,619,286,256
MOBILE_RIVERSIDE BAPTIST CHURCH #3,749,2,0,19,500,0,213,0,0,40,3,17,0,48,0,1,0,11,1,0,35,0,117,10,0,1270,243,253
MOBILE_ROCK OF FAITH BAPTIST #1,993,1,0,1,5,0,464,1,0,32,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1000,5,497
MOBILE_ROCK OF FAITH BAPTIST #2,919,1,0,1,8,0,481,1,1,43,1,0,0,3,0,0,0,0,0,0,1,0,1,4,0,929,10,526
MOBILE_SARALAND CIVIC CENTER #1,188,5,0,27,911,0,81,1,1,25,5,51,0,161,0,0,1,7,3,0,96,1,384,13,0,1131,722,108
MOBILE_SARALAND CIVIC CENTER #2,95,6,0,15,553,0,14,0,0,11,1,22,0,41,1,0,0,6,0,0,33,0,101,2,0,669,207,25
MOBILE_SATSUMA HIGH SCHOOL ANNEX #1,144,3,0,23,825,0,85,1,0,22,2,53,1,158,1,0,1,16,2,0,91,0,375,6,0,995,706,108
MOBILE_SATSUMA HIGH SCHOOL ANNEX #2,124,3,0,23,926,0,112,0,1,25,3,89,1,263,0,0,3,25,3,0,156,1,557,8,0,1076,1109,138
MOBILE_SAVING GRACE LUTHERN CHURCH #1,383,4,0,21,1100,0,165,0,1,70,0,70,0,254,1,0,3,34,2,0,172,0,363,12,0,1508,911,236
MOBILE_SAVING GRACE LUTHERN CHURCH #2,426,4,0,44,1205,0,112,0,0,45,1,58,0,162,0,0,0,30,0,0,105,0,260,3,0,1679,619,157
MOBILE_SEMMES COMMUNITY CENTER #1,85,4,0,21,777,0,25,0,0,18,3,29,1,125,1,0,1,5,2,0,72,0,202,7,0,887,448,43
MOBILE_SEMMES COMMUNITY CENTER #2,96,4,0,18,865,0,17,0,0,15,2,34,1,103,0,0,2,9,2,0,69,0,215,4,0,983,441,32
MOBILE_SEMMES FIRST BAPTIST CHURCH #1,425,6,0,35,1014,0,135,1,0,49,1,66,0,177,1,1,0,9,0,0,94,1,295,7,0,1480,652,185
MOBILE_SEMMES FIRST BAPTIST CHURCH #2,465,5,0,31,945,0,134,1,0,38,2,42,1,105,1,0,3,14,0,0,67,0,243,4,0,1446,482,173
MOBILE_SEVEN HILLS CENTRAL FIRE #1,64,1,0,11,443,0,14,0,0,10,2,22,0,79,0,0,0,8,0,0,52,0,111,2,0,519,276,24
MOBILE_SEVEN HILLS CENTRAL FIRE #2,60,1,0,7,452,0,18,0,0,7,0,21,0,83,0,0,0,8,0,0,40,0,130,1,0,520,283,25
MOBILE_SHELTON BEACH ROAD BAPTIST #1,217,6,0,10,504,0,87,0,1,21,1,35,0,57,2,0,2,4,1,0,37,0,146,4,0,737,289,109
MOBILE_SHELTON BEACH ROAD BAPTIST #2,256,3,0,12,527,0,91,0,2,15,1,18,0,58,0,0,2,11,0,0,51,1,189,4,0,798,335,108
