county,precinct,office,district,candidate,party,votes
New York,037/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,1
New York,037/73,U.S. Senate,NYC,Scattered,,1
New York,038/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,038/73,U.S. Senate,NYC,Absentee / Military,,64
New York,038/73,U.S. Senate,NYC,Federal,,15
New York,038/73,U.S. Senate,NYC,Special Presidential,,0
New York,038/73,U.S. Senate,NYC,Affidavit,,20
New York,038/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,537
New York,038/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,143
New York,038/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,7
New York,038/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,14
New York,038/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,11
New York,038/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,5
New York,038/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,4
New York,038/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,2
New York,038/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,3
New York,039/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,039/73,U.S. Senate,NYC,Absentee / Military,,48
New York,039/73,U.S. Senate,NYC,Federal,,15
New York,039/73,U.S. Senate,NYC,Special Presidential,,0
New York,039/73,U.S. Senate,NYC,Affidavit,,15
New York,039/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,542
New York,039/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,159
New York,039/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,8
New York,039/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,5
New York,039/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,7
New York,039/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,10
New York,039/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,3
New York,039/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,1
New York,039/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,4
New York,040/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,040/73,U.S. Senate,NYC,Absentee / Military,,48
New York,040/73,U.S. Senate,NYC,Federal,,14
New York,040/73,U.S. Senate,NYC,Special Presidential,,0
