precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
CRAWFORD_VAN BUREN 2-1,3,115,11,3,6,2,19,220,35,0,2,29,1,1,2,5,1,38,0,0,2,0,3,0,24,1,37,379,113,68
CRAWFORD_VAN BUREN 2-2,5,304,13,7,12,4,38,801,72,1,1,46,1,0,1,17,1,157,0,0,2,0,3,1,106,0,180,1184,468,121
CRAWFORD_VAN BUREN 3-1,0,190,9,5,11,6,19,440,71,0,2,29,0,0,2,23,0,68,0,0,0,0,5,2,61,1,89,680,251,102
CRAWFORD_VAN BUREN 3-2,2,131,13,0,3,1,13,332,47,0,0,30,0,1,0,10,0,71,0,0,1,0,2,0,43,1,60,495,188,78
CRAWFORD_VAN BUREN 3-3,0,104,5,2,4,2,8,355,39,1,1,14,0,0,0,6,0,97,0,1,3,0,8,0,65,0,79,480,259,55
CRAWFORD_VAN BUREN 3-4,2,145,0,2,13,3,29,460,59,1,1,20,0,2,0,22,1,122,0,0,3,0,10,0,79,1,97,654,335,83
CRAWFORD_VAN BUREN 3-5,2,202,11,4,7,6,16,602,59,0,0,32,0,0,1,31,0,131,0,1,2,0,2,1,80,1,95,850,345,91
CRAWFORD_VAN BUREN 3-6,4,155,7,3,12,0,19,478,69,0,0,25,0,0,2,10,2,115,0,0,3,0,13,0,74,0,94,678,313,94
CRAWFORD_VAN BUREN 4-1,2,177,10,3,11,2,26,766,59,0,0,33,1,0,4,32,0,159,0,0,4,0,14,0,119,0,146,997,478,93
CRAWFORD_VINE PRAIRIE,0,30,0,0,0,3,3,157,18,0,1,3,0,1,0,9,0,37,0,0,1,0,7,1,16,0,36,193,107,23
CRAWFORD_WHITLEY,3,68,1,2,4,2,4,341,30,1,1,22,0,0,0,6,0,89,0,0,6,0,1,0,23,0,75,425,200,54
CRAWFORD_WINFREY,0,3,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,4,27,11,2
CRITTENDEN_ANTHONYVILLE CHURCH,0,65,0,0,1,1,3,3,38,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,73,1,42
CRITTENDEN_BONDS MARINE,0,24,0,1,1,2,2,114,15,0,2,5,0,0,0,2,0,22,0,0,1,0,0,0,17,0,23,144,65,22
CRITTENDEN_CIVIC CENTER,12,892,9,4,6,3,10,102,367,2,2,31,1,25,0,6,0,10,0,0,1,0,0,1,3,0,27,1038,48,428
CRITTENDEN_CRAWFORDSVILLE,1,132,2,1,2,3,6,276,69,3,2,16,1,3,0,9,0,40,0,0,0,0,3,2,21,0,63,423,138,94
CRITTENDEN_EARLE CITY HALL,4,480,3,3,2,3,4,159,170,1,3,21,1,10,0,9,0,20,0,0,0,0,3,0,8,1,45,658,86,206
CRITTENDEN_EDMONDSON,2,138,2,1,1,0,0,100,70,1,1,12,0,7,0,3,0,7,0,0,0,0,0,0,4,0,26,244,40,91
CRITTENDEN_GILMORE,0,55,0,1,3,1,0,28,33,3,0,6,0,0,0,0,0,1,1,0,1,0,0,0,1,0,4,88,8,42
CRITTENDEN_HEAFER,0,29,2,0,1,0,2,91,10,0,2,13,0,1,0,0,0,15,0,0,0,0,0,0,3,0,16,125,34,26
CRITTENDEN_HORSESHOE FIRE STATION,1,17,0,1,0,0,0,102,12,1,0,6,0,0,0,1,0,16,0,1,1,0,1,0,5,1,40,121,66,19
CRITTENDEN_JENNETTE CITY HALL,0,63,0,0,0,0,1,2,36,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,44
