precinct_code,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Clatsop-410070045 45 - ARCH CAPE,113.0,6.0,8.0,50.0,37.0,42.0,6.0,10.0,21.0,177.0,37.0,79.0
Clatsop-410070046 46 - WALLUSKI,155.0,11.0,22.0,151.0,44.0,56.0,11.0,20.0,41.0,339.0,72.0,100.0
Clatsop-410070047 47 - WARRENTON,713.0,34.0,123.0,1025.0,226.0,245.0,53.0,43.0,296.0,1895.0,392.0,471.0
Clatsop-410070048 48 - WARRENTON,236.0,12.0,32.0,308.0,81.0,101.0,9.0,20.0,72.0,588.0,101.0,182.0
Clatsop-410070050 50 - WESTPORT,108.0,7.0,18.0,156.0,38.0,39.0,6.0,10.0,39.0,289.0,55.0,77.0
Clatsop-410070052 52 - HILLCREST,154.0,7.0,25.0,168.0,51.0,62.0,13.0,13.0,53.0,354.0,79.0,113.0
Columbia-4100901,265.0,20.0,46.0,0.0,0.0,101.0,23.0,21.0,109.0,331.0,153.0,101.0
Columbia-4100904,173.0,10.0,25.0,318.0,62.0,93.0,22.0,5.0,75.0,526.0,102.0,155.0
Columbia-4100905,149.0,12.0,23.0,313.0,46.0,71.0,19.0,8.0,64.0,497.0,91.0,117.0
Columbia-4100906,370.0,22.0,55.0,546.0,103.0,167.0,60.0,18.0,101.0,993.0,179.0,270.0
Columbia-4100908,212.0,13.0,49.0,349.0,86.0,86.0,22.0,6.0,91.0,623.0,119.0,172.0
Columbia-4100910,322.0,4.0,44.0,375.0,116.0,142.0,47.0,24.0,134.0,745.0,205.0,258.0
Columbia-4100912,375.0,18.0,45.0,442.0,124.0,154.0,37.0,29.0,130.0,880.0,196.0,278.0
Columbia-4100914,158.0,9.0,21.0,242.0,49.0,61.0,30.0,8.0,50.0,430.0,88.0,110.0
Columbia-4100915,341.0,24.0,59.0,453.0,124.0,120.0,25.0,15.0,98.0,877.0,138.0,244.0
Columbia-4100917,110.0,7.0,18.0,203.0,36.0,37.0,4.0,9.0,52.0,338.0,65.0,73.0
Columbia-4100918,64.0,5.0,8.0,65.0,19.0,23.0,4.0,2.0,22.0,142.0,28.0,42.0
Columbia-4100919,333.0,18.0,39.0,427.0,97.0,135.0,31.0,28.0,142.0,817.0,201.0,232.0
Columbia-4100920,242.0,11.0,39.0,332.0,87.0,94.0,28.0,20.0,117.0,624.0,165.0,181.0
Columbia-4100921,818.0,53.0,157.0,889.0,247.0,374.0,56.0,38.0,201.0,1917.0,295.0,621.0
Columbia-4100924,735.0,64.0,130.0,897.0,216.0,321.0,43.0,44.0,210.0,1826.0,297.0,537.0
Columbia-4100926,806.0,47.0,144.0,1051.0,209.0,335.0,74.0,61.0,272.0,2048.0,407.0,544.0
Columbia-4100931,239.0,18.0,49.0,307.0,71.0,99.0,26.0,26.0,75.0,613.0,127.0,170.0
Columbia-4100932,914.0,34.0,152.0,820.0,265.0,303.0,60.0,44.0,215.0,1920.0,319.0,568.0
Columbia-4100934,453.0,24.0,83.0,440.0,140.0,165.0,42.0,29.0,118.0,1000.0,189.0,305.0
Columbia-4100935,442.0,20.0,66.0,482.0,126.0,185.0,29.0,28.0,125.0,1010.0,182.0,311.0
Columbia-4100936,189.0,6.0,16.0,199.0,56.0,95.0,19.0,15.0,51.0,410.0,85.0,151.0
Columbia-4100938,184.0,4.0,19.0,214.0,64.0,70.0,18.0,10.0,66.0,421.0,94.0,134.0
Columbia-4100939,17.0,2.0,0.0,27.0,3.0,6.0,1.0,0.0,6.0,46.0,7.0,9.0
Columbia-4100940,338.0,18.0,48.0,470.0,103.0,181.0,47.0,24.0,142.0,874.0,213.0,284.0
Columbia-4100941,308.0,28.0,78.0,634.0,80.0,149.0,51.0,36.0,144.0,1048.0,231.0,229.0
Columbia-4100944,188.0,13.0,32.0,421.0,40.0,99.0,29.0,16.0,135.0,654.0,180.0,139.0
Columbia-4100946,174.0,8.0,30.0,338.0,44.0,82.0,26.0,6.0,83.0,550.0,115.0,126.0
Columbia-4100947,332.0,22.0,45.0,365.0,99.0,169.0,29.0,12.0,99.0,764.0,140.0,268.0
Columbia-4100948,99.0,6.0,16.0,176.0,28.0,56.0,14.0,4.0,37.0,297.0,55.0,84.0
