precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
ALACHUA_1200163 CSI ACADEMY OF FLORIDA,799,5,3,50,17,1133,219,24,169,7,6,2,139,0,0,0,0,33,0,169,0,251,2007,607,412
BRADFORD_120071,121,3,0,19,4,1130,44,34,86,0,5,0,132,0,0,0,0,7,0,55,0,216,1277,415,164
BRADFORD_1200710,96,2,0,3,5,629,35,15,62,3,3,0,89,0,0,1,1,9,0,55,0,132,735,293,112
BRADFORD_1200711,175,4,0,19,3,673,57,17,67,2,2,0,47,0,0,0,0,6,1,58,0,121,874,237,141
BRADFORD_1200712,359,6,0,31,4,966,126,20,85,5,3,0,119,0,0,0,0,24,1,119,0,279,1366,550,231
BRADFORD_1200713,42,0,0,5,1,361,21,10,24,0,1,0,26,0,0,0,0,1,0,17,0,52,409,97,55
BRADFORD_1200714,106,4,0,5,4,438,46,7,53,0,2,0,66,0,0,0,0,1,0,28,0,81,557,178,106
BRADFORD_120072,283,3,0,12,3,282,135,5,52,1,1,1,20,1,0,0,0,1,0,16,0,43,583,84,192
BRADFORD_120073,59,1,0,7,2,418,15,10,38,1,0,0,49,0,0,0,0,3,0,14,0,69,487,136,63
BRADFORD_120074,156,1,0,9,3,817,54,15,89,2,3,0,89,0,0,0,0,5,0,47,1,139,986,286,158
BRADFORD_120075,415,3,1,22,11,780,146,23,103,5,3,0,103,0,0,0,4,9,1,101,0,133,1232,359,272
BRADFORD_120076,64,0,0,13,1,517,16,11,43,1,3,0,49,1,0,0,0,3,0,41,0,123,595,221,70
BRADFORD_120077,478,2,1,7,2,321,175,10,57,0,1,0,25,0,0,0,1,4,0,15,0,53,811,99,242
BRADFORD_120078,267,3,0,17,2,970,88,15,93,6,5,0,92,0,0,0,0,12,1,93,0,225,1259,434,196
BRADFORD_120079,303,1,2,8,2,611,99,14,56,5,2,0,58,0,0,0,0,9,0,41,0,136,927,251,169
BREVARD_12009100 PRECINCT 100,431,3,1,42,6,1083,148,13,87,5,10,1,98,0,0,0,1,13,1,94,1,277,1566,501,248
BREVARD_12009102 PRECINCT 102,242,0,1,18,4,433,64,7,47,2,6,0,39,0,0,0,0,17,0,70,1,129,698,264,118
BREVARD_12009103 PRECINCT 103,793,5,3,84,13,1855,267,15,191,18,11,0,214,0,0,1,1,77,0,314,0,471,2753,1107,473
BREVARD_12009104 PRECINCT 104,902,4,5,70,19,2405,282,21,205,10,13,1,228,0,0,0,3,48,3,243,0,584,3405,1133,508
BREVARD_12009105 PRECINCT 105,1393,8,4,131,30,2588,222,18,159,4,8,1,132,1,0,0,0,25,1,175,1,337,4154,685,399
BREVARD_12009106 PRECINCT 106,350,4,3,42,14,1478,85,13,118,16,3,0,126,0,0,0,0,25,0,141,0,377,1891,688,216
BREVARD_12009107 PRECINCT 107,541,3,2,67,12,994,185,13,102,7,11,0,139,0,0,0,1,35,0,159,1,219,1619,572,300
BREVARD_12009108 PRECINCT 108,1904,12,3,74,25,1387,457,4,163,4,7,0,53,0,0,0,1,19,1,95,0,172,3405,352,624
BREVARD_12009109 PRECINCT 109,1407,6,4,117,39,2396,239,8,146,8,12,1,120,1,0,0,1,46,0,144,0,302,3969,635,393
BREVARD_12009111 PRECINCT 111,684,2,3,74,18,1203,165,15,129,6,12,0,85,0,0,0,0,29,3,128,1,269,1984,533,309
BREVARD_12009112 PRECINCT 112,693,8,2,81,11,1452,181,14,132,11,6,1,212,1,0,0,1,62,0,229,0,376,2247,899,327
BREVARD_12009113 PRECINCT 113,787,3,4,105,17,1475,198,19,147,8,7,2,122,0,1,0,1,23,3,133,0,301,2391,601,364
BREVARD_12009114 PRECINCT 114,1367,7,3,112,31,2231,328,19,253,15,11,4,250,1,0,0,3,62,1,312,0,547,3751,1206,600
BREVARD_12009115 PRECINCT 115,882,6,3,89,25,1586,242,16,173,11,12,0,140,3,0,0,0,57,0,244,0,439,2591,906,431
BREVARD_12009116 PRECINCT 116,880,4,7,62,16,2299,255,18,168,15,17,0,246,0,0,0,1,85,1,358,0,759,3268,1482,441
BREVARD_12009118 PRECINCT 118,1056,8,3,106,26,2710,329,33,216,15,13,3,259,1,0,0,0,51,3,213,0,595,3909,1153,578
