,contest,choice,precinct_id,vote,early_votes,polling_place_votes,late_early_votes,provisional_votes,party_name,contest_name,choice_name,precinct_designation,precinct,precinct_bs,votes_allowed,referendum_flag
170,0,0,10,600,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,1 ALTERRA NORTH,0,,
171,0,0,10,671,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,2 MARICOPA WELLS,0,,
172,0,0,10,55,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,4 PICACHO SOUTH,0,,
173,0,0,10,25,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,5 TOLTEC SOUTHWEST,0,,
174,0,0,0,757,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,KEARNY,0,,
175,0,0,0,371,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,DUDLEYVILLE,0,,
176,0,0,0,939,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,SAN MANUEL,0,,
177,0,0,0,651,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,MAMMOTH,0,,
178,0,0,0,1111,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,ORACLE,0,,
179,0,0,0,1751,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,SADDLEBROOKE,0,,
180,0,0,0,828,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,ARIZONA CITY,0,,
181,0,0,1,506,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,TOLTEC SOUTH,0,,
182,0,0,1,93,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,PICACHO,0,,
183,0,0,1,1191,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,ELOY,0,,
184,0,0,1,454,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,TOLTEC,0,,
185,0,0,1,321,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,RED ROCK,0,,
186,0,0,1,489,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,COOLIDGE NE,0,,
187,0,0,1,824,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,COOLIDGE NW,0,,
188,0,0,1,748,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,COOLIDGE SOUTH,0,,
189,0,0,2,225,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,2,CENTRAL ARIZONA COLLEGE,0,,
190,0,0,2,198,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,2,ELEVEN MILE CORNER,0,,
191,0,0,2,1009,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,2,FLORENCE NORTH,0,,
192,0,0,2,294,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,2,CACTUS FOREST,0,,
193,0,0,2,501,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,2,JOHNSON RANCH,0,,
194,0,0,2,870,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,2,POSTON BUTTE,0,,
195,0,0,2,488,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,2,QUEEN CREEK,0,,
