contest,choice,precinct_id,vote,polling_place_votes,early_votes,provisional_votes,party_name,contest_name,candidate,precinct,precinct_name,subjurisdiction,votes_allowed,referendum_flag
0,0,2,1703,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,25,0,,,
0,0,2,608,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,26,0,,,
0,0,2,1569,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,27,0,,,
0,0,2,1096,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,28,0,,,
0,0,2,1533,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,29,0,,,
0,0,3,2112,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,30,0,,,
0,0,3,1680,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,31,0,,,
0,0,3,1378,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,32,0,,,
0,0,3,2545,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,33,0,,,
0,0,3,1853,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,34,0,,,
0,0,3,1243,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,35,0,,,
0,0,3,2665,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,36,0,,,
0,0,3,1558,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,37,0,,,
0,0,3,1550,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,38,0,,,
0,0,3,1925,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,39,0,,,
0,0,4,999,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,40,0,,,
