county,precinct,office,district,candidate,party,votes
Bronx,019/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,4
Bronx,019/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Bronx,019/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Bronx,019/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,019/77,President,NYC,Scattered,,2
Bronx,020/77,President,NYC,Manually Counted Emergency,,0
Bronx,020/77,President,NYC,Absentee / Military,,10
Bronx,020/77,President,NYC,Federal,,0
Bronx,020/77,President,NYC,Special Presidential,,2
Bronx,020/77,President,NYC,Affidavit,,56
Bronx,020/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,445
Bronx,020/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,24
Bronx,020/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,4
Bronx,020/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Bronx,020/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Bronx,020/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Bronx,020/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,020/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,020/77,President,NYC,Scattered,,1
Bronx,021/77,President,NYC,Manually Counted Emergency,,0
Bronx,021/77,President,NYC,Absentee / Military,,6
Bronx,021/77,President,NYC,Federal,,0
Bronx,021/77,President,NYC,Special Presidential,,0
Bronx,021/77,President,NYC,Affidavit,,43
Bronx,021/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,473
Bronx,021/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,26
Bronx,021/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Bronx,021/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
Bronx,021/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,4
Bronx,021/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,021/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Bronx,021/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,022/77,President,NYC,Manually Counted Emergency,,0
Bronx,022/77,President,NYC,Absentee / Military,,13
Bronx,022/77,President,NYC,Federal,,2
Bronx,022/77,President,NYC,Special Presidential,,0
Bronx,022/77,President,NYC,Affidavit,,59
Bronx,022/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,514
Bronx,022/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,28
Bronx,022/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Bronx,022/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Bronx,022/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Bronx,022/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Bronx,022/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Bronx,022/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,023/77,President,NYC,Manually Counted Emergency,,0
Bronx,023/77,President,NYC,Absentee / Military,,14
Bronx,023/77,President,NYC,Federal,,1
Bronx,023/77,President,NYC,Special Presidential,,0
Bronx,023/77,President,NYC,Affidavit,,50
Bronx,023/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,706
Bronx,023/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,28
Bronx,023/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Bronx,023/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Bronx,023/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Bronx,023/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Bronx,023/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,023/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,024/77,President,NYC,Manually Counted Emergency,,0
Bronx,024/77,President,NYC,Absentee / Military,,9
Bronx,024/77,President,NYC,Federal,,0
Bronx,024/77,President,NYC,Special Presidential,,0
Bronx,024/77,President,NYC,Affidavit,,31
Bronx,024/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,543
Bronx,024/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,21
Bronx,024/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Bronx,024/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Bronx,024/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Bronx,024/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
