county,precinct,office,district,candidate,party,votes
Kings,021/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,021/41,President,NYC,Scattered,,9
Kings,022/41,President,NYC,Manually Counted Emergency,,0
Kings,022/41,President,NYC,Absentee / Military,,1
Kings,022/41,President,NYC,Federal,,1
Kings,022/41,President,NYC,Special Presidential,,0
Kings,022/41,President,NYC,Affidavit,,3
Kings,022/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,74
Kings,022/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,51
Kings,022/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
Kings,022/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Kings,022/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Kings,022/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,022/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,022/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,022/41,President,NYC,Scattered,,1
Kings,023/41,President,NYC,Manually Counted Emergency,,0
Kings,023/41,President,NYC,Absentee / Military,,2
Kings,023/41,President,NYC,Federal,,0
Kings,023/41,President,NYC,Special Presidential,,0
Kings,023/41,President,NYC,Affidavit,,0
Kings,023/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,72
Kings,023/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,5
Kings,023/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
Kings,023/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Kings,023/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Kings,023/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,023/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,023/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,024/41,President,NYC,Manually Counted Emergency,,0
Kings,024/41,President,NYC,Absentee / Military,,1
Kings,024/41,President,NYC,Federal,,0
Kings,024/41,President,NYC,Special Presidential,,0
Kings,024/41,President,NYC,Affidavit,,1
